wkt_geom	OBJECTID_1	OBJECTID	DTMN11	FR11	SEC11	SS11	BGRI11	LUG11	LUG11DESIG	OBJECTID_12	ANO	GEO_COD	GEO_COD_DSG	NIVEL	NIVEL_DSG	N_EDIFICIOS_CLASSICOS	N_EDIFICIOS_CLASSICOS_1OU2	N_EDIFICIOS_CLASSICOS_ISOLADOS	N_EDIFICIOS_CLASSICOS_GEMIN	N_EDIFICIOS_CLASSICOS_EMBANDA	N_EDIFICIOS_CLASSICOS_3OUMAIS	N_EDIFICIOS_CLASSICOS_OUTROS	N_EDIFICIOS_EXCLUSIV_RESID	N_EDIFICIOS_PRINCIPAL_RESID	N_EDIFICIOS_PRINCIP_NAO_RESID	N_EDIFICIOS_1OU2_PISOS	N_EDIFICIOS_3OU4_PISOS	F_N_EDIFICIOS_5OU_MAIS_PISOS	N_EDIFICIOS_CONSTR_ANTES_1919	N_EDIFICIOS_CONSTR_1919A1945	N_EDIFICIOS_CONSTR_1946A1960	N_EDIFICIOS_CONSTR_1961A1970	N_EDIFICIOS_CONSTR_1971A1980	N_EDIFICIOS_CONSTR_1981A1990	N_EDIFICIOS_CONSTR_1991A1995	N_EDIFICIOS_CONSTR_1996A2000	N_EDIFICIOS_CONSTR_2001A2005	N_EDIFICIOS_CONSTR_2006A2011	N_EDIFICIOS_ESTRUT_BETAO	N_EDIFICIOS_ESTRUT_COM_PLACA	N_EDIFICIOS_ESTRUT_SEM_PLACA	N_EDIFICIOS_ESTRUT_ADOBE_PEDRA	N_EDIFICIOS_ESTRUT_OUTRA	N_ALOJAMENTOS	N_ALOJAMENTOS_FAMILIARES	N_ALOJAMENTOS_FAM_CLASSICOS	N_ALOJAMENTOS_FAM_N_CLASSICOS	N_ALOJAMENTOS_COLECTIVOS	N_CLASSICOS_RES_HABITUAL	N_ALOJAMENTOS_RES_HABITUAL	N_ALOJAMENTOS_VAGOS	N_RES_HABITUAL_COM_AGUA	N_RES_HABITUAL_COM_RETRETE	N_RES_HABITUAL_COM_ESGOTOS	N_RES_HABITUAL_COM_BANHO	N_RES_HABITUAL_AREA_50	N_RES_HABITUAL_AREA_50_100	N_RES_HABITUAL_AREA_100_200	N_RES_HABITUAL_AREA_200	N_RES_HABITUAL_1_2_DIV	N_RES_HABITUAL_3_4_DIV	N_RES_HABITUAL_ESTAC_1	N_RES_HABITUAL_ESTAC_2	N_RES_HABITUAL_ESTAC_3	N_RES_HABITUAL_PROP_OCUP	N_RES_HABITUAL_ARREND	N_FAMILIAS_CLASSICAS	N_FAMILIAS_INSTITUCIONAIS	N_FAMILIAS_CLASSICAS_1OU2_PESS	N_FAMILIAS_CLASSICAS_3OU4_PESS	N_FAMILIAS_CLASSICAS_NPES65	N_FAMILIAS_CLASSICAS_NPES14	N_FAMILIAS_CLASSIC_SEM_DESEMP	N_FAMILIAS_CLASSIC_1DESEMPREG	N_FAMILIAS_CLASS_2MAIS_DESEMP	N_NUCLEOS_FAMILIARES	N_NUCLEOS_1FILH_NAO_CASADO	N_NUCLEOS_2FILH_NAO_CASADO	N_NUCLEOS_FILH_INF_6ANOS	N_NUCLEOS_FILH_INF_15ANOS	N_NUCLEOS_FILH_MAIS_15ANOS	N_INDIVIDUOS_PRESENT	N_INDIVIDUOS_PRESENT_H	N_INDIVIDUOS_PRESENT_M	N_INDIVIDUOS_RESIDENT	N_INDIVIDUOS_RESIDENT_H	N_INDIVIDUOS_RESIDENT_M	N_INDIVIDUOS_RESIDENT_0A4	N_INDIVIDUOS_RESIDENT_5A9	N_INDIVIDUOS_RESIDENT_10A13	N_INDIVIDUOS_RESIDENT_14A19	N_INDIVIDUOS_RESIDENT_15A19	N_INDIVIDUOS_RESIDENT_20A24	N_INDIVIDUOS_RESIDENT_20A64	N_INDIVIDUOS_RESIDENT_25A64	N_INDIVIDUOS_RESIDENT_65	N_INDIVIDUOS_RESIDENT_H_0A4	N_INDIVIDUOS_RESIDENT_H_5A9	N_INDIVIDUOS_RESIDENT_H_10A13	N_INDIVIDUOS_RESIDENT_H_14A19	N_INDIVIDUOS_RESIDENT_H_15A19	N_INDIVIDUOS_RESIDENT_H_20A24	N_INDIVIDUOS_RESIDENT_H_20A64	N_INDIVIDUOS_RESIDENT_H_25A64	N_INDIVIDUOS_RESIDENT_H_65	N_INDIVIDUOS_RESIDENT_M_0A4	N_INDIVIDUOS_RESIDENT_M_5A9	N_INDIVIDUOS_RESIDENT_M_10A13	N_INDIVIDUOS_RESIDENT_M_14A19	N_INDIVIDUOS_RESIDENT_M_15A19	N_INDIVIDUOS_RESIDENT_M_20A24	N_INDIVIDUOS_RESIDENT_M_20A64	N_INDIVIDUOS_RESIDENT_M_25A64	N_INDIVIDUOS_RESIDENT_M_65	N_INDIV_RESIDENT_N_LER_ESCRV	N_IND_RESIDENT_FENSINO_1BAS	N_IND_RESIDENT_FENSINO_2BAS	N_IND_RESIDENT_FENSINO_3BAS	N_IND_RESIDENT_FENSINO_SEC	N_IND_RESIDENT_FENSINO_POSSEC	N_IND_RESIDENT_FENSINO_SUP	N_IND_RESIDENT_ENSINCOMP_1BAS	N_IND_RESIDENT_ENSINCOMP_2BAS	N_IND_RESIDENT_ENSINCOMP_3BAS	N_IND_RESIDENT_ENSINCOMP_SEC	N_IND_RESIDENT_ENSINCOMP_POSEC	N_IND_RESIDENT_ENSINCOMP_SUP	N_IND_RESID_DESEMP_PROC_1EMPRG	N_IND_RESID_DESEMP_PROC_EMPRG	N_IND_RESID_EMPREGADOS	N_IND_RESID_PENS_REFORM	N_IND_RESID_SEM_ACT_ECON	N_IND_RESID_EMPREG_SECT_PRIM	N_IND_RESID_EMPREG_SECT_SEQ	N_IND_RESID_EMPREG_SECT_TERC	N_IND_RESID_ESTUD_MUN_RESID	N_IND_RESID_TRAB_MUN_RESID
MultiPolygon (((-40150.50549999997019768 168395.81970000080764294, -40166.62289999984204769 168401.98609999939799309, -40295.29110000003129244 168404.3705000001937151, -40298.67339999973773956 168346.89780000038444996, -40300.01919999998062849 168338.38509999960660934, -40281.1721000000834465 168340.38739999942481518, -40240.72499999962747097 168348.03580000065267086, -40235.75619999971240759 168349.43789999932050705, -40230.78749999962747097 168351.47690000012516975, -40226.9656999995931983 168353.89890000037848949, -40222.1578999999910593 168358.95280000008642673, -40216.42520000040531158 168362.77669999934732914, -40150.50549999997019768 168395.81970000080764294)))	1621	15846	1312	10	004	04	13121000404	007437	Porto	200374	2011	13121000404		8	Subsecção	12	3	0	3	0	9	0	5	7	0	3	9	0	0	0	3	5	3	0	0	0	1	0	12	0	0	0	0	59	59	59	0	0	38	38	10	38	38	38	38	6	23	9	0	4	23	7	2	0	13	24	38	0	29	8	10	3	30	8	0	20	7	1	1	3	7	66	28	38	71	30	41	1	2	0	4	4	1	52	51	12	0	0	0	1	1	0	23	23	6	1	2	0	3	3	1	29	28	6	5	2	1	2	4	0	3	18	13	12	7	1	10	1	7	36	14	24	0	6	30	9	27
MultiPolygon (((-38843.20160000026226044 168186.73409999907016754, -38847.23190000001341105 168196.3534999992698431, -38857.31230000033974648 168220.32300000078976154, -38868.12330000009387732 168248.95260000042617321, -38872.37330000009387732 168266.82200000062584877, -38887.65429999958723783 168309.07149999961256981, -38906.94539999961853027 168361.31030000001192093, -38911.24579999968409538 168388.47000000067055225, -38913.9031999995931983 168379.4078999999910593, -38915.73500000033527613 168367.95930000022053719, -38918.02460000012069941 168336.8186000008136034, -38918.02350000012665987 168236.52950000017881393, -38917.25229999981820583 168214.36040000058710575, -38892.40230000019073486 168205.50290000066161156, -38843.20160000026226044 168186.73409999907016754)))	1618	15843	1312	10	003	04	13121000304	007437	Porto	200370	2011	13121000304		8	Subsecção	13	9	0	2	7	3	1	8	4	1	7	5	1	0	3	0	2	5	1	0	0	2	0	4	6	3	0	0	29	28	28	0	1	16	16	5	16	16	16	15	1	5	10	0	0	3	7	5	0	6	8	16	0	9	6	10	3	12	4	0	14	7	1	1	3	6	72	37	35	40	18	22	1	0	1	3	2	2	20	18	15	1	0	0	1	0	1	10	9	6	0	0	1	2	2	1	10	9	9	2	0	1	3	1	0	1	9	6	8	5	0	7	0	4	11	17	22	0	3	8	6	10
MultiPolygon (((-38911.24579999968409538 168388.47000000067055225, -39021.76439999975264072 168389.31739999912679195, -39026.44390000030398369 168388.77239999920129776, -39087.37370000034570694 168381.67559999972581863, -39065.48290000017732382 168367.04270000010728836, -39056.78220000024884939 168360.63199999928474426, -39052.6602999996393919 168357.88409999944269657, -39045.79150000028312206 168352.38829999975860119, -39038.00580000039190054 168345.51960000023245811, -39011.68859999999403954 168319.62079999968409538, -38995.4360999995842576 168302.29759999923408031, -38982.35940000042319298 168287.54319999925792217, -38976.95660000015050173 168281.44749999977648258, -38958.72009999956935644 168261.95930000022053719, -38952.58029999956488609 168255.46260000020265579, -38948.96839999966323376 168251.13179999962449074, -38947.34350000042468309 168249.32689999975264072, -38946.44049999956041574 168247.34200000017881393, -38945.35749999992549419 168244.81609999947249889, -38944.00250000040978193 168240.00029999949038029, -38937.58959999959915876 168221.61099999956786633, -38917.25229999981820583 168214.36040000058710575, -38918.02350000012665987 168236.52950000017881393, -38918.02460000012069941 168336.8186000008136034, -38915.73500000033527613 168367.95930000022053719, -38913.9031999995931983 168379.4078999999910593, -38911.24579999968409538 168388.47000000067055225)))	1619	15844	1312	10	003	03	13121000303	007437	Porto	200369	2011	13121000303		8	Subsecção	26	19	3	1	15	7	0	21	5	0	14	12	0	1	6	2	7	1	0	2	1	2	4	3	14	9	0	0	51	51	51	0	0	25	25	6	25	25	25	25	4	10	11	0	2	15	7	1	4	7	16	25	0	18	6	12	2	21	4	0	13	5	3	0	2	8	101	43	58	48	22	26	0	1	0	1	0	4	30	26	16	0	1	0	1	0	1	13	12	7	0	0	0	0	0	3	17	14	9	1	1	0	1	1	0	5	16	6	7	5	1	11	0	4	22	17	20	0	1	21	5	16
MultiPolygon (((-42841.79090000037103891 168162.00579999946057796, -42844.02080000005662441 168164.60170000046491623, -42983.73020000010728836 168333.77380000054836273, -42983.96679999958723783 168334.06079999916255474, -43047.18709999974817038 168291.88839999958872795, -43048.81709999963641167 168290.8011000007390976, -43035.07620000001043081 168254.39020000025629997, -43023.39439999964088202 168228.17760000005364418, -43006.07679999992251396 168180.9488999992609024, -42994.90589999966323376 168147.24860000051558018, -42987.46200000029057264 168124.79370000027120113, -42977.04729999974370003 168099.53199999965727329, -42973.16040000040084124 168089.70240000076591969, -42966.30850000027567148 168072.37729999981820583, -42941.85319999977946281 168031.93349999934434891, -42896.80279999971389771 167985.24139999970793724, -42826.35919999983161688 167910.44189999997615814, -42817.93549999967217445 167901.49740000069141388, -42789.89049999974668026 167873.21220000088214874, -42772.15799999982118607 167847.81259999983012676, -42744.55470000021159649 167796.78629999980330467, -42743.61380000039935112 167795.04739999957382679, -42741.67980000004172325 167792.13250000029802322, -42723.70949999988079071 167775.93160000070929527, -42704.68809999991208315 167754.62179999984800816, -42689.01059999968856573 167737.05690000019967556, -42658.06579999998211861 167710.07960000075399876, -42642.65120000019669533 167688.91379999928176403, -42633.6744999997317791 167677.74340000003576279, -42586.33469999954104424 167684.98100000061094761, -42581.97900000028312206 167694.90560000017285347, -42578.44230000022798777 167705.73330000042915344, -42575.0094999996945262 167714.80590000003576279, -42573.03270000033080578 167727.09640000015497208, -42571.26489999983459711 167739.28999999910593033, -42569.18410000018775463 167750.11749999970197678, -42567.62519999966025352 167756.26329999975860119, -42566.16930000018328428 167760.65210000053048134, -42563.464499999769032 167765.14000000059604645, -42561.07160000037401915 167768.65090000070631504, -42552.95810000039637089 167779.38159999996423721, -42544.01260000001639128 167791.28229999914765358, -42539.62689999956637621 167797.43810000084340572, -42503.79179999977350235 167828.08139999955892563, -42479.60309999994933605 167852.66389999911189079, -42462.47599999979138374 167865.05169999971985817, -42449.09059999976307154 167868.18979999981820583, -42444.44780000019818544 167868.25789999961853027, -42424.28469999972730875 167868.55419999919831753, -42377.64479999989271164 167869.24110000021755695, -42376.82579999975860119 167869.25310000032186508, -42321.54430000018328428 167869.58909999951720238, -42320.53039999958127737 167874.61089999973773956, -42319.67540000006556511 167878.48880000039935112, -42307.85030000004917383 167916.6534000001847744, -42353.81240000016987324 167930.1749000009149313, -42392.48080000001937151 167944.62759999930858612, -42416.20490000024437904 167954.1436999998986721, -42375.6688000001013279 168070.11659999936819077, -42366.57830000016838312 168073.50159999914467335, -42350.93379999976605177 168061.80540000088512897, -42308.19330000039190054 168123.51559999957680702, -42386.5553999999538064 168180.23970000073313713, -42502.60429999977350235 168083.8056000005453825, -42505.71609999984502792 168081.73059999942779541, -42507.53100000042468309 168081.08259999938309193, -42522.30950000043958426 168097.42369999922811985, -42548.73419999983161688 168076.2840999998152256, -42562.82070000004023314 168093.09510000050067902, -42627.07739999983459711 168044.63690000027418137, -42699.61359999980777502 167989.74090000055730343, -42841.79090000037103891 168162.00579999946057796)))	1616	15841	1312	11	001	02	13121100102	007437	Porto	200688	2011	13121100102		8	Subsecção	38	25	7	18	0	13	0	32	6	0	27	3	8	5	6	16	0	0	3	0	6	2	0	33	0	5	0	0	167	167	167	0	0	147	147	15	147	143	147	138	19	67	59	2	6	87	119	4	1	113	29	148	0	68	77	23	60	128	20	0	116	55	32	36	60	39	371	176	195	382	185	197	31	29	12	23	20	22	256	234	31	15	16	6	16	13	7	119	112	13	16	13	6	7	7	15	137	122	18	5	22	11	12	22	1	20	73	41	82	58	3	56	3	17	199	45	88	0	37	162	77	138
MultiPolygon (((-40308.00810000021010637 168262.00799999944865704, -40301.43709999974817038 168329.41339999996125698, -40300.01919999998062849 168338.38509999960660934, -40311.79169999994337559 168337.64690000005066395, -40424.52350000012665987 168322.86830000020563602, -40565.31099999975413084 168303.48240000009536743, -40580.79129999969154596 168301.82220000028610229, -40583.43549999967217445 168234.08889999985694885, -40438.92509999964386225 168249.65899999998509884, -40316.05570000037550926 168262.36490000039339066, -40308.00810000021010637 168262.00799999944865704)))	1617	15842	1312	10	006	01	13121000601	007437	Porto	200380	2011	13121000601		8	Subsecção	15	12	10	1	1	1	2	11	2	2	9	6	0	0	4	3	2	0	0	0	4	1	1	5	10	0	0	0	20	18	18	0	2	10	10	4	10	10	10	10	2	1	5	2	0	3	1	2	1	4	5	10	2	8	2	7	2	10	0	0	6	0	2	0	2	1	54	17	37	54	17	37	0	1	1	2	1	2	16	14	34	0	1	0	1	0	1	6	5	9	0	0	1	1	1	1	10	9	25	7	1	0	2	1	0	1	21	3	10	5	0	5	0	1	8	30	42	0	2	6	5	7
MultiPolygon (((-36448.25459999963641167 165969.78280000016093254, -36450.13910000026226044 166034.53820000030100346, -36476.04999999981373549 166034.22609999962151051, -36474.6205000001937151 165967.70370000042021275, -36467.5968000004068017 165969.07469999976456165, -36448.25459999963641167 165969.78280000016093254)))	1646	15939	1312	03	017	04	13120301704	007437	Porto	199569	2011	13120301704		8	Subsecção	3	0	0	0	0	3	0	3	0	0	0	3	0	0	0	3	0	0	0	0	0	0	0	0	3	0	0	0	24	24	24	0	0	15	15	0	15	15	15	15	4	11	0	0	0	5	1	0	0	1	14	15	0	9	5	10	3	12	2	1	12	0	3	0	3	4	38	16	22	39	17	22	0	2	3	1	1	3	16	13	17	0	1	1	1	1	1	7	6	7	0	1	2	0	0	2	9	7	10	1	2	1	2	1	0	0	19	6	5	3	0	2	0	4	5	17	25	0	0	5	6	2
MultiPolygon (((-38374.31929999962449074 166013.47120000049471855, -38411.14360000006854534 166034.88780000060796738, -38423.35670000035315752 166017.68200000002980232, -38480.92430000007152557 165930.66210000030696392, -38480.92630000039935112 165930.65850000083446503, -38368.06020000018179417 165881.73640000075101852, -38343.75320000015199184 165871.37390000000596046, -38317.78320000041276217 165861.1875, -38315.92619999963790178 165859.42359999939799309, -38316.29820000007748604 165856.59970000013709068, -38317.41210000030696392 165852.0118000004440546, -38342.65940000023692846 165794.05900000035762787, -38273.96609999984502792 165764.78350000083446503, -38236.8349999999627471 165796.88140000030398369, -38209.3584000002592802 165823.33650000020861626, -38159.11209999956190586 165881.34249999932944775, -38374.31929999962449074 166013.47120000049471855)))	1647	15940	1312	03	021	05	13120302105	007437	Porto	199598	2011	13120302105		8	Subsecção	1	1	1	0	0	0	0	1	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	1	1	1	0	0	1	1	0	1	1	1	1	0	0	0	1	0	0	1	0	0	1	0	1	0	1	0	1	0	1	0	0	1	0	0	0	0	0	2	1	1	2	1	1	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	2	0	0	0	0	2	0	2
MultiPolygon (((-36474.6205000001937151 165967.70370000042021275, -36476.04999999981373549 166034.22609999962151051, -36502.5059000002220273 166033.84400000050663948, -36502.45179999992251396 166025.99630000069737434, -36501.89829999953508377 165962.37780000083148479, -36474.6205000001937151 165967.70370000042021275)))	1644	15937	1312	03	017	05	13120301705	007437	Porto	199570	2011	13120301705		8	Subsecção	3	0	0	0	0	3	0	3	0	0	0	3	0	0	0	3	0	0	0	0	0	0	0	0	3	0	0	0	24	24	24	0	0	20	20	3	20	20	20	18	4	16	0	0	0	2	0	0	0	1	19	20	0	14	3	16	2	16	3	1	17	6	2	1	3	6	50	22	28	50	22	28	0	2	2	2	2	3	20	17	24	0	1	1	0	0	2	10	8	10	0	1	1	2	2	1	10	9	14	4	3	0	0	1	0	0	21	5	7	5	0	1	0	5	11	19	30	0	1	10	5	9
MultiPolygon (((-43592.34860000014305115 165978.60249999910593033, -43639.69400000013411045 165989.34349999949336052, -43665.87330000009387732 165995.09280000068247318, -43692.59350000042468309 166001.34219999983906746, -43715.89340000040829182 166006.6517999991774559, -43757.98309999983757734 166016.31059999950230122, -43790.53259999956935644 166023.58980000019073486, -43814.70239999983459711 166029.18940000049769878, -43837.43599999975413084 166034.23689999990165234, -43922.52749999985098839 165976.97479999996721745, -43891.75650000013411045 165933.84620000049471855, -43875.57500000018626451 165913.58139999955892563, -43844.83299999963492155 165874.7665999997407198, -43841.39910000003874302 165871.15780000016093254, -43837.00920000020414591 165867.35600000061094761, -43757.22640000004321337 165828.38609999977052212, -43738.80310000013560057 165814.28500000014901161, -43724.29059999994933605 165804.30169999971985817, -43717.75079999957233667 165798.37609999999403954, -43708.24820000026375055 165788.00669999979436398, -43701.42439999990165234 165778.72519999928772449, -43674.21370000019669533 165792.50709999911487103, -43651.32280000019818544 165803.85190000012516975, -43632.47570000030100346 165813.43380000069737434, -43609.78479999955743551 165824.53079999983310699, -43588.20089999958872795 165835.08469999954104424, -43560.7485999995842576 165781.94639999978244305, -43543.10340000037103891 165790.93129999935626984, -43519.40859999973326921 165804.41019999980926514, -43454.62590000033378601 165849.09930000081658363, -43485.20799999963492155 165896.78669999912381172, -43498.41650000028312206 165914.57770000025629997, -43519.88489999994635582 165947.66889999993145466, -43530.30920000001788139 165964.68319999985396862, -43576.54409999959170818 165974.9455999992787838, -43592.31429999973624945 165978.59469999931752682, -43592.34860000014305115 165978.60249999910593033)))	1645	15938	1312	06	004	01	13120600401	007437	Porto	200054	2011	13120600401		8	Subsecção	53	41	13	22	6	12	0	51	2	0	40	13	0	0	5	27	8	8	5	0	0	0	0	48	0	5	0	0	103	103	103	0	0	78	78	11	78	78	78	78	1	20	50	7	0	16	42	10	4	56	18	78	0	48	26	41	16	69	9	0	54	16	14	5	16	24	184	89	95	199	93	106	7	8	4	12	8	6	106	100	62	2	4	2	6	5	4	56	52	23	5	4	2	6	3	2	50	48	39	2	8	2	7	7	0	10	14	20	22	46	1	74	3	6	82	61	85	0	8	74	36	61
MultiPolygon (((-36526.76919999998062849 165954.29900000058114529, -36528.78980000037699938 166032.65890000015497208, -36551.82870000042021275 166025.196000000461936, -36559.0352999996393919 166015.05340000055730343, -36556.89910000003874302 165982.22470000013709068, -36543.28760000038892031 165966.74440000019967556, -36534.35280000045895576 165951.65110000036656857, -36526.76919999998062849 165954.29900000058114529)))	1642	15935	1312	03	024	02	13120302402	007437	Porto	199615	2011	13120302402		8	Subsecção	3	0	0	0	0	3	0	3	0	0	0	0	3	0	0	3	0	0	0	0	0	0	0	3	0	0	0	0	30	30	30	0	0	18	18	12	18	18	18	18	13	5	0	0	0	12	0	0	0	0	18	18	0	13	5	8	3	17	0	1	13	5	0	1	3	2	33	17	16	36	19	17	1	0	1	1	0	4	23	19	10	1	0	0	1	0	2	13	11	4	0	0	1	0	0	2	10	8	6	1	0	0	2	0	0	1	18	3	8	4	0	1	1	1	10	13	21	0	0	10	2	6
MultiPolygon (((-36501.89829999953508377 165962.37780000083148479, -36502.45179999992251396 166025.99630000069737434, -36502.5059000002220273 166033.84400000050663948, -36525.45990000013262033 166033.51380000077188015, -36527.8207999998703599 166032.99589999951422215, -36528.78980000037699938 166032.65890000015497208, -36526.76919999998062849 165954.29900000058114529, -36505.91110000014305115 165961.59479999914765358, -36501.89829999953508377 165962.37780000083148479)))	1643	15936	1312	03	024	01	13120302401	007437	Porto	199614	2011	13120302401		8	Subsecção	3	0	0	0	0	3	0	3	0	0	0	3	0	0	0	3	0	0	0	0	0	0	0	3	0	0	0	0	24	24	24	0	0	19	19	3	19	19	19	19	4	13	2	0	0	2	1	0	0	0	19	19	0	13	5	13	0	19	0	0	14	5	0	0	0	6	39	18	21	41	19	22	0	0	0	1	1	3	18	15	22	0	0	0	0	0	2	9	7	10	0	0	0	1	1	1	9	8	12	1	0	0	2	0	0	0	21	9	4	3	0	0	0	0	11	20	30	0	3	8	2	9
MultiPolygon (((-41968.84219999983906746 165922.87250000052154064, -42007.67370000015944242 165988.02700000070035458, -42032.22510000038892031 166030.67679999954998493, -42073.15699999965727329 166007.45810000039637089, -42147.17829999979585409 165962.16469999961555004, -42103.2485999995842576 165893.66229999996721745, -42065.71860000025480986 165831.10359999909996986, -42058.84869999997317791 165822.44209999963641167, -42044.1688000001013279 165821.66239999979734421, -41940.69060000032186508 165830.38460000045597553, -41940.69489999953657389 165830.39499999955296516, -41951.5210999995470047 165856.57399999909102917, -41968.84219999983906746 165922.87250000052154064)))	1640	15933	1312	11	061	04	13121106104	007437	Porto	200940	2011	13121106104		8	Subsecção	65	59	5	54	0	6	0	56	8	1	29	36	0	10	35	18	0	1	0	1	0	0	0	54	0	11	0	0	99	99	99	0	0	78	78	18	78	78	78	78	7	31	31	9	0	29	28	7	1	43	30	78	0	56	19	43	6	73	5	0	48	12	9	3	6	19	160	69	91	169	75	94	2	5	3	10	10	9	83	74	66	1	0	2	4	4	4	41	37	27	1	5	1	6	6	5	42	37	39	0	6	0	4	9	0	15	30	21	23	24	0	56	0	5	49	68	105	0	4	45	34	38
MultiPolygon (((-38596.0909000001847744 166019.88379999995231628, -38673.03079999983310699 166030.80289999954402447, -38679.55009999964386225 165987.29859999939799309, -38641.92860000021755695 165979.44610000029206276, -38632.73689999990165234 165972.52449999935925007, -38623.33910000044852495 165953.51429999992251396, -38606.90259999968111515 165930.73120000027120113, -38590.35940000042319298 165944.64079999923706055, -38580.39790000021457672 165954.63440000079572201, -38589.03270000033080578 165969.00479999929666519, -38594.6226000003516674 165984.67219999991357327, -38597.83760000020265579 165997.46759999915957451, -38597.60979999974370003 166013.16999999992549419, -38596.0909000001847744 166019.88379999995231628)))	1641	15934	1312	02	002	08	13120200208	007437	Porto	199324	2011	13120200208		8	Subsecção	5	0	0	0	0	5	0	0	5	0	0	3	2	0	0	5	0	0	0	0	0	0	0	5	0	0	0	0	32	32	32	0	0	27	27	4	27	27	27	27	0	4	14	9	0	0	5	10	0	26	0	27	0	22	3	21	1	27	0	0	15	6	0	0	1	8	52	19	33	54	21	33	0	0	1	1	1	6	21	15	31	0	0	0	1	1	5	10	5	10	0	0	1	0	0	1	11	10	21	1	1	0	1	1	0	6	3	3	8	12	0	24	0	0	14	29	39	0	4	10	8	11
MultiPolygon (((-41380.55140000022947788 165996.00840000063180923, -41518.25360000040382147 166028.53270000033080578, -41534.05730000045150518 165969.14589999988675117, -41567.6946000000461936 165843.82950000092387199, -41586.59989999979734421 165760.24560000002384186, -41459.18520000018179417 165730.26999999955296516, -41451.03660000022500753 165729.81420000083744526, -41441.68800000008195639 165730.2703000009059906, -41431.14250000007450581 165733.4573999997228384, -41419.1590999998152256 165738.92239999957382679, -41346.53870000038295984 165781.04279999993741512, -41337.67119999974966049 165788.78370000049471855, -41360.29530000034719706 165799.90379999950528145, -41378.54349999967962503 165806.52920000068843365, -41381.6264000004157424 165807.64809999987483025, -41403.19649999961256981 165813.79849999956786633, -41411.34520000033080578 165817.44219999946653843, -41414.70110000018030405 165824.04890000075101852, -41400.80150000005960464 165895.57520000077784061, -41380.55140000022947788 165996.00840000063180923)))	1638	15931	1312	04	023	01	13120402301	007437	Porto	199833	2011	13120402301		8	Subsecção	49	42	4	2	36	7	0	49	0	0	14	33	2	0	0	2	29	12	2	0	3	0	1	49	0	0	0	0	160	160	160	0	0	120	120	30	120	120	120	120	4	33	58	25	1	39	39	38	13	89	23	121	0	70	43	41	31	110	10	1	75	30	20	15	31	31	275	133	142	284	138	146	13	22	8	19	16	19	169	150	53	9	12	5	14	11	11	82	71	16	4	10	3	5	5	8	87	79	37	3	21	5	5	10	2	24	24	17	37	35	1	126	5	7	132	51	94	0	17	115	66	81
MultiPolygon (((-39760.93059999961405993 165995.29169999994337559, -39764.55040000006556511 165993.57169999927282333, -39960.38870000001043081 166029.34679999947547913, -39992.95390000008046627 165918.8051999993622303, -39917.61760000046342611 165898.26830000057816505, -39814.20889999996870756 165871.04319999925792217, -39807.80429999995976686 165884.80670000053942204, -39791.72350000031292439 165928.76920000091195107, -39780.6901000002399087 165942.23890000022947788, -39760.93059999961405993 165995.29169999994337559)))	1639	15932	1312	12	001	01	13121200101	007437	Porto	200942	2011	13121200101		8	Subsecção	55	38	0	9	29	17	0	50	1	4	34	13	8	0	32	20	3	0	0	0	0	0	0	14	16	20	5	0	136	136	136	0	0	99	99	26	99	95	99	94	16	38	37	8	12	37	17	11	0	42	50	102	0	64	33	47	17	93	7	2	69	32	7	11	17	25	219	91	128	230	95	135	12	6	6	14	13	14	128	114	64	7	2	4	8	7	3	53	50	21	5	4	2	6	6	11	75	64	43	7	6	1	6	9	0	11	45	21	40	37	1	56	5	6	90	64	104	0	12	78	35	66
MultiPolygon (((-38888.12930000014603138 165996.60319999977946281, -38898.14190000016242266 166002.10490000061690807, -39017.35709999967366457 166024.46639999933540821, -39021.91660000011324883 165993.38260000012814999, -39026.3690999997779727 165963.95079999975860119, -38895.0553999999538064 165941.41129999980330467, -38894.76449999958276749 165943.7272999994456768, -38888.12930000014603138 165996.60319999977946281)))	1636	15929	1312	02	005	02	13120200502	007437	Porto	199331	2011	13120200502		8	Subsecção	19	14	2	12	0	5	0	19	0	0	12	5	2	0	1	9	1	5	0	2	0	1	0	7	3	9	0	0	47	47	47	0	0	38	38	9	38	38	38	37	3	6	22	7	1	8	21	7	2	32	4	38	0	23	12	14	7	37	1	0	31	7	5	2	7	11	92	39	53	97	42	55	1	3	5	9	8	7	57	50	22	1	0	2	4	3	2	25	23	10	0	3	3	5	5	5	32	27	12	1	3	2	3	6	2	6	13	5	16	16	1	40	0	1	43	24	43	1	8	34	21	26
