fid,OBJECTID,BGRI2021,DT21,DTMN21,DTMNFR21,DTMNFRSEC21,SECNUM21,SSNUM21,SECSSNUM21,SUBSECCAO,NUTS1,NUTS2,NUTS3,N_EDIFICIOS_CLASSICOS,N_EDIFICIOS_CLASS_CONST_1_OU_2_ALOJ,N_EDIFICIOS_CLASS_CONST_3_OU_MAIS_ALOJAMENTOS,N_EDIFICIOS_EXCLUSIV_RESID,N_EDIFICIOS_1_OU_2_PISOS,N_EDIFICIOS_3_OU_MAIS_PISOS,N_EDIFICIOS_CONSTR_ANTES_1945,N_EDIFICIOS_CONSTR_1946_1980,N_EDIFICIOS_CONSTR_1981_2000,N_EDIFICIOS_CONSTR_2001_2010,N_EDIFICIOS_CONSTR_2011_2021,N_EDIFICIOS_COM_NECESSIDADES_REPARACAO,N_ALOJAMENTOS_TOTAL,N_ALOJAMENTOS_FAMILIARES,N_ALOJAMENTOS_FAM_CLASS_RHABITUAL,N_ALOJAMENTOS_FAM_CLASS_VAGOS_OU_RESID_SECUNDARIA,N_RHABITUAL_ACESSIVEL_CADEIRAS_RODAS,N_RHABITUAL_COM_ESTACIONAMENTO,N_RHABITUAL_PROP_OCUP,N_RHABITUAL_ARRENDADOS,N_AGREGADOS_DOMESTICOS_PRIVADOS,N_ADP_1_OU_2_PESSOAS,N_ADP_3_OU_MAIS_PESSOAS,N_NUCLEOS_FAMILIARES,N_NUCLEOS_FAMILIARES_COM_FILHOS_TENDO_O_MAIS_NOVO_MENOS_DE_25,N_INDIVIDUOS,N_INDIVIDUOS_H,N_INDIVIDUOS_M,N_INDIVIDUOS_0_14,N_INDIVIDUOS_15_24,N_INDIVIDUOS_25_64,N_INDIVIDUOS_65_OU_MAIS,SHAPE_Length,SHAPE_Area
"266","164449","13121702401","13","1312","131217","131217024","024","01","02401","13121702401","1","11",11A,9,0,9,8,0,9,0,7,2,0,0,0,172,172,118,54,65,102,87,16,118,90,28,68,20,231,96,135,11,15,110,95,595.491560601616,18166.9671413395
"267","164450","13121703803","13","1312","131217","131217038","038","03","03803","13121703803","1","11",11A,46,39,7,43,15,31,0,38,6,2,0,2,152,152,127,25,82,103,90,25,127,68,59,94,54,325,153,172,53,37,181,54,948.703865749124,45312.2050696471
"268","164451","13121704205","13","1312","131217","131217042","042","05","04205","13121704205","1","11",11A,31,11,20,28,6,25,7,23,0,0,1,23,169,169,111,58,23,34,48,54,111,81,30,53,23,224,108,116,21,22,124,57,639.359995504758,23807.445853024
"269","164452","13120201005","13","1312","131202","131202010","010","05","01005","13120201005","1","11",11A,5,0,5,5,0,5,0,5,0,0,0,5,33,33,26,7,5,10,22,1,26,20,6,15,6,53,20,33,4,6,21,22,325.843623807337,5172.43094695433
"270","164453","13121800808","13","1312","131218","131218008","008","08","00808","13121800808","1","11",11A,55,38,15,55,37,18,4,41,4,0,6,3,136,134,102,32,47,76,78,21,102,53,49,77,48,283,133,150,51,29,152,51,1170.96389400516,69914.1080456708
"271","164454","13120302411","13","1312","131203","131203024","024","11","02411","13120302411","1","11",11A,1,1,0,1,1,0,0,1,0,0,0,0,1,1,1,0,0,1,1,0,1,0,1,1,1,3,1,2,1,0,2,0,909.887511414776,36969.9835535904
"272","164455","13120302901","13","1312","131203","131203029","029","01","02901","13120302901","1","11",11A,22,20,2,21,22,0,20,2,0,0,0,16,33,33,28,5,9,2,5,23,28,19,9,19,7,64,34,30,9,6,34,15,251.227848946012,3580.68465856556
"273","164456","13121704407","13","1312","131217","131217044","044","07","04407","13121704407","1","11",11A,43,27,16,40,29,14,4,26,7,1,5,27,160,160,111,49,31,40,42,64,111,87,24,58,24,204,88,116,20,12,136,36,584.320102530417,16424.684759363
"274","164457","13121702102","13","1312","131217","131217021","021","02","02102","13121702102","1","11",11A,46,33,12,45,14,32,18,14,8,4,2,16,94,93,65,28,4,13,24,37,65,49,16,33,13,136,53,83,10,13,82,31,684.671862593951,22145.3263056743
"275","164458","13120300902","13","1312","131203","131203009","009","02","00902","13120300902","1","11",11A,7,0,7,6,0,7,0,0,0,7,0,0,167,167,139,28,135,139,106,21,139,90,49,98,57,319,153,166,64,25,206,24,956.923593967462,24519.7736276865
"276","164459","13120302902","13","1312","131203","131203029","029","02","02902","13120302902","1","11",11A,7,2,5,7,2,5,0,3,4,0,0,5,33,33,31,2,1,2,3,27,31,22,9,19,8,67,29,38,10,6,34,17,215.012189707468,2503.68069705623
"277","164460","13120302903","13","1312","131203","131203029","029","03","02903","13120302903","1","11",11A,33,0,32,33,0,33,0,0,33,0,0,0,279,278,270,8,243,168,128,136,270,125,145,234,127,784,381,403,109,120,436,119,688.174909827393,28492.7476013716
"278","164461","13121704001","13","1312","131217","131217040","040","01","04001","13121704001","1","11",11A,61,25,33,56,12,49,2,31,21,7,0,20,325,320,239,81,58,121,126,93,246,182,64,125,50,511,235,276,51,50,296,114,868.010535017159,38298.281032693
"279","164462","13121101001","13","1312","131211","131211010","010","01","01001","13121101001","1","11",11A,234,207,27,231,201,33,150,9,18,6,51,183,429,429,307,122,65,96,151,143,307,212,95,181,76,640,303,337,66,62,338,174,881.356977497216,42869.1248977538
"280","164466","13120301302","13","1312","131203","131203013","013","02","01302","13120301302","1","11",11A,89,89,0,89,47,42,17,58,8,6,0,21,98,98,80,18,31,57,68,6,80,53,27,67,22,199,85,114,20,15,93,71,1070.62741223481,31432.4810106974
"281","164467","13120302907","13","1312","131203","131203029","029","07","02907","13120302907","1","11",11A,30,28,2,29,30,0,17,13,0,0,0,26,40,40,31,9,7,3,8,21,31,27,4,15,4,54,32,22,2,4,30,18,331.727030035065,6604.34235622749
"282","164468","13121702402","13","1312","131217","131217024","024","02","02402","13121702402","1","11",11A,15,13,2,15,0,15,1,2,0,12,0,0,74,74,60,14,45,56,38,14,60,40,20,34,19,135,65,70,22,16,66,31,672.682154399463,23527.6638303537
"283","164469","13121704003","13","1312","131217","131217040","040","03","04003","13121704003","1","11",11A,27,11,14,27,8,19,9,14,0,2,2,9,97,95,75,20,10,39,29,42,75,55,20,43,19,219,74,145,22,7,90,100,782.439242382149,35569.6272254931
"284","164470","13121601107","13","1312","131216","131216011","011","07","01107","13121601107","1","11",11A,15,11,4,15,1,14,0,8,4,0,3,1,37,37,26,11,14,25,21,4,26,19,7,15,6,55,27,28,7,3,25,20,1045.37243552032,41150.5524944123
"285","164471","13120202005","13","1312","131202","131202020","020","05","02005","13120202005","1","11",11A,8,0,8,6,0,8,0,7,1,0,0,6,121,121,104,17,82,62,71,27,104,57,47,81,34,264,120,144,42,18,113,91,687.221922041187,19038.1952294426
"286","164472","13121102706","13","1312","131211","131211027","027","06","02706","13121102706","1","11",11A,8,0,8,7,0,8,0,2,6,0,0,7,78,78,64,14,9,27,35,24,64,47,17,33,12,127,61,66,14,10,69,34,371.575804619204,8788.40708758105
"287","164473","13120202006","13","1312","131202","131202020","020","06","02006","13120202006","1","11",11A,13,7,6,13,5,8,0,10,3,0,0,11,51,51,44,7,3,11,28,10,44,25,19,31,18,100,37,63,12,12,44,32,410.072861020974,10444.6799405562
"288","164474","13121702403","13","1312","131217","131217024","024","03","02403","13121702403","1","11",11A,18,17,0,18,7,11,6,9,1,1,1,1,19,18,13,5,8,13,12,1,13,7,6,11,5,38,20,18,2,7,21,8,530.27575904016,15565.7641384684
"289","164475","13121102501","13","1312","131211","131211025","025","01","02501","13121102501","1","11",11A,5,3,2,5,0,5,0,2,0,3,0,0,15,15,8,7,7,8,7,0,8,4,4,6,4,22,12,10,3,5,10,4,369.187283627765,7139.92606246896
"290","164476","13121801813","13","1312","131218","131218018","018","13","01813","13121801813","1","11",11A,36,24,12,34,3,33,3,25,5,3,0,4,104,104,91,13,19,63,52,30,91,63,28,70,24,210,99,111,21,20,106,63,856.637209105203,22246.9200522634
"291","164477","13121801814","13","1312","131218","131218018","018","14","01814","13121801814","1","11",11A,19,14,3,19,8,11,2,16,0,0,1,2,49,47,28,19,12,18,12,12,28,16,12,23,13,111,39,72,15,14,43,39,681.231072050929,19662.616125207
"292","164478","13121101602","13","1312","131211","131211016","016","02","01602","13121101602","1","11",11A,5,5,0,5,5,0,0,0,3,2,0,0,7,7,5,2,5,5,4,0,5,3,2,4,2,11,5,6,2,0,8,1,644.924097316763,24057.2985771541
"293","164479","13121602505","13","1312","131216","131216025","025","05","02505","13121602505","1","11",11A,33,28,5,31,29,4,0,6,19,7,1,8,73,73,48,25,21,19,17,29,48,33,15,28,18,107,44,63,19,15,47,26,1015.51979300572,66880.0947188114
"294","164480","13121600802","13","1312","131216","131216008","008","02","00802","13121600802","1","11",11A,42,17,25,40,8,34,5,22,5,8,2,2,211,211,164,47,53,148,119,33,164,98,66,113,62,398,179,219,54,50,204,90,833.755809721251,27041.2479767827
"295","164753","13121705201","13","1312","131217","131217052","052","01","05201","13121705201","1","11",11A,7,0,7,6,0,7,6,0,0,0,1,3,33,33,13,20,1,0,1,12,13,9,4,7,5,27,15,12,4,4,11,8,272.179001811468,3061.30753406014
"296","164754","13121705103","13","1312","131217","131217051","051","03","05103","13121705103","1","11",11A,42,28,14,40,21,21,42,0,0,0,0,36,88,88,52,36,0,0,6,44,52,34,18,30,12,108,43,65,11,9,56,32,533.60738942695,9161.52122215636
"297","164755","13121702901","13","1312","131217","131217029","029","01","02901","13121702901","1","11",11A,12,0,12,6,1,11,10,2,0,0,0,4,38,38,26,12,1,0,4,22,26,16,10,18,11,64,28,36,6,8,38,12,386.049459834351,9487.56230239509
