fid,OBJECTID,BGRI2021,DT21,DTMN21,DTMNFR21,DTMNFRSEC21,SECNUM21,SSNUM21,SECSSNUM21,SUBSECCAO,NUTS1,NUTS2,NUTS3,N_EDIFICIOS_CLASSICOS,N_EDIFICIOS_CLASS_CONST_1_OU_2_ALOJ,N_EDIFICIOS_CLASS_CONST_3_OU_MAIS_ALOJAMENTOS,N_EDIFICIOS_EXCLUSIV_RESID,N_EDIFICIOS_1_OU_2_PISOS,N_EDIFICIOS_3_OU_MAIS_PISOS,N_EDIFICIOS_CONSTR_ANTES_1945,N_EDIFICIOS_CONSTR_1946_1980,N_EDIFICIOS_CONSTR_1981_2000,N_EDIFICIOS_CONSTR_2001_2010,N_EDIFICIOS_CONSTR_2011_2021,N_EDIFICIOS_COM_NECESSIDADES_REPARACAO,N_ALOJAMENTOS_TOTAL,N_ALOJAMENTOS_FAMILIARES,N_ALOJAMENTOS_FAM_CLASS_RHABITUAL,N_ALOJAMENTOS_FAM_CLASS_VAGOS_OU_RESID_SECUNDARIA,N_RHABITUAL_ACESSIVEL_CADEIRAS_RODAS,N_RHABITUAL_COM_ESTACIONAMENTO,N_RHABITUAL_PROP_OCUP,N_RHABITUAL_ARRENDADOS,N_AGREGADOS_DOMESTICOS_PRIVADOS,N_ADP_1_OU_2_PESSOAS,N_ADP_3_OU_MAIS_PESSOAS,N_NUCLEOS_FAMILIARES,N_NUCLEOS_FAMILIARES_COM_FILHOS_TENDO_O_MAIS_NOVO_MENOS_DE_25,N_INDIVIDUOS,N_INDIVIDUOS_H,N_INDIVIDUOS_M,N_INDIVIDUOS_0_14,N_INDIVIDUOS_15_24,N_INDIVIDUOS_25_64,N_INDIVIDUOS_65_OU_MAIS,SHAPE_Length,SHAPE_Area
"812","167321","13121103305","13","1312","131211","131211033","033","05","03305","13121103305","1","11",11A,25,2,23,25,2,23,15,9,1,0,0,1,186,186,180,6,6,1,2,172,180,93,87,159,74,511,243,268,69,64,250,128,1149.65703305211,42371.3536283591
"813","167322","13121600402","13","1312","131216","131216004","004","02","00402","13121600402","1","11",11A,13,13,0,13,0,13,0,0,10,3,0,3,14,14,11,3,4,11,11,0,11,5,6,9,5,32,16,16,5,3,22,2,458.415610655956,6780.54787646161
"814","167323","13121100502","13","1312","131211","131211005","005","02","00502","13121100502","1","11",11A,17,0,17,16,0,17,0,0,0,0,17,9,147,147,143,4,7,0,2,138,143,71,72,114,62,392,187,205,76,45,196,75,605.409458166195,15548.7132859456
"815","167324","13121600902","13","1312","131216","131216009","009","02","00902","13121600902","1","11",11A,40,38,2,40,27,13,0,36,0,4,0,0,46,46,41,5,15,28,35,2,41,21,20,37,14,111,53,58,16,8,51,36,458.530496826534,12482.9940774652
"816","167325","13121000605","13","1312","131210","131210006","006","05","00605","13121000605","1","11",11A,16,16,0,16,15,1,15,0,1,0,0,4,16,16,12,4,1,0,9,3,12,10,2,8,1,23,11,12,2,0,7,14,165.29450100464,1496.51825783517
"817","167326","13121000906","13","1312","131210","131210009","009","06","00906","13121000906","1","11",11A,7,6,1,7,6,1,6,1,0,0,0,5,9,9,6,3,2,0,1,5,6,4,2,3,1,11,6,5,0,1,3,7,222.481909839295,1628.8517157397
"818","167327","13121002203","13","1312","131210","131210022","022","03","02203","13121002203","1","11",11A,26,15,11,25,2,24,7,15,2,2,0,9,70,70,58,12,9,52,39,15,58,35,23,43,15,134,56,78,11,14,62,47,558.816532803672,19153.8815730333
"819","167328","13121000504","13","1312","131210","131210005","005","04","00504","13121000504","1","11",11A,31,14,17,30,12,19,11,15,5,0,0,13,92,92,64,28,4,16,22,40,64,46,18,31,15,131,61,70,10,16,85,20,1117.5203680831,36727.580266985
"820","167329","13120302117","13","1312","131203","131203021","021","17","02117","13120302117","1","11",11A,24,17,7,20,17,7,7,11,4,2,0,18,119,119,89,30,16,73,65,19,89,53,36,58,27,199,84,115,23,19,108,49,981.905919735,43457.2101138727
"821","167330","13121002204","13","1312","131210","131210022","022","04","02204","13121002204","1","11",11A,21,15,5,21,4,17,4,11,3,3,0,6,52,51,39,12,4,21,25,12,39,25,14,24,14,91,43,48,7,16,47,21,497.408894607518,14957.1456411096
"822","167331","13121600501","13","1312","131216","131216005","005","01","00501","13121600501","1","11",11A,3,0,3,3,0,3,0,0,0,3,0,0,48,48,47,1,11,0,0,46,47,31,16,34,16,105,45,60,12,9,60,24,311.612170440422,5275.26284426818
"823","167332","13120301811","13","1312","131203","131203018","018","11","01811","13120301811","1","11",11A,9,9,0,9,0,9,6,1,2,0,0,3,9,9,6,3,0,6,6,0,6,3,3,5,3,17,7,10,3,3,8,3,319.704254614184,4655.92254332149
"824","167333","13121000608","13","1312","131210","131210006","006","08","00608","13121000608","1","11",11A,34,27,7,31,26,8,0,31,3,0,0,9,103,103,74,29,31,44,56,13,74,48,26,47,21,165,76,89,13,21,77,54,594.925876574918,17054.0675629893
"825","167334","13121000609","13","1312","131210","131210006","006","09","00609","13121000609","1","11",11A,24,20,4,24,16,8,6,17,0,1,0,10,43,43,33,10,8,9,16,10,33,23,10,20,10,67,31,36,9,4,38,16,1373.81248639462,59825.3866413931
"826","167550","13121602202","13","1312","131216","131216022","022","02","02202","13121602202","1","11",11A,8,7,1,8,7,1,7,1,0,0,0,5,13,13,10,3,1,0,6,4,10,6,4,5,3,23,8,15,4,1,11,7,338.32550847592,3958.51153149744
"827","167551","13121602314","13","1312","131216","131216023","023","14","02314","13121602314","1","11",11A,5,5,0,5,5,0,2,3,0,0,0,0,5,5,4,1,4,3,3,1,4,1,3,4,3,14,6,8,3,2,8,1,378.087665880093,7959.2175835773
"828","167552","13121703403","13","1312","131217","131217034","034","03","03403","13121703403","1","11",11A,38,16,22,32,14,24,9,8,14,5,2,10,125,125,79,46,3,5,20,55,79,68,11,34,12,139,59,80,10,14,78,37,805.611054754728,38988.9242734784
"829","167553","13121602315","13","1312","131216","131216023","023","15","02315","13121602315","1","11",11A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4885.05778626516,586235.028096019
"830","167554","13120302505","13","1312","131203","131203025","025","05","02505","13120302505","1","11",11A,15,14,1,15,15,0,8,6,0,0,1,4,18,18,13,5,2,4,8,4,13,9,4,8,3,28,12,16,2,4,10,12,563.212632930444,14084.0392342218
"831","167555","13121602316","13","1312","131216","131216023","023","16","02316","13121602316","1","11",11A,24,21,3,23,14,10,6,15,2,0,1,16,39,39,30,9,9,14,21,5,30,23,7,21,6,65,30,35,2,7,30,26,355.47203694329,7407.45357304478
"832","167556","13120200404","13","1312","131202","131202004","004","04","00404","13120200404","1","11",11A,112,89,21,108,85,27,50,47,9,1,5,79,236,234,157,77,25,29,74,73,158,108,50,98,41,348,164,184,29,32,184,103,808.454528826237,34422.9330187248
"833","167557","13121602317","13","1312","131216","131216023","023","17","02317","13121602317","1","11",11A,11,10,1,11,11,0,0,10,0,0,1,5,17,17,11,6,1,1,6,3,11,9,2,6,2,22,11,11,3,1,8,10,195.479498182793,2320.11630598807
"834","167558","13121602203","13","1312","131216","131216022","022","03","02203","13121602203","1","11",11A,8,6,2,8,6,2,1,5,2,0,0,1,13,13,6,7,1,5,4,2,6,1,5,6,3,17,10,7,2,3,7,5,190.15566282725,1742.64519175177
"835","167559","13121701601","13","1312","131217","131217016","016","01","01601","13121701601","1","11",11A,54,39,15,47,24,30,46,6,1,1,0,16,116,116,62,54,4,3,10,47,62,49,13,39,8,125,53,72,7,9,71,38,724.588159832692,31418.2468188281
"836","167560","13121602204","13","1312","131216","131216022","022","04","02204","13121602204","1","11",11A,7,7,0,7,6,1,3,0,3,1,0,6,7,7,6,1,0,1,4,2,6,3,3,7,1,16,9,7,0,1,7,8,157.490337572001,1341.40816963336
"837","167561","13121802205","13","1312","131218","131218022","022","05","02205","13121802205","1","11",11A,4,3,1,4,2,2,3,0,0,0,1,1,7,7,5,2,2,1,1,4,5,3,2,4,1,13,8,5,3,0,9,1,323.997420457812,4609.83199529118
"838","167562","13121602205","13","1312","131216","131216022","022","05","02205","13121602205","1","11",11A,6,6,0,6,6,0,0,0,6,0,0,0,6,6,6,0,0,4,0,6,6,1,5,6,3,23,11,12,2,4,13,4,204.441812917661,2068.11919008396
"839","167563","13121701602","13","1312","131217","131217016","016","02","01602","13121701602","1","11",11A,8,2,6,5,0,8,6,1,1,0,0,0,20,20,8,12,0,0,2,6,8,8,0,5,0,13,6,7,0,0,9,4,452.471808893327,10192.0152525915
"840","167564","13121800501","13","1312","131218","131218005","005","01","00501","13121800501","1","11",11A,22,0,22,20,0,22,0,22,0,0,0,12,287,287,229,58,131,87,169,40,229,169,60,134,47,455,217,238,49,24,207,175,701.422882364605,32096.0576613558
"841","167565","13121802508","13","1312","131218","131218025","025","08","02508","13121802508","1","11",11A,24,24,0,24,23,1,13,7,1,2,1,22,27,27,13,14,2,1,7,6,13,7,6,9,5,29,13,16,3,3,13,10,292.902878266897,4801.09124180403
"842","167566","13120200501","13","1312","131202","131202005","005","01","00501","13120200501","1","11",11A,41,36,4,40,36,5,7,15,8,11,0,8,54,53,44,9,5,6,16,27,44,37,7,21,8,102,55,47,3,7,60,32,388.030666868473,7869.78390453844
"843","167567","13121703514","13","1312","131217","131217035","035","14","03514","13121703514","1","11",11A,19,12,7,14,2,17,18,1,0,0,0,1,39,39,23,16,2,1,2,18,23,17,6,7,5,44,20,24,4,6,30,4,562.781939887093,16216.1080352098
"844","167568","13121702711","13","1312","131217","131217027","027","11","02711","13121702711","1","11",11A,9,4,4,8,3,6,5,2,1,0,1,2,27,26,13,13,0,0,0,13,13,13,0,3,1,33,14,19,1,2,28,2,572.266281454503,12942.3052150336
"845","167569","13121702712","13","1312","131217","131217027","027","12","02712","13121702712","1","11",11A,25,11,14,14,0,25,24,1,0,0,0,8,83,83,56,27,6,1,12,41,56,45,11,28,7,110,51,59,8,11,65,26,580.327940061597,19602.238256958
"846","167570","13121802101","13","1312","131218","131218021","021","01","02101","13121802101","1","11",11A,18,6,12,18,1,17,6,2,10,0,0,4,103,103,94,9,11,1,65,11,94,59,35,83,25,237,111,126,23,13,123,78,459.583089329035,10567.5517319612
"847","167571","13121701603","13","1312","131217","131217016","016","03","01603","13121701603","1","11",11A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,456.517592088074,10912.150805953
"848","167572","13121703404","13","1312","131217","131217034","034","04","03404","13121703404","1","11",11A,60,31,28,52,25,35,14,35,6,2,3,13,246,245,151,94,35,54,61,83,152,119,33,69,26,289,141,148,16,26,183,64,843.480357633975,38619.6661345558
"849","167573","13120200502","13","1312","131202","131202005","005","02","00502","13120200502","1","11",11A,76,65,11,76,68,8,1,22,19,34,0,18,125,125,85,40,29,2,23,57,85,70,15,41,13,152,68,84,10,8,84,50,543.489603958433,11045.6604024537
"850","167574","13121602206","13","1312","131216","131216022","022","06","02206","13121602206","1","11",11A,18,18,0,18,17,1,13,0,3,1,1,11,18,18,15,3,2,2,9,6,15,9,6,9,3,34,13,21,1,7,15,11,419.764170208745,5755.31878409027
"851","167575","13121702714","13","1312","131217","131217027","027","14","02714","13121702714","1","11",11A,12,4,8,8,1,11,8,3,1,0,0,8,40,40,21,19,2,0,0,21,21,14,7,12,2,46,27,19,1,7,24,14,509.313663101062,11611.8912733101
"852","167576","13121602209","13","1312","131216","131216022","022","09","02209","13121602209","1","11",11A,28,28,0,28,28,0,3,23,0,2,0,12,29,29,20,9,5,8,14,5,20,13,7,13,8,45,15,30,5,8,24,8,420.960945210636,8560.40066829383
"853","167587","13121004002","13","1312","131210","131210040","040","02","04002","13121004002","1","11",11A,53,53,0,53,36,17,16,31,3,3,0,6,57,57,40,17,11,21,25,12,40,25,15,26,8,89,45,44,7,4,42,36,2351.11381191616,252710.333890418
"854","167588","13121004003","13","1312","131210","131210040","040","03","04003","13121004003","1","11",11A,9,0,9,9,0,9,0,0,9,0,0,0,120,120,68,52,14,67,26,31,68,47,21,36,19,142,64,78,18,21,97,6,608.405725191176,20513.2692348009
"855","167589","13121001321","13","1312","131210","131210013","013","21","01321","13121001321","1","11",11A,8,3,5,5,3,5,3,0,0,3,2,3,192,192,113,79,99,108,32,69,113,101,12,41,7,183,86,97,6,31,133,13,971.182367164991,33945.4428567384
"856","167590","13121004109","13","1312","131210","131210041","041","09","04109","13121004109","1","11",11A,54,52,2,54,48,6,25,16,7,4,2,13,67,67,47,20,11,18,22,20,47,34,13,28,13,100,46,54,11,11,48,30,480.818743173865,13475.6000822686
"857","167591","13121003101","13","1312","131210","131210031","031","01","03101","13121003101","1","11",11A,5,0,5,4,0,5,0,0,5,0,0,0,124,124,47,77,8,41,28,15,47,37,10,25,11,94,40,54,3,16,57,18,355.857738126471,7736.64986199224
"858","167592","13121004110","13","1312","131210","131210041","041","10","04110","13121004110","1","11",11A,34,32,1,34,31,3,13,6,6,3,6,4,45,44,31,13,8,17,15,15,31,17,14,23,12,78,37,41,10,8,43,17,835.72692796179,34119.7698591172
"859","167593","13121004004","13","1312","131210","131210040","040","04","04004","13121004004","1","11",11A,2,0,2,2,0,2,0,0,0,2,0,0,87,87,59,28,59,59,25,30,59,49,10,31,12,109,50,59,7,13,81,8,854.51040262515,21822.1734583062
"860","167594","13121003102","13","1312","131210","131210031","031","02","03102","13121003102","1","11",11A,26,2,24,22,2,24,1,1,11,11,2,8,401,401,174,227,106,161,90,64,174,141,33,79,34,317,144,173,28,35,220,34,1002.22449457299,45507.215014812
"861","167595","13121004005","13","1312","131210","131210040","040","05","04005","13121004005","1","11",11A,9,1,7,7,1,8,0,1,4,0,4,0,250,249,115,134,90,115,44,65,115,95,20,44,21,208,102,106,15,27,164,2,804.909306881713,37171.4170584952
"862","167607","13120200405","13","1312","131202","131202004","004","05","00405","13120200405","1","11",11A,50,31,19,48,21,29,27,17,5,1,0,30,187,187,140,47,9,31,56,74,140,101,39,87,28,304,135,169,22,29,170,83,1411.05204590868,74656.526514115
"863","167608","13121701703","13","1312","131217","131217017","017","03","01703","13121701703","1","11",11A,10,8,1,9,7,3,4,0,1,2,3,3,15,14,3,11,0,0,0,2,3,3,0,1,0,10,4,6,0,0,10,0,218.837170971002,2037.45177114669
"864","167609","13121802511","13","1312","131218","131218025","025","11","02511","13121802511","1","11",11A,105,99,6,104,89,16,88,5,0,7,5,61,131,131,81,50,12,16,37,40,81,56,25,49,19,173,79,94,17,15,89,52,1240.40710203627,38046.8970942946
"865","167610","13120302506","13","1312","131203","131203025","025","06","02506","13120302506","1","11",11A,26,26,0,26,0,26,0,0,25,1,0,0,26,26,26,0,1,26,23,1,26,13,13,24,12,72,36,36,7,12,41,12,420.03741507076,8178.76342700423
"866","167611","13121600704","13","1312","131216","131216007","007","04","00704","13121600704","1","11",11A,3,2,1,3,1,2,0,1,0,1,1,1,9,9,7,2,6,7,5,1,7,3,4,5,3,23,14,9,8,2,12,1,447.139283524571,7388.8452441971
"867","167612","13121701606","13","1312","131217","131217016","016","06","01606","13121701606","1","11",11A,25,13,12,20,5,20,13,8,1,2,1,4,80,80,52,28,12,11,9,40,52,38,14,28,12,108,46,62,13,9,69,17,497.119982726751,10621.2158325524
"868","167613","13121701607","13","1312","131217","131217016","016","07","01607","13121701607","1","11",11A,14,9,5,13,7,7,7,4,1,2,0,5,31,31,19,12,0,0,9,7,19,15,4,8,4,34,15,19,5,1,19,9,478.020056809456,12129.0766642138
"869","167614","13121701608","13","1312","131217","131217016","016","08","01608","13121701608","1","11",11A,11,5,6,8,3,8,7,3,1,0,0,3,24,24,9,15,0,0,0,8,9,7,2,3,1,17,10,7,1,3,7,6,199.119464259726,2426.90130423506
"870","167615","13121703301","13","1312","131217","131217033","033","01","03301","13121703301","1","11",11A,3,2,1,3,0,3,2,0,0,0,1,0,7,7,3,4,0,0,0,3,3,2,1,1,0,7,4,3,0,5,2,0,215.828504783938,1726.69134928817
"871","167616","13121602212","13","1312","131216","131216022","022","12","02212","13121602212","1","11",11A,23,21,2,23,16,7,18,2,0,0,3,12,30,30,22,8,5,16,14,6,22,11,11,16,9,56,32,24,10,4,33,9,357.908743162028,7321.76138374176
"872","167884","13121701101","13","1312","131217","131217011","011","01","01101","13121701101","1","11",11A,23,6,16,12,0,23,20,3,0,0,0,14,89,86,40,46,2,0,18,17,42,33,9,18,5,84,43,41,3,16,50,15,479.389759184571,13973.3057662861
"873","167885","13121701609","13","1312","131217","131217016","016","09","01609","13121701609","1","11",11A,32,16,14,27,5,27,16,13,1,2,0,10,104,102,70,32,16,14,18,49,70,55,15,31,13,146,73,73,16,4,86,40,646.962731043406,22442.4458897702
"874","167886","13121602320","13","1312","131216","131216023","023","20","02320","13121602320","1","11",11A,94,88,6,93,80,14,22,49,9,8,6,41,128,128,103,25,16,46,55,38,103,63,40,73,29,242,109,133,18,31,124,69,695.295701107094,24430.8404943438
"875","167887","13121802103","13","1312","131218","131218021","021","03","02103","13121802103","1","11",11A,35,17,18,30,10,25,20,5,3,6,1,7,269,269,173,96,86,94,78,71,173,139,34,80,34,328,159,169,28,33,189,78,940.450941716093,30856.1658276638
"876","167888","13121802210","13","1312","131218","131218022","022","10","02210","13121802210","1","11",11A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,878.061304715267,35682.61715344
"877","167889","13121602213","13","1312","131216","131216022","022","13","02213","13121602213","1","11",11A,9,8,1,9,6,3,9,0,0,0,0,5,12,12,6,6,1,3,4,2,6,2,4,5,2,15,9,6,1,1,8,5,342.628940741474,3812.91184781862
"878","167890","13121600101","13","1312","131216","131216001","001","01","00101","13121600101","1","11",11A,7,6,1,6,2,5,1,6,0,0,0,3,11,11,4,7,0,2,4,0,4,3,1,5,1,11,5,6,0,1,2,8,195.444580611879,2239.7099102899
"879","167891","13121600708","13","1312","131216","131216007","007","08","00708","13121600708","1","11",11A,30,26,4,30,26,4,21,4,3,0,2,20,48,48,36,12,5,18,24,10,36,25,11,22,11,79,36,43,13,7,35,24,404.745731715509,9879.30912057479
"880","167892","13121802211","13","1312","131218","131218022","022","11","02211","13121802211","1","11",11A,1,0,0,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,4,2,2,0,0,4,0,927.737396470592,23009.0408783862
"881","167893","13121800105","13","1312","131218","131218001","001","05","00105","13121800105","1","11",11A,10,10,0,10,9,1,3,7,0,0,0,1,10,10,8,2,4,8,6,2,8,3,5,7,0,22,11,11,0,0,11,11,279.665922710055,2323.02108259259
"882","167894","13121602214","13","1312","131216","131216022","022","14","02214","13121602214","1","11",11A,22,16,6,22,15,7,1,19,1,0,1,14,48,48,42,6,13,24,29,6,42,20,22,34,19,111,55,56,20,13,58,20,367.254829648791,7850.01561439314
"883","167895","13121801302","13","1312","131218","131218013","013","02","01302","13121801302","1","11",11A,37,27,10,36,20,17,15,13,1,8,0,33,152,152,127,25,75,98,95,21,127,68,59,89,55,318,163,155,65,26,179,48,722.447117995964,27836.8436768271
"884","167896","13121703302","13","1312","131217","131217033","033","02","03302","13121703302","1","11",11A,25,12,13,16,4,21,16,3,4,2,0,2,93,93,55,38,8,17,21,31,55,51,4,25,5,91,37,54,4,5,53,29,653.967637480394,25467.2031572112
"885","167897","13120302507","13","1312","131203","131203025","025","07","02507","13120302507","1","11",11A,44,42,2,44,44,0,42,1,0,0,1,20,53,53,40,13,6,10,11,27,40,32,8,25,8,75,39,36,7,3,36,29,1654.65786821643,143596.763758024
"886","167898","13120301201","13","1312","131203","131203012","012","01","01201","13120301201","1","11",11A,21,21,0,21,20,1,17,4,0,0,0,1,21,21,19,2,3,2,9,10,19,11,8,14,6,45,18,27,4,4,21,16,719.184635764159,19401.5197042915
"887","167899","13121600709","13","1312","131216","131216007","007","09","00709","13121600709","1","11",11A,18,15,3,17,16,2,2,12,2,2,0,12,34,34,26,8,3,4,8,15,26,17,9,18,6,58,27,31,5,4,34,15,291.649143936079,4042.35290600072
"888","167900","13121800106","13","1312","131218","131218001","001","06","00106","13121800106","1","11",11A,10,10,0,10,10,0,0,10,0,0,0,1,10,10,8,2,3,4,7,1,8,4,4,6,3,21,12,9,3,3,12,3,275.219143979702,2515.00821696873
"889","167901","13120302508","13","1312","131203","131203025","025","08","02508","13120302508","1","11",11A,58,54,4,58,58,0,48,3,2,0,5,34,77,77,48,29,6,10,14,32,48,34,14,27,11,103,52,51,12,7,44,40,1333.85431504058,84732.6957891385
"890","167902","13121600710","13","1312","131216","131216007","007","10","00710","13121600710","1","11",11A,23,22,1,23,20,3,13,4,2,1,3,9,28,28,24,4,13,14,19,4,24,9,15,22,14,74,41,33,10,12,41,11,456.368989792958,10090.8794114243
"891","167903","13120301202","13","1312","131203","131203012","012","02","01202","13120301202","1","11",11A,22,22,0,22,22,0,17,5,0,0,0,5,22,22,21,1,4,5,3,15,21,16,5,10,4,38,19,19,3,3,13,19,632.047428299352,18403.8727767065
"892","167904","13121802413","13","1312","131218","131218024","024","13","02413","13121802413","1","11",11A,18,15,2,18,14,4,15,0,3,0,0,12,27,26,17,9,0,0,7,8,17,10,7,12,6,71,23,48,6,4,21,40,1246.21300186863,35058.1702132444
"893","167905","13120302701","13","1312","131203","131203027","027","01","02701","13120302701","1","11",11A,29,29,0,29,29,0,29,0,0,0,0,28,29,29,23,6,7,0,0,22,23,11,12,15,11,59,31,28,14,7,30,8,236.584623351288,2877.28735319808
"894","167906","13121802212","13","1312","131218","131218022","022","12","02212","13121802212","1","11",11A,45,45,0,45,43,2,4,39,2,0,0,0,46,46,25,21,3,2,12,9,25,16,9,15,9,55,22,33,6,9,21,19,422.168320974453,8874.43258740825
"895","168191","13121601403","13","1312","131216","131216014","014","03","01403","13121601403","1","11",11A,20,14,6,20,15,5,18,0,1,1,0,18,49,49,29,20,6,11,15,9,29,19,10,17,9,65,26,39,9,8,28,20,302.825578802379,5891.55500440002
"896","168192","13120301701","13","1312","131203","131203017","017","01","01701","13120301701","1","11",11A,70,60,10,69,58,12,52,18,0,0,0,31,113,113,77,36,4,9,31,41,77,48,29,52,23,178,88,90,23,14,88,53,1036.95551420835,47594.6504180101
"897","168193","13121800111","13","1312","131218","131218001","001","11","00111","13121800111","1","11",11A,55,43,12,53,41,14,44,1,1,9,0,16,131,131,110,21,64,82,89,12,110,55,55,86,52,291,144,147,53,33,145,60,1451.72173420845,71052.8058372003
"898","168194","13121600104","13","1312","131216","131216001","001","04","00104","13121600104","1","11",11A,17,10,7,17,7,10,1,13,1,0,2,10,43,43,34,9,5,17,19,8,34,24,10,20,9,71,31,40,9,5,34,23,355.817058548306,7741.48410868956
"899","168195","13121802104","13","1312","131218","131218021","021","04","02104","13121802104","1","11",11A,6,0,6,2,0,6,0,0,6,0,0,0,248,248,192,56,181,172,146,31,192,134,58,117,55,418,204,214,45,52,247,74,605.726423337502,24674.6854455105
"900","168196","13121800112","13","1312","131218","131218001","001","12","00112","13121800112","1","11",11A,4,0,4,3,0,4,0,0,4,0,0,4,58,58,53,5,27,22,47,3,53,32,21,38,14,128,64,64,12,12,68,36,272.960843637654,3452.48123025416
"901","168197","13120200503","13","1312","131202","131202005","005","03","00503","13120200503","1","11",11A,68,40,28,65,21,47,18,38,8,2,2,14,318,318,247,71,39,93,145,92,247,178,69,141,56,499,219,280,48,40,279,132,962.425258037996,42653.3292497147
"902","168198","13120202602","13","1312","131202","131202026","026","02","02602","13120202602","1","11",11A,40,23,15,34,23,17,24,7,8,1,0,22,224,223,169,54,77,86,95,62,169,121,48,95,41,373,152,221,38,56,209,70,1183.80169910084,58870.6898975387
"903","168210","13120302809","13","1312","131203","131203028","028","09","02809","13120302809","1","11",11A,29,28,1,29,26,3,26,0,0,2,1,10,31,31,15,16,7,9,12,3,15,8,7,11,5,46,26,20,0,6,27,13,1050.77155220786,53557.1727269356
"904","168211","13121700405","13","1312","131217","131217004","004","05","00405","13121700405","1","11",11A,63,44,19,58,44,19,23,36,1,0,3,45,156,156,103,53,10,3,31,67,103,76,27,52,20,203,94,109,20,17,130,36,554.328243962467,16453.5556416369
"905","168212","13121801213","13","1312","131218","131218012","012","13","01213","13121801213","1","11",11A,48,44,4,48,20,28,18,26,4,0,0,3,58,58,50,8,12,31,44,5,50,20,30,39,26,142,72,70,29,19,69,25,996.500528604027,38628.5969271191
"906","168213","13120300807","13","1312","131203","131203008","008","07","00807","13120300807","1","11",11A,12,11,1,12,10,2,3,7,2,0,0,5,50,50,43,7,4,34,35,5,43,30,13,28,11,97,46,51,4,12,38,43,341.560075081538,7325.1924498767
"907","168214","13121601304","13","1312","131216","131216013","013","04","01304","13121601304","1","11",11A,11,3,8,11,0,11,1,5,3,1,1,3,47,47,40,7,10,17,26,8,40,22,18,28,18,96,39,57,15,13,46,22,356.375680114731,7271.21766444752
"908","168215","13121801801","13","1312","131218","131218018","018","01","01801","13121801801","1","11",11A,20,20,0,20,6,14,3,5,0,12,0,2,20,20,16,4,10,16,16,0,16,6,10,13,9,51,23,28,6,12,25,8,540.894862723447,16959.0364236789
"909","168216","13120303004","13","1312","131203","131203030","030","04","03004","13120303004","1","11",11A,14,6,8,14,6,8,2,11,1,0,0,7,49,49,43,6,8,21,29,13,43,22,21,35,9,112,56,56,10,6,58,38,621.812291274798,10539.4050894967
"910","168217","13121801902","13","1312","131218","131218019","019","02","01902","13121801902","1","11",11A,31,22,9,28,23,8,1,25,5,0,0,24,70,70,55,15,4,30,30,21,55,30,25,42,19,134,68,66,10,17,83,24,473.817702994201,7593.14972265531
"911","168218","13121700604","13","1312","131217","131217006","006","04","00604","13121700604","1","11",11A,17,6,10,15,0,17,2,8,2,4,1,2,145,144,106,38,32,57,40,61,106,85,21,45,20,205,90,115,13,19,132,41,1445.63443652824,94076.3431714963
"912","168219","13121703606","13","1312","131217","131217036","036","06","03606","13121703606","1","11",11A,55,33,22,52,25,30,37,15,1,1,1,11,202,202,139,63,17,17,34,98,139,117,22,65,24,257,114,143,27,17,159,54,509.480887702416,13484.6827799041
"913","168220","13121602407","13","1312","131216","131216024","024","07","02407","13121602407","1","11",11A,10,7,3,7,2,8,0,5,4,1,0,6,172,172,145,27,136,145,107,26,145,86,59,96,60,336,154,182,59,38,191,48,1193.32372080813,51698.0680272437
"914","168242","13120200705","13","1312","131202","131202007","007","05","00705","13120200705","1","11",11A,22,19,3,22,21,1,2,10,2,0,8,0,35,35,29,6,6,7,13,16,29,17,12,19,10,67,30,37,8,7,34,18,370.600102934072,6518.35036518471
"915","168243","13121801803","13","1312","131218","131218018","018","03","01803","13121801803","1","11",11A,17,17,0,17,5,12,0,14,1,1,1,7,19,19,11,8,6,11,11,0,11,7,4,8,4,29,14,15,7,3,14,5,544.845576213434,18151.0611618597
"916","168244","13120302401","13","1312","131203","131203024","024","01","02401","13120302401","1","11",11A,30,23,7,27,23,7,12,13,4,1,0,12,61,61,52,9,5,3,27,20,52,41,11,28,7,100,45,55,8,4,52,36,283.44749382778,4556.10908526968
"917","168245","13121704401","13","1312","131217","131217044","044","01","04401","13121704401","1","11",11A,21,19,2,21,11,10,6,9,0,3,3,8,34,34,24,10,2,13,13,11,24,11,13,21,10,66,30,36,7,9,39,11,322.053440222797,5122.99235819265
"918","168246","13121800902","13","1312","131218","131218009","009","02","00902","13121800902","1","11",11A,22,6,16,20,2,20,3,17,1,1,0,10,99,99,77,22,14,33,41,32,77,46,31,52,29,190,87,103,32,19,96,43,890.214336987024,40814.9778410186
"919","168247","13121601105","13","1312","131216","131216011","011","05","01105","13121601105","1","11",11A,38,6,32,38,4,34,1,17,19,0,1,7,234,234,185,49,38,155,125,40,185,117,68,111,62,426,185,241,64,47,200,115,746.379435617645,24773.9042288499
