WKT,fid,OBJECTID,BGRI2021,DT21,DTMN21,DTMNFR21,DTMNFRSEC21,SECNUM21,SSNUM21,SECSSNUM21,SUBSECCAO,NUTS1,NUTS2,NUTS3,N_EDIFICIOS_CLASSICOS,N_EDIFICIOS_CLASS_CONST_1_OU_2_ALOJ,N_EDIFICIOS_CLASS_CONST_3_OU_MAIS_ALOJAMENTOS,N_EDIFICIOS_EXCLUSIV_RESID,N_EDIFICIOS_1_OU_2_PISOS,N_EDIFICIOS_3_OU_MAIS_PISOS,N_EDIFICIOS_CONSTR_ANTES_1945,N_EDIFICIOS_CONSTR_1946_1980,N_EDIFICIOS_CONSTR_1981_2000,N_EDIFICIOS_CONSTR_2001_2010,N_EDIFICIOS_CONSTR_2011_2021,N_EDIFICIOS_COM_NECESSIDADES_REPARACAO,N_ALOJAMENTOS_TOTAL,N_ALOJAMENTOS_FAMILIARES,N_ALOJAMENTOS_FAM_CLASS_RHABITUAL,N_ALOJAMENTOS_FAM_CLASS_VAGOS_OU_RESID_SECUNDARIA,N_RHABITUAL_ACESSIVEL_CADEIRAS_RODAS,N_RHABITUAL_COM_ESTACIONAMENTO,N_RHABITUAL_PROP_OCUP,N_RHABITUAL_ARRENDADOS,N_AGREGADOS_DOMESTICOS_PRIVADOS,N_ADP_1_OU_2_PESSOAS,N_ADP_3_OU_MAIS_PESSOAS,N_NUCLEOS_FAMILIARES,N_NUCLEOS_FAMILIARES_COM_FILHOS_TENDO_O_MAIS_NOVO_MENOS_DE_25,N_INDIVIDUOS,N_INDIVIDUOS_H,N_INDIVIDUOS_M,N_INDIVIDUOS_0_14,N_INDIVIDUOS_15_24,N_INDIVIDUOS_25_64,N_INDIVIDUOS_65_OU_MAIS,SHAPE_Length,SHAPE_Area
"MULTIPOLYGON (((-37805.2224 168108.978700001,-37803.5225 168107.948899999,-37776.8689 168093.019099999,-37776.8524 168093.0098,-37778.3275 168079.267200001,-37781.7432 168067.3277,-37785.1529 168050.791300001,-37804.6733 167961.444800001,-37831.5062 167963.0876,-37864.9118 167964.7314,-37906.5321 167965.461100001,-37922.4136 167971.4868,-37811.2364 168101.9662,-37805.2446 168108.991800001,-37805.2224 168108.978700001)))","733","167011","13121002904","13","1312","131210","131210029","029","04","02904","13121002904","1","11",11A,14,14,0,14,12,2,6,8,0,0,0,3,18,18,15,3,3,7,6,8,15,12,3,9,1,30,13,17,0,2,17,11,466.757712436789,11055.041311201
"MULTIPOLYGON (((-37840.9881 168117.2873,-37832.8263 168117.138499999,-37824.0526 168116.978499999,-37808.5026 168110.9187,-37805.2446 168108.991800001,-37811.2364 168101.9662,-37922.4136 167971.4868,-37964.2204 167924.806500001,-37978.1157 167909.289,-38064.5951 167804.913699999,-38069.0689 167800.3849,-38075.5795 167793.7961,-38144.0 167720.8857,-38149.9339 167732.692199999,-38170.2956 167787.922900001,-38174.4144 167792.272700001,-38206.1003 167811.107799999,-38310.1636 167868.168,-38303.4626 167944.409299999,-38295.9129 167942.229599999,-38269.446 167939.664,-38262.0833 167938.950300001,-38240.1032 167934.791099999,-38211.0233 167930.482,-38195.3003 167929.494899999,-38181.084 167928.602299999,-38174.7837 167928.262700001,-38169.1689 167927.912599999,-38152.1841 167926.853399999,-38129.3644 167928.703500001,-38099.9349 167932.474300001,-38097.0951 167933.5942,-38093.0092 167935.170399999,-38052.6859 167950.725299999,-38035.2565 167963.315199999,-38030.1767 167965.785700001,-38014.0169 167980.375399999,-38008.8202 167984.983,-37996.7373 167995.6961,-37983.1633 168005.361500001,-37961.4583 168020.8166,-37942.2889 168036.626700001,-37924.7697 168052.7269,-37907.1504 168067.377,-37892.5109 168079.657199999,-37876.901 168092.2873,-37868.8243 168100.137599999,-37866.9314 168101.977399999,-37866.3218 168102.5977,-37853.9917 168112.007300001,-37841.0023 168117.287599999,-37840.9881 168117.2873)))","734","167012","13121002905","13","1312","131210","131210029","029","05","02905","13121002905","1","11",11A,17,17,0,17,10,7,4,10,1,2,0,4,18,18,15,3,3,12,11,1,15,10,5,6,1,29,12,17,1,0,7,21,1389.03618063003,54536.7619517644
"MULTIPOLYGON (((-42053.6351 168007.994100001,-42017.019 167980.843900001,-41986.1661 167957.9274,-42009.1195 167950.631100001,-42022.439 167947.004799999,-42027.0861 167945.809800001,-42031.6165 167944.469799999,-42036.1529 167942.097,-42050.1394 167933.5703,-42058.6198 167923.856799999,-42065.1376 167911.1,-42067.8623 167896.955399999,-42069.6065 167884.037799999,-42075.9604 167840.0386,-42080.0563 167806.354900001,-42081.0965 167799.130799999,-42089.1647 167743.0579,-42094.3481 167697.6568,-42108.5621 167700.449200001,-42162.1319 167718.908399999,-42215.5428 167745.621300001,-42220.3276 167746.109200001,-42274.4335 167681.517899999,-42282.147 167661.4276,-42297.7647 167604.1348,-42307.5451 167583.1405,-42316.2967 167582.371300001,-42327.6452 167581.074200001,-42341.2645 167574.9132,-42363.9614 167562.2673,-42373.602 167567.960899999,-42380.7928 167573.9005,-42396.7372 167588.2816,-42407.9918 167602.037799999,-42415.4946 167612.3542,-42423.6233 167618.606799999,-42434.2529 167626.735300001,-42441.1316 167630.487,-42457.218 167636.7224,-42498.3432 167644.554300001,-42521.1663 167651.7446,-42541.0574 167656.569,-42555.6389 167663.931500001,-42569.9433 167669.488,-42586.8146 167679.531199999,-42586.3347 167684.981,-42581.979 167694.9056,-42578.4423 167705.7333,-42575.0095 167714.8059,-42573.0327 167727.0964,-42571.2649 167739.29,-42569.1841 167750.1175,-42567.6252 167756.2633,-42566.1693 167760.652100001,-42563.4645 167765.14,-42561.0716 167768.650900001,-42552.9581 167779.3816,-42544.0126 167791.282299999,-42539.6269 167797.438100001,-42503.7918 167828.0814,-42479.6031 167852.663899999,-42462.476 167865.0517,-42449.0906 167868.1898,-42444.4478 167868.2579,-42424.2847 167868.554199999,-42377.6448 167869.2411,-42376.8258 167869.2531,-42321.5443 167869.5891,-42320.5304 167874.6109,-42319.6754 167878.4888,-42307.8503 167916.6534,-42298.734 167946.144300001,-42297.7481 167949.3322,-42279.2414 167999.828400001,-42276.2876 168008.3071,-42269.2821 168022.011600001,-42234.9081 168070.407299999,-42207.9527 168108.225199999,-42206.5468 168111.062100001,-42205.8748 168113.921,-42205.4313 168120.5481,-42053.6351 168007.994100001)))","735","167013","13121101706","13","1312","131211","131211017","017","06","01706","13121101706","1","11",11A,7,4,3,7,3,4,0,4,3,0,0,0,80,80,66,14,60,63,35,25,66,45,21,37,18,144,63,81,15,20,95,14,1882.13040860829,146238.393287954
"MULTIPOLYGON (((-42273.1487 168098.2684,-42271.9977 168097.429400001,-42234.9081 168070.407299999,-42269.2821 168022.011600001,-42276.2876 168008.3071,-42316.5631 168035.6602,-42328.2037 168043.5656,-42350.8477 168061.736300001,-42350.9338 168061.805400001,-42308.1933 168123.5156,-42273.1487 168098.2684)))","736","167014","13121101906","13","1312","131211","131211019","019","06","01906","13121101906","1","11",11A,48,48,0,48,45,3,0,48,0,0,0,9,50,50,43,7,8,18,30,6,43,29,14,28,15,92,42,50,10,13,42,27,332.224327214389,6832.97453948866
"MULTIPOLYGON (((-39957.2792 167923.2094,-39957.2252 167920.668500001,-39955.6021 167905.186100001,-39972.8834 167913.885399999,-39993.9416 167928.0415,-39980.2734 167945.605,-39979.0765 167948.799900001,-39982.3403 168037.362299999,-39983.1225 168063.665200001,-39983.3835 168064.9672,-40000.9929 168082.2601,-39995.8282 168087.699,-39990.6185 168093.184900001,-39961.5261 168123.8212,-39957.2792 167923.2094)))","737","167015","13121001109","13","1312","131210","131210011","011","09","01109","13121001109","1","11",11A,16,16,0,16,16,0,0,16,0,0,0,3,16,16,12,4,6,8,9,2,12,6,6,10,4,31,17,14,4,3,14,10,487.414030071813,4992.00036501742
"MULTIPOLYGON (((-41343.171 166854.0045,-41331.964 166778.286499999,-41331.9594 166778.2556,-41317.9779 166701.457,-41317.9229 166701.081,-41305.9293 166619.098,-41305.9264 166619.0781,-41295.6952 166552.6096,-41295.3151 166549.6096,-41296.5147 166544.8894,-41319.584 166536.4893,-41328.7842 166533.3543,-41337.1941 166530.488600001,-41352.0538 166526.7388,-41401.5127 166511.017899999,-41399.1509 166528.056,-41398.924 166534.672700001,-41428.0991 166717.681600001,-41435.7227 166765.502499999,-41449.2169 166846.8939,-41405.7619 166854.624399999,-41344.8517 166864.008099999,-41344.8297 166864.011499999,-41343.171 166854.0045)))","738","167016","13121100407","13","1312","131211","131211004","004","07","00407","13121100407","1","11",11A,44,36,8,43,31,13,9,29,1,4,1,20,130,130,100,30,33,64,62,33,100,65,35,69,32,227,104,123,29,23,122,53,879.415122602326,34913.1433336787
"MULTIPOLYGON (((-40640.2254 166820.453400001,-40624.8376 166777.3155,-40607.3519 166728.106799999,-40494.0617 166612.475500001,-40522.8814 166613.8369,-40589.6674 166602.669199999,-40643.5959 166593.4186,-40688.0769 166591.105900001,-40712.6348 166591.3685,-40805.9359 166606.449200001,-40830.6258 166604.196900001,-40833.1598 166720.698100001,-40835.1809 166739.2903,-40744.4156 166803.9592,-40656.7041 166866.998199999,-40640.2254 166820.453400001)))","739","167017","13121005005","13","1312","131210","131210050","050","05","05005","13121005005","1","11",11A,131,104,27,131,102,29,83,36,11,0,1,119,383,383,296,87,29,97,132,145,296,214,82,166,78,595,260,335,59,76,317,143,1003.65782817639,53225.9293023047
"MULTIPOLYGON (((-39040.1461 166870.423900001,-39043.3235 166830.1185,-39076.3422 166832.531199999,-39072.9877 166872.9946,-39040.1461 166870.423900001)))","740","167018","13121000602","13","1312","131210","131210006","006","02","00602","13121000602","1","11",11A,10,10,0,10,9,1,2,8,0,0,0,3,10,10,8,2,2,4,5,2,8,8,0,4,0,13,6,7,0,0,5,8,147.081447163908,1338.00211731365
"MULTIPOLYGON (((-38606.0521 166857.4826,-38525.7726 166769.740499999,-38579.6299 166731.2607,-38650.788 166831.780400001,-38661.0447 166847.3607,-38651.6651 166846.4528,-38629.7722 166861.2973,-38618.0948 166873.0889,-38606.0521 166857.4826)))","741","167019","13121002201","13","1312","131210","131210022","022","01","02201","13121002201","1","11",11A,20,19,1,20,3,17,6,10,4,0,0,4,26,26,25,1,7,21,19,2,25,12,13,21,10,71,39,32,10,6,43,12,399.110506642555,7858.03679653725
"MULTIPOLYGON (((-44403.5216 166882.8236,-44346.6272 166779.6622,-44344.4192 166775.580399999,-44321.6409 166734.355599999,-44322.2937 166720.4462,-44323.2236 166715.365499999,-44324.6435 166708.3617,-44333.6149 166686.7785,-44344.2123 166671.059,-44358.3205 166650.1797,-44374.4895 166624.032600001,-44409.1736 166583.4948,-44422.9949 166571.224099999,-44459.363 166538.936799999,-44477.5481 166528.368,-44499.0721 166521.3989,-44644.3941 166456.427300001,-44659.5994 166454.3661,-44680.1537 166474.0989,-44714.7125 166507.274800001,-44776.7164 166576.389599999,-44785.0641 166586.476,-44818.117 166625.184699999,-44837.9223 166651.8322,-44923.1665 166756.862,-44859.4169 166816.6745,-44847.6645 166827.701199999,-44840.0599 166834.924,-44826.7593 166816.5121,-44814.3018 166812.805400001,-44682.7016 166804.7161,-44664.7853 166803.6165,-44656.1327 166803.082699999,-44648.6021 166803.9388,-44641.8704 166804.7049,-44640.5424 166805.275900001,-44635.9396 166807.255899999,-44609.4589 166818.6478,-44605.5691 166820.652799999,-44593.5297 166826.8577,-44585.9201 166830.7797,-44579.4554 166834.1127,-44575.3716 166836.344599999,-44554.3596 166847.829500001,-44541.4372 166854.918400001,-44531.8887 166860.157400001,-44483.4501 166886.732,-44423.742 166919.4877,-44403.5216 166882.8236)))","742","167020","13121601908","13","1312","131216","131216019","019","08","01908","13121601908","1","11",11A,76,41,35,76,14,62,6,15,30,15,10,5,198,198,179,19,22,159,150,23,179,86,93,141,84,499,249,250,106,61,264,68,1645.46832635342,157613.031945325
"MULTIPOLYGON (((-39723.2169 166906.657400001,-39718.515 166898.660800001,-39718.7498 166879.1525,-39718.9557 166874.514699999,-39719.1066 166870.324899999,-39718.5596 166864.8541,-39716.0426 166857.6325,-39711.3398 166848.4419,-39708.1679 166844.1741,-39733.3238 166850.2344,-39749.2341 166850.6821,-39827.9316 166846.8399,-39849.6065 166834.161,-39872.3824 166828.4638,-39863.5899 166838.703600001,-39842.2641 166860.1151,-39762.0831 166903.343800001,-39738.5773 166920.296499999,-39723.2169 166906.657400001)))","743","167021","13121000903","13","1312","131210","131210009","009","03","00903","13121000903","1","11",11A,24,18,6,23,12,12,14,6,0,2,2,14,43,43,25,18,4,5,14,9,25,18,7,12,6,47,21,26,5,6,22,14,419.911698650923,5877.44756049097
"MULTIPOLYGON (((-37593.8518 164691.2667,-37574.4636 164680.8772,-37560.2301 164666.6438,-37542.9457 164655.4593,-37520.9166 164651.3926,-37476.9983 164630.3057,-37489.4917 164616.3862,-37498.5782 164606.441500001,-37509.0847 164598.7718,-37531.5166 164585.7042,-37556.5033 164569.2257,-37597.1082 164528.3181,-37606.9815 164506.5239,-37616.9079 164488.715600001,-37627.1782 164463.3715,-37629.0611 164454.467900001,-37635.0816 164438.2795,-37638.8423 164422.020099999,-37640.3151 164405.3958,-37647.9554 164266.155200001,-37647.8704 164263.204399999,-37660.9908 164257.486500001,-37724.4557 164227.6184,-37756.1384 164234.5109,-37761.4482 164235.664799999,-37764.1541 164237.3628,-37773.0148 164246.226399999,-37799.2374 164222.6282,-37818.8054 164211.6435,-37831.3089 164207.4046,-37836.801 164244.939099999,-37838.5283 164283.9505,-37858.3535 164296.646199999,-37885.0604 164294.342,-37891.8617 164295.1489,-37898.6629 164295.955800001,-37927.1359 164311.4027,-37876.5981 164437.6632,-37871.7988 164483.453400001,-37846.9728 164581.4867,-37824.5476 164670.0353,-37821.1118 164676.494,-37759.4026 164682.9911,-37734.8447 164686.732100001,-37725.0151 164689.02,-37713.2057 164690.841,-37653.0384 164702.3849,-37623.5667 164708.039799999,-37593.8518 164691.2667)))","744","167577","13120301611","13","1312","131203","131203016","016","11","01611","13120301611","1","11",11A,83,74,8,83,69,14,64,19,0,0,0,57,114,113,78,35,14,14,29,46,78,50,28,56,21,200,108,92,18,36,72,74,1564.89753296603,120607.773284394
"MULTIPOLYGON (((-39982.5428 164665.079700001,-39991.4806 164593.033399999,-39986.8743 164544.6085,-40063.3201 164557.185699999,-40047.5483 164602.8112,-40047.7405 164624.2313,-40059.2396 164681.037799999,-40057.4758 164695.1383,-40050.9443 164710.685799999,-39982.5428 164665.079700001)))","745","167578","13121701701","13","1312","131217","131217017","017","01","01701","13121701701","1","11",11A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,439.655123997894,9265.93127906688
"MULTIPOLYGON (((-36752.2016 164604.7206,-36754.6695 164602.6237,-36787.9867 164564.844,-36883.4413 164651.844,-36907.8685 164674.101,-36911.7003 164678.572799999,-36912.3384 164683.683599999,-36911.7014 164685.5965,-36908.8266 164689.432399999,-36897.0141 164695.5022,-36867.5116 164711.490700001,-36752.2016 164604.7206)))","746","167579","13120302614","13","1312","131203","131203026","026","14","02614","13120302614","1","11",11A,31,31,0,31,0,31,0,0,28,3,0,0,31,31,29,2,6,29,28,1,29,15,14,23,11,73,38,35,5,12,34,22,437.646857502571,9005.22815311974
"MULTIPOLYGON (((-44161.2674 164712.1863,-44146.854 164702.640900001,-44151.4137 164693.587200001,-44152.9576 164688.2094,-44155.2639 164627.6921,-44127.21 164612.8432,-44120.3043 164614.566199999,-44120.4353 164608.7634,-44120.2665 164521.5263,-44120.2273 164500.9932,-44120.825 164469.395500001,-44196.4899 164488.8665,-44228.1956 164507.724199999,-44247.7062 164549.148,-44248.6232 164552.116900001,-44275.2768 164639.2597,-44284.2448 164676.820900001,-44289.9058 164709.4553,-44165.8782 164713.960100001,-44161.2674 164712.1863)))","747","167580","13121800503","13","1312","131218","131218005","005","03","00503","13121800503","1","11",11A,18,0,18,15,0,18,0,18,0,0,0,3,301,301,233,68,149,97,177,37,233,179,54,119,45,449,197,252,39,41,177,192,733.449602123519,28802.8316686199
"MULTIPOLYGON (((-44580.8201 164707.627800001,-44537.3939 164695.212,-44518.2323 164679.2008,-44532.987 164656.3124,-44552.5042 164577.55,-44596.7973 164584.37,-44658.6297 164594.2226,-44690.5286 164624.4257,-44710.6419 164643.4706,-44716.3247 164651.9911,-44714.9279 164659.2848,-44713.715 164662.627699999,-44689.2235 164716.0777,-44580.8201 164707.627800001)))","748","167581","13121602210","13","1312","131216","131216022","022","10","02210","13121602210","1","11",11A,6,0,6,3,0,6,0,0,6,0,0,0,174,174,147,27,86,147,107,27,147,86,61,104,60,368,169,199,62,47,185,74,546.319554009175,19464.0578243023
"MULTIPOLYGON (((-39939.151 164698.384099999,-39982.5428 164665.079700001,-39986.3838 164678.0361,-40000.3306 164719.3892,-39939.151 164698.384099999)))","749","167582","13121701702","13","1312","131217","131217017","017","02","01702","13121701702","1","11",11A,11,9,2,11,1,10,6,1,1,0,3,8,23,23,3,20,0,0,0,3,3,3,0,0,0,3,1,2,0,0,2,1,176.539917460555,1463.56795299209
"MULTIPOLYGON (((-41748.1785 164423.059699999,-41740.6998 164420.209899999,-41731.0112 164415.9903,-41731.4452 164411.918400001,-41734.287 164405.4407,-41739.0997 164401.7837,-41739.5937 164400.3858,-41741.7475 164394.913,-41748.972 164370.366900001,-41748.0719 164360.395300001,-41750.3928 164354.497500001,-41775.5755 164336.425899999,-41780.3702 164322.9354,-41799.4383 164319.153200001,-41800.6503 164322.679099999,-41793.9607 164334.436699999,-41789.329 164349.859099999,-41776.2309 164382.427,-41769.8153 164388.0548,-41767.2794 164395.5186,-41766.9295 164404.0492,-41768.5236 164412.583799999,-41758.301 164412.548,-41753.5463 164421.6907,-41752.1254 164423.207599999,-41748.1785 164423.059699999)))","750","167256","13121802408","13","1312","131218","131218024","024","08","02408","13121802408","1","11",11A,24,23,1,24,17,7,23,1,0,0,0,20,31,31,22,9,2,3,7,13,22,15,7,15,5,45,22,23,4,3,24,14,278.49282886252,2813.44584633679
"MULTIPOLYGON (((-37027.341 164420.921399999,-37022.5452 164420.7215,-37013.1526 164420.7225,-37001.9611 164418.923599999,-36995.9663 164416.7258,-36992.1695 164415.3268,-36982.5769 164416.1259,-36974.7832 164416.525900001,-36966.7896 164416.3259,-36956.198 164413.7291,-36942.2536 164409.1054,-36947.8202 164398.241800001,-36969.333 164360.6921,-36972.5208 164355.1283,-36988.3119 164338.7029,-37003.3651 164312.9968,-37009.9555 164282.192,-37087.1411 164279.105699999,-37103.7533 164275.682800001,-37122.3984 164267.866,-37145.0963 164247.6577,-37162.8632 164215.878900001,-37163.0862 164215.479900001,-37222.393 164153.673,-37241.6378 164109.526699999,-37268.6442 164065.404300001,-37288.6515 164087.2633,-37305.8625 164166.621,-37309.6584 164173.175799999,-37314.3622 164178.531500001,-37322.4249 164186.565199999,-37327.2368 164198.771600001,-37333.268 164247.047700001,-37330.0944 164273.034700001,-37323.8998 164283.4263,-37312.3095 164306.6084,-37298.5202 164319.798,-37281.9341 164334.5865,-37279.1362 164338.9833,-37277.5384 164343.3792,-37277.9385 164359.1665,-37278.5376 164371.357,-37276.9397 164373.955,-37274.7408 164376.3529,-37268.7461 164379.150800001,-37255.3567 164382.548699999,-37245.5651 164385.3467,-37237.9705 164388.943600001,-37226.5801 164395.1384,-37219.1864 164397.737299999,-37198.6034 164403.7322,-37172.6235 164408.529100001,-37150.6415 164412.1261,-37127.4606 164414.1252,-37112.4722 164416.5241,-37082.0966 164417.3233,-37064.5114 164419.9223,-37050.523 164422.7202,-37041.7294 164423.3193,-37033.5357 164423.3193,-37027.341 164420.921399999)))","751","167257","13120302611","13","1312","131203","131203026","026","11","02611","13120302611","1","11",11A,50,49,1,50,50,0,5,40,4,1,0,15,57,57,38,19,4,14,20,18,38,22,16,27,10,91,47,44,14,7,39,31,1203.03829408703,64494.2854070695
"MULTIPOLYGON (((-36779.7698 164423.8466,-36778.8968 164420.334799999,-36780.0197 164416.002,-36791.0031 164397.739600001,-36792.001 164393.174799999,-36792.4499 164389.18,-36838.9218 164370.4494,-36849.9092 164363.5097,-36856.6348 164353.188,-36861.7815 164345.235300001,-36862.3825 164340.931500001,-36862.0835 164338.695599999,-36911.2824 164348.800899999,-36904.2957 164352.0518,-36891.5144 164362.8825,-36825.0115 164390.7917,-36789.0194 164424.613600001,-36783.3027 164426.3925,-36779.7698 164423.8466)))","752","167258","13120302502","13","1312","131203","131203025","025","02","02502","13120302502","1","11",11A,17,15,2,17,17,0,15,2,0,0,0,11,24,24,19,5,0,4,4,14,19,13,6,10,6,38,15,23,8,2,21,7,336.130195268437,2639.41906184534
"MULTIPOLYGON (((-40447.851 164424.1741,-40437.1025 164419.828400001,-40410.0315 164408.882300001,-40447.1292 164341.7114,-40453.5249 164338.4264,-40458.9706 164336.418400001,-40461.8375 164336.1314,-40481.9017 164339.286,-40466.5483 164428.7816,-40447.851 164424.1741)))","753","167259","13121703508","13","1312","131217","131217035","035","08","03508","13121703508","1","11",11A,4,2,1,3,0,4,4,0,0,0,0,0,6,5,3,2,0,0,2,1,4,2,2,3,2,12,8,4,3,1,8,0,263.774135246207,3948.05177622118
"MULTIPOLYGON (((-40696.2034 164334.595799999,-40696.201 164334.5825,-40687.09 164282.8335,-40681.3284 164247.016799999,-40681.3012 164246.8473,-40681.299 164246.833799999,-40679.3724 164236.618,-40679.414 164236.6121,-40727.8949 164229.774599999,-40760.0684 164223.7093,-40826.5524 164210.2729,-40868.0435 164203.0155,-40878.2611 164203.386299999,-40885.4758 164210.152899999,-40892.7609 164244.4824,-40906.9723 164343.895099999,-40905.4424 164351.4429,-40899.1598 164364.668400001,-40877.9791 164401.8682,-40853.0773 164409.5053,-40811.5332 164419.406500001,-40714.1733 164432.6306,-40696.2034 164334.595799999)))","754","167260","13121703509","13","1312","131217","131217035","035","09","03509","13121703509","1","11",11A,1,0,0,1,0,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,20,11,9,0,0,4,16,778.568520583331,40387.702894777
"MULTIPOLYGON (((-38106.684 164531.2203,-38056.875 164513.301200001,-38037.9848 164507.580600001,-38023.4973 164503.1928,-38022.7754 164501.710899999,-38021.2174 164498.514,-38022.1013 164492.9592,-38036.5118 164402.3738,-38037.1227 164398.1699,-38038.7516 164393.2031,-38040.9825 164390.131200001,-38108.3031 164348.6195,-38114.4997 164334.224,-38198.677 164326.6439,-38120.4601 164500.5844,-38119.0522 164506.8462,-38107.895 164531.658199999,-38106.684 164531.2203)))","755","167261","13120300402","13","1312","131203","131203004","004","02","00402","13120300402","1","11",11A,97,80,15,94,63,34,94,3,0,0,0,20,154,152,104,48,11,1,27,72,104,74,30,57,24,262,129,133,27,40,138,57,608.543830459232,20167.7006678479
"MULTIPOLYGON (((-40448.952 164523.618,-40451.2725 164488.0244,-40460.8987 164450.6888,-40466.5483 164428.7816,-40521.8431 164446.817,-40503.3153 164492.011399999,-40464.7363 164525.2587,-40451.1761 164537.316400001,-40448.952 164523.618)))","756","167262","13121703512","13","1312","131217","131217035","035","12","03512","13121703512","1","11",11A,12,6,6,11,0,12,12,0,0,0,0,1,45,45,24,21,4,0,10,12,24,20,4,8,5,40,18,22,5,2,25,8,286.808356882374,4319.79022666692
"MULTIPOLYGON (((-36633.8322 164537.527899999,-36602.8384 164523.1336,-36584.0112 164516.379,-36555.5374 164513.883300001,-36528.0936 164515.635299999,-36511.5933 164520.872199999,-36493.0452 164530.6269,-36472.6312 164538.4637,-36460.5687 164540.5317,-36453.998 164538.7478,-36449.7621 164532.2601,-36442.4112 164507.041099999,-36439.6452 164486.9299,-36442.1108 164459.144,-36442.1097 164444.8136,-36433.9888 164411.573,-36428.825 164414.0549,-36420.6254 164420.8577,-36412.7459 164434.7872,-36406.2582 164440.873,-36379.4884 164440.711100001,-36377.9854 164431.0085,-36374.7494 164410.124399999,-36348.0018 164326.854800001,-36343.195 164319.644099999,-36314.102 164302.1127,-36313.5206 164301.3149,-36303.3819 164287.403,-36274.1915 164264.4637,-36292.0608 164234.5638,-36310.1107 164230.033399999,-36327.8101 164227.783299999,-36355.6997 164225.7224,-36364.9894 164221.5625,-36381.4494 164209.2521,-36384.1891 164206.842,-36391.9188 164208.3422,-36394.919 164213.812,-36397.6598 164233.031400001,-36400.1593 164239.751399999,-36409.3895 164244.500800001,-36424.5999 164254.2205,-36441.0599 164265.9301,-36450.5499 164270.4298,-36466.7496 164272.929400001,-36473.4897 164272.679500001,-36485.9691 164272.179099999,-36491.1994 164272.679099999,-36495.5065 164273.2256,-36504.199 164274.328400001,-36510.6592 164274.928300001,-36518.3888 164272.438300001,-36529.0788 164264.498199999,-36530.1433 164267.2711,-36540.8292 164295.1077,-36548.6895 164313.237299999,-36558.6497 164332.106799999,-36560.5246 164333.6076,-36565.02 164337.2061,-36572.6799 164340.516100001,-36580.3 164339.5459,-36582.3799 164339.265900001,-36588.5096 164335.176100001,-36593.8694 164329.545600001,-36597.4293 164319.3661,-36606.1183 164288.9959,-36610.9558 164275.564300001,-36620.4626 164249.1679,-36624.2268 164238.716399999,-36642.0757 164195.3364,-36647.4351 164179.5264,-36655.0946 164161.406500001,-36679.8434 164117.2764,-36682.4036 164108.5867,-36676.2825 164078.2173,-36677.5424 164070.4373,-36679.5924 164062.657199999,-36683.9322 164054.8671,-36695.4018 164049.127,-36708.4215 164049.126700001,-36726.0312 164052.4662,-36737.2612 164051.836200001,-36749.5114 164046.0558,-36760.731 164037.4156,-36771.7003 164027.445499999,-36798.7597 164005.7556,-36808.0091 163999.065,-36830.139 163990.444599999,-36856.1684 163983.064099999,-36886.7881 163977.9439,-36919.3072 163976.133199999,-36954.2506 163972.729800001,-36955.6669 163972.5919,-36963.6203 163971.7337,-36964.9667 163973.714600001,-36966.3106 163974.986500001,-36967.8366 163976.0704,-36969.5035 163976.930400001,-36971.2594 163977.543400001,-36973.0504 163977.9013,-36974.8253 163978.009299999,-36976.5362 163977.8893,-36978.1481 163977.568299999,-36978.9391 163977.3083,-36982.485 163986.508,-36992.0596 163992.4937,-37004.7662 164000.8313,-37049.4805 164034.2607,-37070.5867 164051.6899,-37099.9497 164081.429500001,-37106.5174 164082.387499999,-37113.0921 164080.1325,-37162.9018 164062.744899999,-37137.93 164073.9296,-37098.7849 164094.397,-37053.3411 164121.6172,-37015.3208 164119.5085,-36987.411 164123.556500001,-36970.6458 164125.988500001,-36919.5102 164143.028100001,-36908.6727 164148.970899999,-36904.178 164152.9658,-36900.1833 164167.449200001,-36891.7562 164232.185699999,-36891.8563 164242.234300001,-36891.8563 164246.0151,-36892.4233 164248.894,-36890.7345 164256.433700001,-36887.9887 164266.735300001,-36887.9887 164273.291099999,-36886.8658 164278.0909,-36882.1221 164287.104499999,-36874.7585 164297.8751,-36864.2732 164319.532299999,-36861.1524 164326.790100001,-36860.4035 164330.0679,-36861.7775 164336.9027,-36862.0835 164338.695599999,-36862.3825 164340.931500001,-36861.7815 164345.235300001,-36856.6348 164353.188,-36849.9092 164363.5097,-36838.9218 164370.4494,-36792.4499 164389.18,-36792.001 164393.174799999,-36791.0031 164397.739600001,-36780.0197 164416.002,-36778.8968 164420.334799999,-36779.7698 164423.8466,-36783.3027 164426.3925,-36772.2962 164434.8222,-36757.914 164456.2885,-36748.8687 164479.9296,-36742.992 164490.8082,-36709.8638 164528.685799999,-36687.1088 164536.6856,-36656.8962 164541.1676,-36633.8322 164537.527899999)))","757","167263","13120302504","13","1312","131203","131203025","025","04","02504","13120302504","1","11",11A,42,42,0,42,41,1,21,21,0,0,0,28,42,42,18,24,3,2,2,16,18,12,6,15,5,41,15,26,6,1,25,9,2691.75752994598,195627.464148516
