WKT,OBJECTID_1,OBJECTID,DTMN11,FR11,SEC11,SS11,BGRI11,LUG11,LUG11DESIG,OBJECTID_12,ANO,GEO_COD,GEO_COD_DSG,NIVEL,NIVEL_DSG,N_EDIFICIOS_CLASSICOS,N_EDIFICIOS_CLASSICOS_1OU2,N_EDIFICIOS_CLASSICOS_ISOLADOS,N_EDIFICIOS_CLASSICOS_GEMIN,N_EDIFICIOS_CLASSICOS_EMBANDA,N_EDIFICIOS_CLASSICOS_3OUMAIS,N_EDIFICIOS_CLASSICOS_OUTROS,N_EDIFICIOS_EXCLUSIV_RESID,N_EDIFICIOS_PRINCIPAL_RESID,N_EDIFICIOS_PRINCIP_NAO_RESID,N_EDIFICIOS_1OU2_PISOS,N_EDIFICIOS_3OU4_PISOS,F_N_EDIFICIOS_5OU_MAIS_PISOS,N_EDIFICIOS_CONSTR_ANTES_1919,N_EDIFICIOS_CONSTR_1919A1945,N_EDIFICIOS_CONSTR_1946A1960,N_EDIFICIOS_CONSTR_1961A1970,N_EDIFICIOS_CONSTR_1971A1980,N_EDIFICIOS_CONSTR_1981A1990,N_EDIFICIOS_CONSTR_1991A1995,N_EDIFICIOS_CONSTR_1996A2000,N_EDIFICIOS_CONSTR_2001A2005,N_EDIFICIOS_CONSTR_2006A2011,N_EDIFICIOS_ESTRUT_BETAO,N_EDIFICIOS_ESTRUT_COM_PLACA,N_EDIFICIOS_ESTRUT_SEM_PLACA,N_EDIFICIOS_ESTRUT_ADOBE_PEDRA,N_EDIFICIOS_ESTRUT_OUTRA,N_ALOJAMENTOS,N_ALOJAMENTOS_FAMILIARES,N_ALOJAMENTOS_FAM_CLASSICOS,N_ALOJAMENTOS_FAM_N_CLASSICOS,N_ALOJAMENTOS_COLECTIVOS,N_CLASSICOS_RES_HABITUAL,N_ALOJAMENTOS_RES_HABITUAL,N_ALOJAMENTOS_VAGOS,N_RES_HABITUAL_COM_AGUA,N_RES_HABITUAL_COM_RETRETE,N_RES_HABITUAL_COM_ESGOTOS,N_RES_HABITUAL_COM_BANHO,N_RES_HABITUAL_AREA_50,N_RES_HABITUAL_AREA_50_100,N_RES_HABITUAL_AREA_100_200,N_RES_HABITUAL_AREA_200,N_RES_HABITUAL_1_2_DIV,N_RES_HABITUAL_3_4_DIV,N_RES_HABITUAL_ESTAC_1,N_RES_HABITUAL_ESTAC_2,N_RES_HABITUAL_ESTAC_3,N_RES_HABITUAL_PROP_OCUP,N_RES_HABITUAL_ARREND,N_FAMILIAS_CLASSICAS,N_FAMILIAS_INSTITUCIONAIS,N_FAMILIAS_CLASSICAS_1OU2_PESS,N_FAMILIAS_CLASSICAS_3OU4_PESS,N_FAMILIAS_CLASSICAS_NPES65,N_FAMILIAS_CLASSICAS_NPES14,N_FAMILIAS_CLASSIC_SEM_DESEMP,N_FAMILIAS_CLASSIC_1DESEMPREG,N_FAMILIAS_CLASS_2MAIS_DESEMP,N_NUCLEOS_FAMILIARES,N_NUCLEOS_1FILH_NAO_CASADO,N_NUCLEOS_2FILH_NAO_CASADO,N_NUCLEOS_FILH_INF_6ANOS,N_NUCLEOS_FILH_INF_15ANOS,N_NUCLEOS_FILH_MAIS_15ANOS,N_INDIVIDUOS_PRESENT,N_INDIVIDUOS_PRESENT_H,N_INDIVIDUOS_PRESENT_M,N_INDIVIDUOS_RESIDENT,N_INDIVIDUOS_RESIDENT_H,N_INDIVIDUOS_RESIDENT_M,N_INDIVIDUOS_RESIDENT_0A4,N_INDIVIDUOS_RESIDENT_5A9,N_INDIVIDUOS_RESIDENT_10A13,N_INDIVIDUOS_RESIDENT_14A19,N_INDIVIDUOS_RESIDENT_15A19,N_INDIVIDUOS_RESIDENT_20A24,N_INDIVIDUOS_RESIDENT_20A64,N_INDIVIDUOS_RESIDENT_25A64,N_INDIVIDUOS_RESIDENT_65,N_INDIVIDUOS_RESIDENT_H_0A4,N_INDIVIDUOS_RESIDENT_H_5A9,N_INDIVIDUOS_RESIDENT_H_10A13,N_INDIVIDUOS_RESIDENT_H_14A19,N_INDIVIDUOS_RESIDENT_H_15A19,N_INDIVIDUOS_RESIDENT_H_20A24,N_INDIVIDUOS_RESIDENT_H_20A64,N_INDIVIDUOS_RESIDENT_H_25A64,N_INDIVIDUOS_RESIDENT_H_65,N_INDIVIDUOS_RESIDENT_M_0A4,N_INDIVIDUOS_RESIDENT_M_5A9,N_INDIVIDUOS_RESIDENT_M_10A13,N_INDIVIDUOS_RESIDENT_M_14A19,N_INDIVIDUOS_RESIDENT_M_15A19,N_INDIVIDUOS_RESIDENT_M_20A24,N_INDIVIDUOS_RESIDENT_M_20A64,N_INDIVIDUOS_RESIDENT_M_25A64,N_INDIVIDUOS_RESIDENT_M_65,N_INDIV_RESIDENT_N_LER_ESCRV,N_IND_RESIDENT_FENSINO_1BAS,N_IND_RESIDENT_FENSINO_2BAS,N_IND_RESIDENT_FENSINO_3BAS,N_IND_RESIDENT_FENSINO_SEC,N_IND_RESIDENT_FENSINO_POSSEC,N_IND_RESIDENT_FENSINO_SUP,N_IND_RESIDENT_ENSINCOMP_1BAS,N_IND_RESIDENT_ENSINCOMP_2BAS,N_IND_RESIDENT_ENSINCOMP_3BAS,N_IND_RESIDENT_ENSINCOMP_SEC,N_IND_RESIDENT_ENSINCOMP_POSEC,N_IND_RESIDENT_ENSINCOMP_SUP,N_IND_RESID_DESEMP_PROC_1EMPRG,N_IND_RESID_DESEMP_PROC_EMPRG,N_IND_RESID_EMPREGADOS,N_IND_RESID_PENS_REFORM,N_IND_RESID_SEM_ACT_ECON,N_IND_RESID_EMPREG_SECT_PRIM,N_IND_RESID_EMPREG_SECT_SEQ,N_IND_RESID_EMPREG_SECT_TERC,N_IND_RESID_ESTUD_MUN_RESID,N_IND_RESID_TRAB_MUN_RESID
"MULTIPOLYGON (((-45476.1455 164968.9968,-45542.8894 165058.9647,-45601.6204 165014.9737,-45533.5956 164926.512800001,-45476.1455 164968.9968)))","296","10942","1312","05","008","04","13120500804","007437",Porto,"199946","2011","13120500804",,"8",Subsecção,"19","13","0","0","13","6","0","18","1","0","4","13","2","0","3","1","6","4","5","0","0","0","0","4","0","14","0","1","55","55","55","0","0","43","43","8","43","43","43","43","0","12","21","10","0","13","25","5","0","33","8","43","0","29","10","22","8","40","2","1","34","13","4","5","8","15","106","48","58","106","49","57","7","2","6","8","8","4","55","51","28","6","1","6","2","2","1","24","23","10","1","1","0","6","6","3","31","28","18","0","1","5","4","5","0","4","9","8","10","22","0","48","1","3","42","26","45","0","11","31","22","29"
"MULTIPOLYGON (((-40198.0838 165047.47,-40283.3848 165055.2651,-40293.8024 165059.765799999,-40301.0271 165064.4715,-40314.7474 165052.7487,-40319.7688 165016.6151,-40328.7829 164967.018,-40347.7721 164875.8814,-40353.6254 164833.282,-40352.3122 164811.672900001,-40389.5497 164728.9406,-40289.1506 164679.4112,-40281.5829 164675.226500001,-40284.2597 164668.864700001,-40284.5826 164662.447,-40283.3234 164645.377599999,-40280.3334 164651.287900001,-40276.2432 164655.467700001,-40268.1034 164658.2479,-40251.5841 164662.748199999,-40207.5749 164676.4092,-40198.0019 164976.235099999,-40197.8752 164979.694399999,-40195.843 165035.174900001,-40196.7032 165044.2042,-40198.0838 165047.47)))","297","10944","1312","04","043","02","13120404302","007437",Porto,"199886","2011","13120404302",,"8",Subsecção,"121","42","0","1","41","79","0","32","87","2","22","77","22","68","21","12","5","1","0","0","2","2","10","17","14","90","0","0","454","453","451","2","1","186","188","253","186","182","186","172","64","77","36","9","30","94","8","2","3","40","144","200","0","162","31","82","28","160","37","3","98","34","19","12","27","33","382","176","206","365","165","200","9","15","8","16","12","14","210","196","107","5","9","4","12","9","10","99","89","36","4","6","4","4","3","4","111","107","71","11","12","8","9","11","0","15","118","41","53","57","6","45","10","33","118","122","168","0","12","106","58","89"
"MULTIPOLYGON (((-38874.9448 165032.5974,-38859.0718 165067.066099999,-38897.5131 165058.994200001,-38898.0071 165058.906199999,-38957.9704 165048.2083,-38991.6289 165042.5184,-39009.3751 165039.5184,-39041.5146 165030.536599999,-39106.1167 165020.2776,-39150.4777 165009.740800001,-39167.2959 165004.9419,-39156.2362 164994.443399999,-39034.74 164946.142899999,-38976.3473 164922.929199999,-38960.5829 164917.678400001,-38925.8434 164922.0715,-38910.5814 164949.5485,-38901.841 164969.5677,-38874.9448 165032.5974)))","298","10945","1312","02","026","05","13120202605","007437",Porto,"199391","2011","13120202605",,"8",Subsecção,"1","0","0","0","0","1","0","1","0","0","0","0","1","0","0","0","1","0","0","0","0","0","0","1","0","0","0","0","45","45","45","0","0","35","35","9","35","35","35","35","0","9","24","2","0","1","9","1","0","34","0","35","0","23","10","25","3","33","2","0","25","6","5","0","3","11","82","33","49","79","32","47","0","0","1","11","9","4","30","26","37","0","0","0","3","1","4","15","11","14","0","0","1","8","8","0","15","15","23","0","1","1","3","8","0","8","7","6","14","15","0","34","0","2","21","38","53","0","2","19","18","16"
"MULTIPOLYGON (((-36287.7364 165023.895300001,-36300.595 165049.9562,-36306.607 165069.5144,-36332.0368 165066.3334,-36363.8601 165025.9659,-36374.8635 165012.008400001,-36384.934 164999.253799999,-36390.5107 164993.215,-36391.0756 164989.8182,-36390.0266 164982.1205,-36381.6435 164926.0667,-36400.4696 164922.8628,-36445.8826 164915.7908,-36462.6709 164913.1668,-36488.8336 164901.758199999,-36515.4244 164890.1625,-36536.6474 164880.9077,-36567.9929 164867.2381,-36553.5022 164831.1526,-36540.3116 164803.971799999,-36510.2338 164798.0682,-36467.8646 164792.070599999,-36414.7419 164793.8018,-36367.789 164799.3639,-36290.121 164874.531300001,-36269.6825 164948.239499999,-36270.0417 164969.8956,-36272.9537 164983.356,-36287.7364 165023.895300001)))","299","10946","1312","03","048","01","13120304801","007437",Porto,"199735","2011","13120304801",,"8",Subsecção,"60","1","1","0","0","29","30","40","19","1","34","25","1","0","7","17","29","1","4","2","0","0","0","26","4","30","0","0","252","252","251","1","0","224","225","26","223","222","223","215","64","129","28","3","8","108","18","3","0","18","199","225","0","114","83","98","65","174","31","20","194","90","36","34","64","99","651","307","344","645","305","340","32","29","38","54","45","29","371","342","121","18","19","20","24","21","17","185","168","39","14","10","18","30","24","12","186","174","82","40","39","24","40","19","2","6","271","120","69","26","0","9","15","60","164","157","298","1","50","113","139","122"
"MULTIPOLYGON (((-35947.0267 164973.419199999,-35943.684 164997.600199999,-35936.9745 165022.154300001,-35926.6021 165043.0145,-35914.5119 165072.9794,-35941.6195 165051.6171,-35942.9635 165050.5591,-36001.5326 165011.4374,-36015.0659 164999.263800001,-36065.3644 164951.829399999,-36056.2287 164940.982899999,-36038.8561 164902.8465,-36024.3508 164913.6611,-35996.1573 164942.804099999,-35947.0267 164973.419199999)))","300","10947","1312","03","032","04","13120303204","007437",Porto,"199649","2011","13120303204",,"8",Subsecção,"12","5","3","0","2","7","0","9","3","0","10","2","0","0","5","2","0","0","1","1","3","0","0","11","1","0","0","0","59","59","59","0","0","52","52","5","50","45","51","44","25","23","4","0","17","27","12","1","0","21","29","52","0","38","13","16","9","39","11","2","28","9","6","5","9","11","103","51","52","103","51","52","5","7","1","6","5","4","65","61","19","2","5","0","0","0","4","39","35","5","3","2","1","6","5","0","26","26","14","5","8","0","5","9","0","0","32","15","26","6","0","1","2","13","36","25","38","0","7","29","22","19"
"MULTIPOLYGON (((-43525.4735 165073.1457,-43527.6354 165076.421499999,-43535.0928 165049.4706,-43536.0318 165046.0757,-43537.0185 165018.5109,-43533.0875 165004.987600001,-43531.0925 164998.1259,-43529.6862 164960.262499999,-43534.2628 164934.1456,-43507.3092 164956.303099999,-43504.1933 164960.607899999,-43475.264 165000.568700001,-43488.4047 165026.496300001,-43495.5274 165027.7772,-43525.4735 165073.1457)))","301","10948","1312","06","022","03","13120602203","007437",Porto,"200136","2011","13120602203",,"8",Subsecção,"3","0","0","0","0","3","0","3","0","0","0","3","0","0","0","0","0","3","0","0","0","0","0","3","0","0","0","0","24","24","24","0","0","18","18","4","18","18","18","18","4","12","2","0","0","4","0","0","1","1","17","18","0","10","2","8","5","13","4","1","20","9","2","4","7","9","67","32","35","62","29","33","4","3","2","5","4","4","38","34","10","0","2","2","3","2","1","19","18","3","4","1","0","2","2","3","19","16","7","3","3","2","1","5","0","0","22","10","12","5","0","1","2","4","16","16","30","1","3","12","12","12"
"MULTIPOLYGON (((-43375.0655 165015.5997,-43411.7315 165077.1614,-43422.115 165069.8115,-43434.8483 165056.3969,-43439.152 165050.452099999,-43404.719 164995.863,-43391.4965 164989.8605,-43375.0655 165015.5997)))","302","10949","1312","06","016","07","13120601607","007437",Porto,"200114","2011","13120601607",,"8",Subsecção,"2","0","0","0","0","2","0","2","0","0","0","0","2","0","0","0","0","0","0","0","2","0","0","2","0","0","0","0","30","30","30","0","0","27","27","0","27","27","27","27","0","14","13","0","0","15","13","0","0","26","0","27","0","10","17","2","5","24","2","1","23","10","7","1","5","15","82","37","45","75","34","41","1","1","2","6","4","7","61","54","4","1","0","0","5","4","3","27","24","1","0","1","2","1","0","4","34","30","3","2","1","1","4","0","0","8","17","15","15","10","1","10","1","3","40","9","25","0","8","32","10","25"
"MULTIPOLYGON (((-37857.9068 165043.7083,-37894.0663 165053.684699999,-37979.0549 165077.226299999,-37974.337 165071.7096,-37936.2228 164981.7213,-37936.2216 164961.723099999,-37944.933 164937.588,-37949.2927 164924.979499999,-37949.9007 164923.2216,-37955.7433 164908.1931,-37967.4775 164879.146199999,-37976.0689 164859.7829,-37980.4705 164840.2947,-37983.4452 164818.9155,-37972.6017 164826.669299999,-37895.5509 164813.4652,-37878.8207 164924.6219,-37857.9068 165043.7083)))","303","10950","1312","03","044","02","13120304402","007437",Porto,"199716","2011","13120304402",,"8",Subsecção,"10","9","0","0","9","1","0","10","0","0","7","3","0","0","8","2","0","0","0","0","0","0","0","0","8","2","0","0","16","16","16","0","0","13","13","2","13","13","13","13","1","8","4","0","0","5","1","1","0","8","4","13","0","12","1","9","1","13","0","0","6","0","1","0","1","0","24","8","16","21","6","15","0","0","1","1","0","1","8","7","11","0","0","0","0","0","0","3","3","3","0","0","1","1","0","1","5","4","8","0","0","1","1","0","0","0","11","2","1","2","0","2","0","0","6","13","13","0","2","4","2","5"
"MULTIPOLYGON (((-36332.0368 165066.3334,-36360.7477 165078.7118,-36391.1024 165078.479599999,-36398.748 165068.285,-36406.6626 165059.7093,-36404.4385 165044.8719,-36409.9462 165038.712099999,-36410.8182 165037.7371,-36478.4392 165026.3542,-36487.5158 165024.826300001,-36509.1168 165021.4583,-36609.0454 165005.8784,-36622.7138 165007.588199999,-36628.5365 165008.665200001,-36625.2416 165001.6424,-36618.0528 164984.460200001,-36592.5543 164923.525699999,-36587.6925 164911.906199999,-36567.9929 164867.2381,-36536.6474 164880.9077,-36515.4244 164890.1625,-36488.8336 164901.758199999,-36462.6709 164913.1668,-36445.8826 164915.7908,-36400.4696 164922.8628,-36381.6435 164926.0667,-36390.0266 164982.1205,-36391.0756 164989.8182,-36390.5107 164993.215,-36384.934 164999.253799999,-36374.8635 165012.008400001,-36363.8601 165025.9659,-36332.0368 165066.3334)))","304","10951","1312","03","038","04","13120303804","007437",Porto,"199685","2011","13120303804",,"8",Subsecção,"24","5","0","0","5","19","0","16","8","0","4","9","11","0","0","6","0","18","0","0","0","0","0","24","0","0","0","0","164","164","164","0","0","149","149","14","149","148","149","147","20","113","16","0","1","43","8","1","0","9","140","149","0","53","63","58","59","90","41","18","144","61","35","20","57","87","491","237","254","500","242","258","18","29","37","60","48","29","281","252","75","11","11","16","35","29","15","145","130","24","7","18","21","25","19","14","136","122","51","30","43","24","29","26","0","3","194","88","63","23","0","1","11","70","96","95","227","0","25","71","121","69"
"MULTIPOLYGON (((-41836.2845 165008.345899999,-41833.7467 165018.0735,-41830.7863 165064.173599999,-41842.078 165076.117900001,-41845.3949 165080.5187,-41844.9607 165063.613399999,-41849.8179 165008.7686,-41836.2845 165008.345899999)))","305","10952","1312","07","007","02","13120700702","007437",Porto,"200238","2011","13120700702",,"8",Subsecção,"1","0","0","0","0","1","0","1","0","0","0","1","0","0","0","1","0","0","0","0","0","0","0","1","0","0","0","0","24","24","24","0","0","23","23","0","23","23","23","23","8","15","0","0","0","8","0","0","1","8","14","23","0","17","5","14","2","16","6","1","15","5","2","2","2","6","48","19","29","49","19","30","2","3","0","1","1","1","27","26","16","0","2","0","0","0","1","13","12","4","2","1","0","1","1","0","14","14","12","3","2","0","1","0","0","0","17","6","9","8","0","0","1","7","16","18","20","0","3","13","4","12"
"MULTIPOLYGON (((-41931.4461 165080.2443,-41946.2495 165080.667099999,-41947.891 165037.9418,-41947.3009 165031.720100001,-41920.083 165020.693,-41917.9127 165078.1296,-41931.4461 165080.2443)))","306","10953","1312","07","004","05","13120700405","007437",Porto,"200229","2011","13120700405",,"8",Subsecção,"1","0","0","0","0","1","0","1","0","0","0","1","0","0","0","1","0","0","0","0","0","0","0","1","0","0","0","0","24","24","24","0","0","17","17","4","17","17","17","17","5","11","1","0","0","5","0","0","0","4","13","17","0","13","4","12","1","14","3","0","10","5","1","0","1","6","30","13","17","32","15","17","0","0","1","2","2","0","12","12","17","0","0","0","1","1","0","7","7","7","0","0","1","1","1","0","5","5","10","1","0","1","1","1","0","1","19","5","2","2","0","1","1","2","8","18","20","0","0","8","4","7"
"MULTIPOLYGON (((-37340.2943 165064.4582,-37346.5082 165074.560699999,-37357.9507 165080.477399999,-37375.9919 165080.589299999,-37380.6207 165081.4803,-37382.4006 165076.135500001,-37397.4158 165057.044199999,-37406.0804 165051.589299999,-37454.0022 165039.8146,-37480.127 165031.036800001,-37490.7075 165029.0438,-37498.2442 165029.0997,-37535.5228 165050.057700001,-37518.5981 165010.341399999,-37504.0437 165005.295700001,-37474.531 165007.2377,-37452.914 165010.6897,-37443.6044 165013.6557,-37432.8489 165016.169600001,-37398.7195 165027.543299999,-37387.194 165032.2852,-37368.3189 165042.3169,-37340.2943 165064.4582)))","307","10954","1312","03","043","05","13120304305","007437",Porto,"199712","2011","13120304305",,"8",Subsecção,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"MULTIPOLYGON (((-41845.3949 165080.5187,-41847.3788 165083.1516,-41867.9046 165057.4353,-41872.2104 165051.2425,-41873.9322 165041.548900001,-41874.507 165024.853599999,-41876.3729 165020.9487,-41883.2626 165017.0437,-41889.7213 165015.831700001,-41903.5207 165013.9815,-41907.4781 164977.139,-41916.1306 164963.9124,-41920.4373 164956.0747,-41912.5257 164956.937799999,-41902.0271 164955.818,-41823.3175 164947.419600001,-41761.7781 164942.706800001,-41762.7826 164995.227600001,-41836.2844 164997.772299999,-41836.2845 165008.345899999,-41849.8179 165008.7686,-41844.9607 165063.613399999,-41845.3949 165080.5187)))","308","10955","1312","07","007","01","13120700701","007437",Porto,"200237","2011","13120700701",,"8",Subsecção,"4","0","0","0","0","4","0","1","0","3","0","1","3","0","0","4","0","0","0","0","0","0","0","4","0","0","0","0","20","20","20","0","0","17","17","1","17","17","17","17","1","13","1","2","0","4","1","0","0","5","11","17","0","15","2","14","0","17","0","0","11","5","1","0","0","6","29","14","15","30","14","16","0","0","0","0","0","1","12","11","18","0","0","0","0","0","1","6","5","8","0","0","0","0","0","0","6","6","10","1","0","0","0","0","0","0","15","4","2","3","1","4","0","0","8","18","22","0","1","7","0","7"
"MULTIPOLYGON (((-38986.3735 165086.3706,-38991.8153 165086.6066,-38992.8953 165086.705600001,-39003.1118 165086.241599999,-39009.3751 165039.5184,-38991.6289 165042.5184,-38986.3735 165086.3706)))","309","10956","1312","02","026","04","13120202604","007437",Porto,"199390","2011","13120202604",,"8",Subsecção,"1","0","0","0","0","1","0","1","0","0","0","1","0","0","0","0","1","0","0","0","0","0","0","0","0","1","0","0","16","16","16","0","0","15","15","0","15","15","15","15","6","9","0","0","1","7","1","0","0","4","11","15","0","11","2","7","0","14","1","0","11","4","0","0","0","5","29","14","15","34","17","17","0","0","0","2","2","3","22","19","10","0","0","0","2","2","1","11","10","4","0","0","0","0","0","2","11","9","6","2","0","0","0","3","0","0","15","4","5","2","0","1","0","1","14","14","19","0","4","10","3","11"
"MULTIPOLYGON (((-42572.4549 165044.320599999,-42577.365 165045.3806,-42691.1545 165090.317199999,-42699.3448 165093.567,-42697.4224 164990.098200001,-42697.4503 164912.009500001,-42696.373 164866.487199999,-42676.0025 164866.0513,-42653.9035 164865.149700001,-42595.96 164859.1569,-42500.686 164846.739,-42505.6433 164802.730699999,-42424.2548 164792.1085,-42369.4731 164784.958699999,-42352.4525 164857.002900001,-42345.6295 164925.290100001,-42340.9822 164971.8182,-42396.6889 164988.8566,-42397.2059 164989.0276,-42424.2568 164997.9628,-42444.903 165004.783199999,-42572.4549 165044.320599999)))","310","10958","1312","07","001","08","13120700108","007437",Porto,"200206","2011","13120700108",,"8",Subsecção,"32","32","2","1","29","0","0","32","0","0","32","0","0","0","7","19","3","3","0","0","0","0","0","5","26","1","0","0","32","32","32","0","0","25","25","4","25","25","25","24","8","12","4","1","1","17","0","0","0","12","10","25","0","22","3","14","2","23","2","0","12","3","1","2","2","2","41","20","21","42","20","22","1","2","0","1","1","1","20","19","18","1","1","0","1","1","1","12","11","5","0","1","0","0","0","0","8","8","13","3","3","0","1","1","0","2","11","2","10","2","0","8","1","1","11","20","26","0","4","7","9","9"
"MULTIPOLYGON (((-39010.6915 165090.353399999,-39017.6283 165094.1152,-39024.77 165097.357,-39029.5968 165092.9242,-39032.6386 165088.1613,-39038.1919 165049.5228,-39041.5146 165030.536599999,-39009.3751 165039.5184,-39003.1118 165086.241599999,-39010.6915 165090.353399999)))","311","10959","1312","02","026","03","13120202603","007437",Porto,"199389","2011","13120202603",,"8",Subsecção,"3","0","0","0","0","3","0","3","0","0","0","3","0","0","0","0","2","1","0","0","0","0","0","1","2","0","0","0","30","30","30","0","0","25","25","4","25","25","25","24","13","11","1","0","6","10","0","0","1","2","23","25","0","23","1","16","2","23","1","1","14","5","1","2","2","4","45","14","31","45","14","31","2","0","1","0","0","2","20","18","22","0","0","0","0","0","1","7","6","7","2","0","1","0","0","1","13","12","15","6","0","1","1","0","0","0","24","7","2","3","0","0","0","5","5","25","32","0","0","5","2","4"
"MULTIPOLYGON (((-44717.1337 165095.179400001,-44800.4891 165099.6109,-44806.9877 165086.8243,-44812.6013 165071.9979,-44814.8471 165062.7883,-44814.8471 165054.4767,-44814.172 165038.751399999,-44810.354 165020.780200001,-44802.9102 165007.073,-44748.1205 165001.3661,-44728.1853 164998.6975,-44700.1695 164994.0452,-44672.3047 164990.080800001,-44637.1992 164984.819599999,-44627.8216 164984.057800001,-44602.9687 164982.761299999,-44613.6043 164990.445699999,-44618.9232 165009.945800001,-44626.014 165024.718,-44629.5589 165032.990599999,-44634.878 165064.3091,-44628.6905 165089.314099999,-44677.7024 165091.964199999,-44717.1337 165095.179400001)))","312","10961","1312","05","010","02","13120501002","007437",Porto,"199954","2011","13120501002",,"8",Subsecção,"7","0","0","0","0","7","0","7","0","0","0","0","7","0","0","0","0","0","0","1","4","2","0","5","0","0","0","2","120","120","120","0","0","97","97","10","97","97","97","97","0","11","69","17","0","19","38","47","12","87","3","97","0","50","39","16","35","87","10","0","75","17","28","12","35","28","243","111","132","258","122","136","11","21","23","23","20","13","158","145","22","4","11","16","12","11","7","68","61","11","7","10","7","11","9","6","90","84","11","0","18","10","18","16","4","22","11","21","28","36","1","128","1","9","120","20","70","0","14","106","88","81"
"MULTIPOLYGON (((-44220.6031 165064.3188,-44228.5469 165085.1238,-44223.2353 165105.651,-44233.5808 165092.350400001,-44261.0934 165077.8156,-44312.4851 165065.3563,-44334.1171 165062.781099999,-44363.0398 165059.0998,-44381.4477 165056.853599999,-44348.3223 164991.660599999,-44325.9808 164988.5285,-44242.7166 165004.7541,-44225.9423 165010.7271,-44209.1731 165016.6971,-44197.0377 165021.018100001,-44187.1862 165026.2051,-44203.4726 165036.8073,-44211.2593 165045.6318,-44220.6031 165064.3188)))","313","10966","1312","06","023","02","13120602302","007437",Porto,"200139","2011","13120602302",,"8",Subsecção,"8","0","0","0","0","8","0","8","0","0","0","8","0","0","0","8","0","0","0","0","0","0","0","8","0","0","0","0","128","128","128","0","0","113","113","14","113","113","113","113","74","39","0","0","2","83","0","0","0","1","109","113","0","62","44","46","24","80","24","9","92","41","20","11","26","44","288","126","162","285","125","160","15","10","11","18","16","17","173","156","58","8","4","4","10","8","6","82","76","17","7","6","7","8","8","11","91","80","41","17","10","7","14","8","0","3","106","61","37","14","1","3","8","37","73","64","129","0","14","59","45","58"
"MULTIPOLYGON (((-38618.6573 165071.3642,-38622.7061 165075.142,-38672.8433 165110.440300001,-38682.1416 165075.489700001,-38711.4692 164965.2509,-38666.577 164960.328299999,-38656.6025 164961.154300001,-38607.2556 164957.3577,-38580.3457 164954.393,-38564.6383 164945.2764,-38551.7098 164936.699899999,-38552.8621 164977.4582,-38551.8943 164989.2618,-38550.6944 164991.4167,-38548.0935 164996.024499999,-38543.0358 165001.851299999,-38543.3248 165003.4243,-38543.6138 165005.3212,-38545.2028 165007.7601,-38548.3827 165011.2839,-38551.9956 165015.3497,-38554.5965 165018.8726,-38557.0534 165020.770500001,-38561.2442 165023.0744,-38565.5801 165024.9713,-38569.9149 165027.817199999,-38576.7077 165034.321900001,-38590.0022 165044.621400001,-38606.3537 165059.8817,-38618.6573 165071.3642)))","314","10967","1312","02","029","01","13120202901","007437",Porto,"199397","2011","13120202901",,"8",Subsecção,"39","36","7","11","18","3","0","34","5","0","36","3","0","31","2","4","0","0","2","0","0","0","0","3","2","34","0","0","52","52","52","0","0","36","36","10","34","33","35","30","17","14","5","0","0","28","0","0","0","12","21","36","0","26","4","19","8","33","2","1","25","10","2","5","8","9","78","32","46","82","36","46","5","1","3","4","3","5","45","40","24","2","0","3","3","2","1","18","17","10","3","1","0","1","1","4","27","23","14","5","1","1","3","0","0","4","24","7","11","24","1","1","1","3","25","31","43","0","8","17","9","16"
