fid,OBJECTID,BGRI2021,DT21,DTMN21,DTMNFR21,DTMNFRSEC21,SECNUM21,SSNUM21,SECSSNUM21,SUBSECCAO,NUTS1,NUTS2,NUTS3,N_EDIFICIOS_CLASSICOS,N_EDIFICIOS_CLASS_CONST_1_OU_2_ALOJ,N_EDIFICIOS_CLASS_CONST_3_OU_MAIS_ALOJAMENTOS,N_EDIFICIOS_EXCLUSIV_RESID,N_EDIFICIOS_1_OU_2_PISOS,N_EDIFICIOS_3_OU_MAIS_PISOS,N_EDIFICIOS_CONSTR_ANTES_1945,N_EDIFICIOS_CONSTR_1946_1980,N_EDIFICIOS_CONSTR_1981_2000,N_EDIFICIOS_CONSTR_2001_2010,N_EDIFICIOS_CONSTR_2011_2021,N_EDIFICIOS_COM_NECESSIDADES_REPARACAO,N_ALOJAMENTOS_TOTAL,N_ALOJAMENTOS_FAMILIARES,N_ALOJAMENTOS_FAM_CLASS_RHABITUAL,N_ALOJAMENTOS_FAM_CLASS_VAGOS_OU_RESID_SECUNDARIA,N_RHABITUAL_ACESSIVEL_CADEIRAS_RODAS,N_RHABITUAL_COM_ESTACIONAMENTO,N_RHABITUAL_PROP_OCUP,N_RHABITUAL_ARRENDADOS,N_AGREGADOS_DOMESTICOS_PRIVADOS,N_ADP_1_OU_2_PESSOAS,N_ADP_3_OU_MAIS_PESSOAS,N_NUCLEOS_FAMILIARES,N_NUCLEOS_FAMILIARES_COM_FILHOS_TENDO_O_MAIS_NOVO_MENOS_DE_25,N_INDIVIDUOS,N_INDIVIDUOS_H,N_INDIVIDUOS_M,N_INDIVIDUOS_0_14,N_INDIVIDUOS_15_24,N_INDIVIDUOS_25_64,N_INDIVIDUOS_65_OU_MAIS,SHAPE_Length,SHAPE_Area,lon,lat
473,165920,13120301010,13,1312,131203,131203010,10,10,1010,13120301010,1,11,11A,49,34,15,47,34,15,19,18,7,5,0,45,131,131,112,19,8,80,63,43,112,69,43,77,41,265,117,148,32,31,125,77,773.855578212533,25728.0695233085,-8.57294763525878,41.16511276815782
474,165921,13121602002,13,1312,131216,131216020,20,2,2002,13121602002,1,11,11A,13,6,7,13,2,11,0,0,7,6,0,0,92,92,83,9,29,83,67,11,83,38,45,69,39,232,108,124,34,38,105,55,536.123854701854,16945.027113929,-8.669897803296536,41.16524218975349
475,165922,13121001801,13,1312,131210,131210018,18,1,1801,13121001801,1,11,11A,26,18,8,25,16,10,5,12,3,6,0,1,91,91,79,12,30,63,63,9,79,47,32,53,34,181,80,101,33,20,96,32,410.437473061362,9678.97663168529,-8.612282260245644,41.165443283452625
476,165923,13121100104,13,1312,131211,131211001,1,4,104,13121100104,1,11,11A,13,2,11,12,2,11,0,13,0,0,0,7,142,142,107,35,55,71,71,28,107,68,39,71,38,239,108,131,28,34,125,52,735.677830181407,22402.5534478331,-8.646971138081012,41.16515362529532
477,165924,13120302909,13,1312,131203,131203029,29,9,2909,13120302909,1,11,11A,88,63,25,86,55,33,0,88,0,0,0,41,255,255,184,71,22,61,43,132,184,120,64,127,59,426,193,233,54,50,195,127,1449.07781516157,126763.262777995,-8.568848768684363,41.16407625786461
478,165925,13121102806,13,1312,131211,131211028,28,6,2806,13121102806,1,11,11A,6,0,6,6,0,6,0,6,0,0,0,6,46,46,44,2,0,1,0,44,44,21,23,36,19,131,68,63,11,27,65,28,387.631997058541,8398.9508639194,-8.639776309534858,41.16636645735523
479,165926,13121601902,13,1312,131216,131216019,19,2,1902,13121601902,1,11,11A,34,33,1,34,22,12,2,16,7,6,3,9,39,39,31,8,7,17,23,8,31,15,16,23,16,80,32,48,8,20,36,16,832.471897392492,30364.5212104917,-8.66333217610841,41.165945356373896
480,165927,13121000205,13,1312,131210,131210002,2,5,205,13121000205,1,11,11A,63,34,29,58,10,53,17,25,15,3,3,35,332,332,261,71,62,147,153,76,261,185,76,172,58,558,260,298,56,41,272,189,1110.28388585597,57127.0433574964,-8.595569823392289,41.16589089929651
481,165928,13121100201,13,1312,131211,131211002,2,1,201,13121100201,1,11,11A,94,57,37,89,32,62,0,14,60,18,2,31,345,345,294,51,105,175,187,80,294,164,130,202,123,711,320,391,140,65,377,129,1378.78770243121,68806.6231258949,-8.630377099247402,41.166103239655
482,165929,13121102504,13,1312,131211,131211025,25,4,2504,13121102504,1,11,11A,47,46,1,46,22,25,25,4,0,3,15,16,55,55,47,8,18,28,37,9,47,20,27,36,21,140,72,68,27,19,69,25,614.299958029024,22127.8357729067,-8.653796664428148,41.16583115463857
483,165930,13121000303,13,1312,131210,131210003,3,3,303,13121000303,1,11,11A,35,11,24,32,10,25,1,30,4,0,0,22,182,182,145,37,27,41,77,60,145,111,34,75,28,283,132,151,24,26,142,91,540.976958030895,16668.8821100163,-8.59830820711426,41.16639181417827
484,165931,13121001804,13,1312,131210,131210018,18,4,1804,13121001804,1,11,11A,28,22,6,28,23,5,13,12,3,0,0,1,52,52,36,16,6,7,13,20,36,26,10,19,9,71,29,42,4,10,40,17,309.040871319765,5723.31929023285,-8.613978558765849,41.166540462620894
485,165932,13120300311,13,1312,131203,131203003,3,11,311,13120300311,1,11,11A,19,19,0,19,15,4,1,18,0,0,0,8,24,24,14,10,4,9,9,5,14,8,6,11,2,34,17,17,1,1,16,16,387.033312540221,8996.20827535527,-8.567449178203054,41.16668280735614
486,165933,13121702504,13,1312,131217,131217025,25,4,2504,13121702504,1,11,11A,34,12,21,32,12,22,2,22,8,1,1,30,173,172,129,43,54,81,95,24,129,97,32,85,25,273,118,155,19,20,134,100,816.812299112025,27899.8986531013,-8.625580657609223,41.16577854778356
487,165934,13121000304,13,1312,131210,131210003,3,4,304,13121000304,1,11,11A,53,36,17,53,28,25,16,30,4,1,2,25,178,178,140,38,59,84,95,34,140,102,38,89,33,295,132,163,20,31,151,93,845.951705051935,35839.0483686342,-8.600067445852236,41.16631939194857
488,165940,13121100302,13,1312,131211,131211003,3,2,302,13121100302,1,11,11A,12,5,7,9,5,7,4,0,6,1,1,6,169,169,142,27,46,122,86,40,142,112,30,65,29,262,117,145,17,27,160,58,616.359803026917,18911.1076459183,-8.648687053401183,41.166598003706426
489,165941,13120302104,13,1312,131203,131203021,21,4,2104,13120302104,1,11,11A,16,16,0,16,16,0,0,1,15,0,0,16,16,16,14,2,1,0,13,0,14,9,5,13,6,36,16,20,6,3,14,13,240.864769504741,1884.63997099351,-8.581157022208416,41.16734192772694
490,165942,13121001805,13,1312,131210,131210018,18,5,1805,13121001805,1,11,11A,114,92,22,114,95,19,50,52,8,4,0,11,201,201,148,53,30,28,69,72,148,104,44,102,40,325,139,186,44,29,162,90,783.778873745581,28895.8025061147,-8.615221272426446,41.166135995854894
491,165943,13120302012,13,1312,131203,131203020,20,12,2012,13120302012,1,11,11A,12,12,0,12,0,12,0,12,0,0,0,2,12,12,9,3,0,7,9,0,9,5,4,6,3,24,12,12,1,4,10,9,248.853066779217,3527.89363001246,-8.57151574761864,41.167481888762616
492,165944,13121103101,13,1312,131211,131211031,31,1,3101,13121103101,1,11,11A,68,49,19,66,42,26,0,59,7,1,1,54,178,178,158,20,50,44,74,76,158,103,55,102,50,346,160,186,49,27,196,74,634.372770033571,18173.0071354542,-8.631983513154625,41.16721360120671
493,165945,13121002101,13,1312,131210,131210021,21,1,2101,13121002101,1,11,11A,45,26,18,45,16,29,22,21,2,0,0,25,128,127,99,28,38,58,56,39,99,55,44,63,28,237,112,125,16,35,123,63,833.316818677982,32607.659106879,-8.595749038110762,41.167101596056234
494,165946,13120302014,13,1312,131203,131203020,20,14,2014,13120302014,1,11,11A,10,10,0,10,0,10,0,10,0,0,0,0,10,10,7,3,0,6,6,1,7,5,2,6,1,15,7,8,0,1,6,8,208.619478830747,2699.66208530471,-8.571197903303565,41.16792563550959
495,165947,13121601903,13,1312,131216,131216019,19,3,1903,13121601903,1,11,11A,30,30,0,30,23,7,0,26,2,2,0,3,31,31,24,7,3,12,21,3,24,14,10,18,8,63,30,33,7,6,38,12,378.397018258898,7926.12395331527,-8.66751358474925,41.16722290794092
496,166171,13121800906,13,1312,131218,131218009,9,6,906,13121800906,1,11,11A,3,0,3,3,0,3,0,3,0,0,0,2,85,85,72,13,51,71,59,10,72,40,32,49,23,184,91,93,32,18,94,40,864.082905957008,30150.8738598157,-8.639539696364906,41.16155465601893
497,166172,13120201006,13,1312,131202,131202010,10,6,1006,13120201006,1,11,11A,21,7,14,19,1,20,0,8,12,1,0,9,119,119,93,26,19,38,55,32,93,65,28,52,21,192,92,100,21,17,85,69,936.190151057725,40380.6518654213,-8.592528069767033,41.16174345804361
498,166173,13120202003,13,1312,131202,131202020,20,3,2003,13120202003,1,11,11A,5,0,5,5,0,5,0,0,5,0,0,4,56,56,51,5,25,51,44,5,51,32,19,40,13,119,61,58,12,10,41,56,493.437979565686,10855.026748951,-8.596947588562932,41.1626418341347
499,166174,13121601206,13,1312,131216,131216012,12,6,1206,13121601206,1,11,11A,14,11,3,13,0,14,0,1,13,0,0,3,68,68,64,4,46,63,49,9,64,34,30,46,28,165,87,78,18,29,80,38,491.966408909987,13696.079718045,-8.676938509758815,41.16183657182921
500,166175,13121801811,13,1312,131218,131218018,18,11,1811,13121801811,1,11,11A,68,49,19,67,42,26,35,19,8,0,6,34,155,155,113,42,28,51,73,36,113,75,38,78,34,259,122,137,41,20,130,68,756.658319898365,31905.375264525,-8.658625970219997,41.16198051645104
501,166176,13120302905,13,1312,131203,131203029,29,5,2905,13120302905,1,11,11A,10,9,1,10,9,1,0,4,6,0,0,10,12,12,6,6,0,1,5,0,6,4,2,4,0,15,6,9,0,0,10,5,244.886353312653,3592.05432552245,-8.5731074964042,41.16278120696866
502,166177,13121601207,13,1312,131216,131216012,12,7,1207,13121601207,1,11,11A,42,41,1,42,14,28,0,15,15,12,0,6,46,46,44,2,16,41,34,6,44,24,20,31,15,115,53,62,9,22,61,23,833.579145382788,32381.8882438113,-8.673198762002466,41.16192535414856
503,166178,13121705002,13,1312,131217,131217050,50,2,5002,13121705002,1,11,11A,32,21,11,30,8,24,15,12,3,0,2,14,141,141,107,34,39,73,82,18,107,80,27,70,22,221,90,131,16,17,99,89,548.796586048293,17945.0688973308,-8.613385606843698,41.16250134027392
504,166179,13121602504,13,1312,131216,131216025,25,4,2504,13121602504,1,11,11A,4,0,4,4,0,4,0,0,4,0,0,0,56,56,53,3,48,53,47,4,53,30,23,43,21,139,63,76,19,21,61,38,402.370776969366,7032.46850977893,-8.667213910560083,41.162531324685375
505,166180,13120302906,13,1312,131203,131203029,29,6,2906,13120302906,1,11,11A,56,56,0,56,54,2,6,50,0,0,0,6,62,62,52,10,12,3,13,25,52,36,16,37,12,112,55,57,3,14,58,37,498.202103494458,15340.128724835,-8.571469254657732,41.16261710501859
506,166181,13120202004,13,1312,131202,131202020,20,4,2004,13120202004,1,11,11A,3,0,3,3,0,3,0,3,0,0,0,1,26,26,20,6,8,9,9,9,20,15,5,7,4,33,16,17,2,4,12,15,269.176848678634,4520.53469291627,-8.594214808731294,41.16289667837682
507,166182,13121601208,13,1312,131216,131216012,12,8,1208,13121601208,1,11,11A,55,54,1,55,30,25,12,22,8,12,1,11,62,62,53,9,23,42,33,15,53,29,24,43,20,146,74,72,24,13,71,38,1191.2120296624,59403.224237368,-8.67493069942371,41.161263314185035
508,166183,13121102704,13,1312,131211,131211027,27,4,2704,13121102704,1,11,11A,1,0,1,0,0,1,0,0,1,0,0,0,56,56,43,13,34,43,27,10,43,31,12,21,9,87,37,50,11,5,55,16,309.598256546533,5034.03306130248,-8.634494508334756,41.16267515146183
509,166184,13120302105,13,1312,131203,131203021,21,5,2105,13120302105,1,11,11A,22,20,2,22,20,2,16,4,2,0,0,19,32,32,22,10,4,1,12,7,22,14,8,16,7,56,23,33,7,7,32,10,846.067163996925,21491.1059991683,-8.581252277466223,41.166845619158266
510,166185,13120302106,13,1312,131203,131203021,21,6,2106,13120302106,1,11,11A,14,14,0,14,14,0,0,0,14,0,0,12,14,14,13,1,2,0,9,2,13,10,3,10,4,28,12,16,6,1,14,7,234.588904137591,1608.79184851506,-8.581347931019282,41.16741805617372
511,166186,13121001505,13,1312,131210,131210015,15,5,1505,13121001505,1,11,11A,70,58,12,68,47,23,45,23,1,0,1,24,123,123,89,34,10,13,49,37,89,66,23,47,17,178,92,86,11,27,92,48,567.169580524725,14878.5789682152,-8.602653253918437,41.16683419960999
512,166187,13120301403,13,1312,131203,131203014,14,3,1403,13120301403,1,11,11A,13,13,0,13,13,0,12,1,0,0,0,5,14,14,11,3,6,4,7,4,11,7,4,7,3,25,12,13,3,2,13,7,1046.79557686271,33806.0629362434,-8.584159033291511,41.16719761436132
513,166188,13121103002,13,1312,131211,131211030,30,2,3002,13121103002,1,11,11A,7,0,7,7,0,7,0,7,0,0,0,0,84,84,81,3,1,1,2,79,81,66,15,47,18,152,64,88,19,7,79,47,413.67838145479,4639.75092809664,-8.639126873084232,41.16686178383017
514,166189,13120302013,13,1312,131203,131203020,20,13,2013,13120302013,1,11,11A,9,9,0,9,7,2,0,6,3,0,0,2,9,9,7,2,2,6,7,0,7,6,1,5,0,14,8,6,0,0,4,10,238.656247608238,2843.88015016113,-8.574253747255488,41.16753326209274
515,166190,13121003903,13,1312,131210,131210039,39,3,3903,13121003903,1,11,11A,3,0,3,3,0,3,0,3,0,0,0,0,24,24,21,3,1,0,0,21,21,16,5,15,4,42,17,25,2,2,19,19,148.857347126062,1052.79674499546,-8.613972539280311,41.16754362453687
516,166191,13121103003,13,1312,131211,131211030,30,3,3003,13121103003,1,11,11A,3,0,3,3,0,3,0,3,0,0,0,0,24,24,24,0,2,0,1,22,24,12,12,21,13,77,30,47,16,11,37,13,396.029860425745,5727.91461828133,-8.638175634258374,41.16686252087612
517,166192,13121005001,13,1312,131210,131210050,50,1,5001,13121005001,1,11,11A,19,16,3,19,15,4,0,19,0,0,0,11,42,42,38,4,3,5,13,20,38,28,10,21,7,73,27,46,3,7,37,26,474.388722705985,5349.42669472438,-8.62202806279578,41.16760144753945
518,166211,13121702603,13,1312,131217,131217026,26,3,2603,13121702603,1,11,11A,35,8,27,34,9,26,1,29,5,0,0,34,206,206,164,42,17,105,91,59,164,119,45,89,34,332,148,184,32,22,178,100,1011.94707051462,23473.6783372842,-8.63153348023308,41.16415622123398
519,166212,13121704909,13,1312,131217,131217049,49,9,4909,13121704909,1,11,11A,32,20,12,30,14,18,0,31,0,1,0,23,101,101,83,18,11,23,46,32,83,47,36,58,23,193,86,107,17,21,102,53,451.428418482352,11260.8163491295,-8.619090206238281,41.16464500101012
520,166213,13121704910,13,1312,131217,131217049,49,10,4910,13121704910,1,11,11A,43,32,11,42,22,21,8,30,3,0,2,30,105,105,69,36,14,18,27,36,69,48,21,37,13,139,69,70,11,11,84,33,401.211203702623,10003.3947131722,-8.617806524073016,41.16462133727202
521,166214,13120300903,13,1312,131203,131203009,9,3,903,13120300903,1,11,11A,1,0,1,0,0,1,0,0,0,1,0,0,278,278,137,141,113,134,21,103,137,133,4,33,6,181,102,79,5,9,158,9,1807.72539071128,159088.664422485,-8.583225755954517,41.1623913212678
522,166215,13121602001,13,1312,131216,131216020,20,1,2001,13121602001,1,11,11A,20,11,9,19,1,19,0,1,9,10,0,3,237,237,190,47,165,185,122,55,190,130,60,121,65,413,190,223,61,45,227,80,1513.71706502877,77866.3901647784,-8.667959397096825,41.163788463865885
523,166216,13121600803,13,1312,131216,131216008,8,3,803,13121600803,1,11,11A,17,8,9,15,2,15,0,16,1,0,0,0,141,141,110,31,48,92,73,25,110,73,37,73,33,245,107,138,28,23,133,61,615.624639189977,22149.824429645,-8.685560845500147,41.16389429926617
524,166217,13121000203,13,1312,131210,131210002,2,3,203,13121000203,1,11,11A,32,31,0,32,6,26,5,12,14,0,1,14,33,32,31,1,13,31,26,1,31,16,15,27,11,92,31,61,10,12,37,33,927.731938190351,41400.3531666514,-8.595537100095765,41.164510028740025
525,166218,13120300706,13,1312,131203,131203007,7,6,706,13120300706,1,11,11A,31,6,25,31,7,24,3,25,3,0,0,4,127,127,105,22,2,24,58,41,105,64,41,72,30,243,114,129,22,25,132,64,2169.02534081608,189014.717240078,-8.579504429677991,41.162250276279835
526,166219,13121101102,13,1312,131211,131211011,11,2,1102,13121101102,1,11,11A,26,7,18,23,4,22,0,6,8,11,1,10,383,382,304,78,210,300,240,44,304,173,131,220,113,766,364,402,113,95,400,158,1525.66801796911,136210.946011529,-8.641827423249325,41.162498391981
527,166220,13121102710,13,1312,131211,131211027,27,10,2710,13121102710,1,11,11A,32,25,7,31,26,6,0,11,18,2,1,13,74,74,50,24,5,32,21,26,50,38,12,32,13,104,46,58,11,11,55,27,636.696742374756,19544.8935792172,-8.634959847634217,41.164261932052185
528,166221,13121601210,13,1312,131216,131216012,12,10,1210,13121601210,1,11,11A,13,13,0,13,3,10,2,0,11,0,0,2,13,13,13,0,4,10,11,1,13,8,5,11,2,33,18,15,6,0,10,17,442.62320614099,11155.2046232711,-8.67660231217257,41.16441965580373
529,166222,13121601003,13,1312,131216,131216010,10,3,1003,13121601003,1,11,11A,22,22,0,22,22,0,0,0,0,22,0,0,22,22,19,3,11,19,15,1,19,6,13,17,10,62,32,30,10,12,34,6,476.806773720925,10344.0868220991,-8.671960568035491,41.16444785474117
530,166223,13121001501,13,1312,131210,131210015,15,1,1501,13121001501,1,11,11A,42,29,13,41,29,13,11,23,5,2,1,19,81,81,56,25,1,3,17,32,56,35,21,36,16,127,57,70,15,12,73,27,497.250149999686,9165.42050854861,-8.600896031070565,41.164624079987206
531,166224,13121001601,13,1312,131210,131210016,16,1,1601,13121001601,1,11,11A,70,45,24,65,29,41,14,39,10,4,3,46,305,304,193,111,48,110,125,46,193,134,59,117,52,406,187,219,44,34,208,120,968.329079347492,37118.4826178288,-8.605896819802132,41.163552608114614
532,166225,13121001602,13,1312,131210,131210016,16,2,1602,13121001602,1,11,11A,52,28,24,47,12,40,7,45,0,0,0,16,180,180,133,47,10,52,85,38,133,97,36,75,29,273,116,157,24,24,136,89,632.700972556552,25052.9366756288,-8.60438333373766,41.164747704776076
533,166226,13121001603,13,1312,131210,131210016,16,3,1603,13121001603,1,11,11A,34,26,8,34,18,16,7,27,0,0,0,18,76,76,51,25,3,17,20,26,51,37,14,27,9,114,50,64,15,9,45,45,408.45160316955,9734.91854830471,-8.60290905449699,41.16491049983963
534,166227,13121702501,13,1312,131217,131217025,25,1,2501,13121702501,1,11,11A,68,54,14,68,51,17,1,44,11,2,10,31,188,188,148,40,17,22,93,43,148,114,34,86,21,300,143,157,21,18,139,122,692.526292974235,13480.1982249215,-8.623920094427882,41.164759822712895
535,166228,13121000103,13,1312,131210,131210001,1,3,103,13121000103,1,11,11A,20,11,8,18,4,16,7,11,2,0,0,5,63,62,46,16,9,23,18,22,47,31,16,27,10,106,46,60,5,21,48,32,665.71670168481,21411.8604766543,-8.609439279006299,41.165028099392025
536,166229,13121102502,13,1312,131211,131211025,25,2,2502,13121102502,1,11,11A,58,49,7,57,22,36,22,28,1,2,5,23,97,95,85,10,20,63,65,17,85,46,39,65,32,361,138,223,27,26,96,212,1303.57140227014,102306.136881451,-8.653902884768268,41.16361168493181
537,166230,13121600805,13,1312,131216,131216008,8,5,805,13121600805,1,11,11A,84,78,6,83,35,49,16,14,18,25,11,9,151,151,125,26,53,113,100,16,125,63,62,94,50,338,153,185,38,54,172,74,1959.61548651954,209693.439852819,-8.680861108684091,41.16338135343456
538,166231,13121002001,13,1312,131210,131210020,20,1,2001,13121002001,1,11,11A,39,28,11,38,21,18,0,39,0,0,0,30,82,82,55,27,6,13,33,19,55,43,12,35,11,108,49,59,9,10,52,37,411.914553391515,9130.42182834154,-8.618979945426643,41.1653580583219
539,166232,13120301306,13,1312,131203,131203013,13,6,1306,13120301306,1,11,11A,5,4,1,5,0,5,0,4,1,0,0,3,14,14,10,4,0,10,8,2,10,10,0,6,0,16,8,8,0,0,5,11,616.851878612038,22116.6175244917,-8.588386079368746,41.16493884202655
540,166233,13121704602,13,1312,131217,131217046,46,2,4602,13121704602,1,11,11A,25,21,4,25,20,5,0,21,4,0,0,12,53,53,31,22,9,2,16,12,31,27,4,17,6,55,27,28,5,3,27,20,330.086064260747,6187.82328969896,-8.623161703392476,41.165392535939596
541,166234,13121102406,13,1312,131211,131211024,24,6,2406,13121102406,1,11,11A,24,23,0,24,22,2,0,21,1,2,0,0,24,23,21,2,9,11,17,2,21,10,11,16,10,70,25,45,14,7,33,16,1322.40577368155,52864.1329940002,-8.658025128763988,41.163675428020426
542,166235,13120302201,13,1312,131203,131203022,22,1,2201,13120302201,1,11,11A,16,11,5,15,11,5,11,5,0,0,0,5,56,56,53,3,2,3,6,46,53,36,17,33,15,117,56,61,14,13,56,34,379.735911210168,8221.98914590707,-8.580450490690115,41.16540295543501
543,166236,13121702502,13,1312,131217,131217025,25,2,2502,13121702502,1,11,11A,29,16,13,28,15,14,0,22,0,1,6,17,73,73,51,22,10,5,18,31,51,40,11,21,7,93,37,56,7,6,53,27,375.792973547896,6958.2207870372,-8.624220297675276,41.16530411116231
544,166237,13120300309,13,1312,131203,131203003,3,9,309,13120300309,1,11,11A,29,26,3,29,20,9,0,27,2,0,0,5,46,46,33,13,6,27,23,10,33,22,11,28,10,81,33,48,12,5,40,24,1617.91241695163,66383.2351456434,-8.566543671190741,41.163374551286594
545,166238,13121704603,13,1312,131217,131217046,46,3,4603,13121704603,1,11,11A,26,7,19,23,7,19,0,20,4,2,0,8,169,169,137,32,11,42,85,43,137,103,34,79,30,269,132,137,19,28,142,80,450.912182354053,9768.31333979449,-8.620093853134701,41.16521398918543
546,166239,13120202012,13,1312,131202,131202020,20,12,2012,13120202012,1,11,11A,15,14,0,15,14,1,6,7,0,1,1,4,15,14,12,2,4,11,12,0,12,4,8,10,5,52,25,27,5,5,16,26,397.74306282293,8799.35506842257,-8.592265622585495,41.16520306696827
547,166240,13121100103,13,1312,131211,131211001,1,3,103,13121100103,1,11,11A,59,45,13,58,15,44,26,31,1,1,0,11,96,95,76,19,19,61,50,13,76,38,38,55,31,215,104,111,44,18,106,47,1106.02904412935,51846.0962889496,-8.651472040235571,41.16359618219366
548,166241,13120302001,13,1312,131203,131203020,20,1,2001,13120302001,1,11,11A,7,4,3,7,1,6,0,6,0,1,0,0,29,29,29,0,2,3,4,25,29,17,12,23,8,73,35,38,13,1,31,28,487.639754400654,9353.13327814556,-8.573811790539887,41.165675928996215
549,166242,13121001502,13,1312,131210,131210015,15,2,1502,13121001502,1,11,11A,62,46,16,62,49,13,28,27,5,0,2,23,128,128,88,40,13,20,39,40,88,64,24,43,20,174,67,107,18,14,91,51,532.787255838772,14781.2080296526,-8.60132244585725,41.165097377675366
550,166243,13121702503,13,1312,131217,131217025,25,3,2503,13121702503,1,11,11A,17,14,3,17,14,3,0,16,0,0,1,4,28,28,19,9,6,14,14,3,19,14,5,14,5,43,24,19,5,6,24,8,429.511491122735,11837.3891544777,-8.626380057906987,41.16520391232643
551,166244,13120202013,13,1312,131202,131202020,20,13,2013,13120202013,1,11,11A,22,22,0,22,20,2,8,9,2,2,1,13,23,23,19,4,5,17,15,1,19,11,8,16,6,53,26,27,4,8,22,19,603.961526825638,17748.6812869983,-8.589587091346955,41.16495934960296
552,166245,13120302202,13,1312,131203,131203022,22,2,2202,13120302202,1,11,11A,12,0,12,12,0,12,0,12,0,0,0,0,112,112,106,6,2,1,3,102,106,59,47,78,40,275,125,150,30,37,136,72,898.557687104825,29789.2931207946,-8.57949179680498,41.16492308547404
553,166247,13121102102,13,1312,131211,131211021,21,2,2102,13121102102,1,11,11A,11,0,11,11,0,11,0,0,11,0,0,11,162,162,155,7,95,155,135,11,155,76,79,122,54,420,202,218,61,42,213,104,610.029619348959,19333.2567996122,-8.652513027247478,41.16628631135872
554,166248,13121704604,13,1312,131217,131217046,46,4,4604,13121704604,1,11,11A,44,21,23,42,22,22,0,32,9,3,0,19,172,172,139,33,18,37,71,60,139,98,41,93,37,308,144,164,32,31,161,84,580.528964202081,17716.8242461827,-8.621339214499391,41.166078852599405
555,166249,13121003801,13,1312,131210,131210038,38,1,3801,13121003801,1,11,11A,17,10,5,16,9,8,5,12,0,0,0,15,35,33,21,12,1,6,10,10,21,16,5,8,4,53,28,25,4,4,28,17,249.804033707762,3826.4674414917,-8.611977900073665,41.166750243250675
556,166250,13121103001,13,1312,131211,131211030,30,1,3001,13121103001,1,11,11A,4,0,4,4,3,1,0,1,2,1,0,1,28,28,19,9,1,18,10,8,19,13,6,15,6,40,17,23,3,3,27,7,226.74081820952,3186.76744146826,-8.637539252692866,41.16694058461841
557,166251,13120300312,13,1312,131203,131203003,3,12,312,13120300312,1,11,11A,29,26,2,29,16,13,10,16,3,0,0,5,38,37,25,12,1,21,19,4,25,13,12,20,6,88,32,56,7,4,28,49,728.483900823681,30862.0106327352,-8.569362212465423,41.166808117132774
558,166252,13121602003,13,1312,131216,131216020,20,3,2003,13121602003,1,11,11A,15,15,0,15,13,2,1,14,0,0,0,2,15,15,12,3,2,4,11,1,12,6,6,11,6,32,14,18,6,3,19,4,288.773599883693,4285.93663485394,-8.669928072426465,41.16657028136116
559,166253,13121102411,13,1312,131211,131211024,24,11,2411,13121102411,1,11,11A,25,25,0,25,0,25,0,0,0,25,0,0,25,25,24,1,8,24,23,0,24,9,15,25,12,77,39,38,14,10,39,14,773.369247508209,21630.7102712343,-8.65678586530116,41.16600995690412
560,166254,13121003802,13,1312,131210,131210038,38,2,3802,13121003802,1,11,11A,10,8,2,9,7,3,7,3,0,0,0,4,13,13,7,6,3,1,1,6,7,6,1,4,1,13,7,6,1,3,9,0,142.087257618276,1230.74024277224,-8.612074559142387,41.16725475092674
561,166255,13121102412,13,1312,131211,131211024,24,12,2412,13121102412,1,11,11A,37,36,1,37,8,29,6,8,0,20,3,1,45,45,40,5,22,36,29,7,40,13,27,36,29,128,65,63,26,24,64,14,787.680617018514,21267.7755066843,-8.655862817134253,41.165851545244685
562,166256,13121602004,13,1312,131216,131216020,20,4,2004,13121602004,1,11,11A,118,115,3,118,52,66,18,45,35,19,1,12,128,128,106,22,34,85,88,10,106,49,57,93,43,304,153,151,40,33,158,73,1818.3006615116,120401.667712946,-8.666476809230643,41.16526355712294
563,166257,13120301402,13,1312,131203,131203014,14,2,1402,13120301402,1,11,11A,28,17,11,28,12,16,8,15,3,1,1,16,70,70,47,23,5,9,20,23,47,34,13,26,13,98,41,57,11,11,49,27,1302.97675949538,81962.7899021662,-8.585724486873566,41.1659586917269
564,166258,13120302102,13,1312,131203,131203021,21,2,2102,13120302102,1,11,11A,9,9,0,9,9,0,0,0,9,0,0,9,9,9,8,1,2,0,4,3,8,2,6,7,3,23,12,11,2,4,9,8,209.918271219377,1552.90452442615,-8.580706397771513,41.16728913605569
565,166259,13120302009,13,1312,131203,131203020,20,9,2009,13120302009,1,11,11A,12,12,0,12,12,0,0,12,0,0,0,3,12,12,11,1,2,11,10,0,11,7,4,7,1,24,14,10,0,3,11,10,269.279289888772,3118.66452776164,-8.575013535559838,41.167244857773035
566,166260,13121702505,13,1312,131217,131217025,25,5,2505,13121702505,1,11,11A,55,35,20,53,28,27,18,29,5,2,1,38,157,157,119,38,13,35,42,73,119,85,34,65,27,242,108,134,26,19,135,62,631.229309481838,22776.4113547874,-8.624209876648473,41.16658813747887
567,166261,13120302010,13,1312,131203,131203020,20,10,2010,13120302010,1,11,11A,20,20,0,20,17,3,14,3,3,0,0,1,20,20,19,1,4,11,15,3,19,13,6,16,6,44,16,28,2,5,19,18,430.701668101977,5619.36156941719,-8.57270059490566,41.167007491512095
