fid,OBJECTID,BGRI2021,DT21,DTMN21,DTMNFR21,DTMNFRSEC21,SECNUM21,SSNUM21,SECSSNUM21,SUBSECCAO,NUTS1,NUTS2,NUTS3,N_EDIFICIOS_CLASSICOS,N_EDIFICIOS_CLASS_CONST_1_OU_2_ALOJ,N_EDIFICIOS_CLASS_CONST_3_OU_MAIS_ALOJAMENTOS,N_EDIFICIOS_EXCLUSIV_RESID,N_EDIFICIOS_1_OU_2_PISOS,N_EDIFICIOS_3_OU_MAIS_PISOS,N_EDIFICIOS_CONSTR_ANTES_1945,N_EDIFICIOS_CONSTR_1946_1980,N_EDIFICIOS_CONSTR_1981_2000,N_EDIFICIOS_CONSTR_2001_2010,N_EDIFICIOS_CONSTR_2011_2021,N_EDIFICIOS_COM_NECESSIDADES_REPARACAO,N_ALOJAMENTOS_TOTAL,N_ALOJAMENTOS_FAMILIARES,N_ALOJAMENTOS_FAM_CLASS_RHABITUAL,N_ALOJAMENTOS_FAM_CLASS_VAGOS_OU_RESID_SECUNDARIA,N_RHABITUAL_ACESSIVEL_CADEIRAS_RODAS,N_RHABITUAL_COM_ESTACIONAMENTO,N_RHABITUAL_PROP_OCUP,N_RHABITUAL_ARRENDADOS,N_AGREGADOS_DOMESTICOS_PRIVADOS,N_ADP_1_OU_2_PESSOAS,N_ADP_3_OU_MAIS_PESSOAS,N_NUCLEOS_FAMILIARES,N_NUCLEOS_FAMILIARES_COM_FILHOS_TENDO_O_MAIS_NOVO_MENOS_DE_25,N_INDIVIDUOS,N_INDIVIDUOS_H,N_INDIVIDUOS_M,N_INDIVIDUOS_0_14,N_INDIVIDUOS_15_24,N_INDIVIDUOS_25_64,N_INDIVIDUOS_65_OU_MAIS,SHAPE_Length,SHAPE_Area,lon,lat
11,62,13121600905,13,1312,131216,131216009,9,5,905,13121600905,1,11,11A,19,10,9,19,6,13,2,17,0,0,0,4,60,60,49,11,1,32,33,13,49,26,23,39,22,127,67,60,13,17,71,26,534.959559049774,17278.2895024149,-8.667173621857895,41.171702952005504
12,63,13121103405,13,1312,131211,131211034,34,5,3405,13121103405,1,11,11A,27,17,10,26,12,15,8,10,9,0,0,9,71,71,61,10,2,32,35,21,61,42,19,41,19,130,57,73,13,17,76,24,401.323146156042,9619.9017928848,-8.651767215112912,41.171766033689266
13,64,13121600309,13,1312,131216,131216003,3,9,309,13121600309,1,11,11A,45,33,12,43,18,27,0,33,12,0,0,2,113,113,98,15,8,68,77,15,98,65,33,68,27,226,106,120,24,22,105,75,938.761001827315,32144.7065401148,-8.666122524391843,41.17093431131364
14,65,13121102902,13,1312,131211,131211029,29,2,2902,13121102902,1,11,11A,12,12,0,12,11,1,7,1,2,1,1,5,12,12,9,3,2,7,7,1,9,6,3,5,2,18,7,11,1,2,7,8,223.390985196856,3097.80993110529,-8.657143695198833,41.172096007547495
15,66,13120301814,13,1312,131203,131203018,18,14,1814,13120301814,1,11,11A,6,6,0,6,1,5,5,0,1,0,0,1,6,6,5,1,0,4,4,0,5,2,3,5,2,13,6,7,1,1,5,6,355.08925863931,5350.20114616275,-8.585450115126568,41.17210788724706
16,67,13121102205,13,1312,131211,131211022,22,5,2205,13121102205,1,11,11A,19,19,0,19,19,0,6,13,0,0,0,17,21,21,11,10,4,2,6,3,11,7,4,9,4,27,13,14,6,2,13,6,1613.20880004534,137600.116556884,-8.641581605189119,41.16967525878678
17,68,13121001304,13,1312,131210,131210013,13,4,1304,13121001304,1,11,11A,8,8,0,8,8,0,0,5,3,0,0,1,8,8,7,1,2,1,6,0,7,4,3,5,1,16,8,8,0,3,7,6,230.25102215894,3227.02926134241,-8.59906708771915,41.172521163504754
18,69,13121003201,13,1312,131210,131210032,32,1,3201,13121003201,1,11,11A,28,19,9,28,18,10,0,28,0,0,0,24,64,64,48,16,4,1,6,35,48,33,15,29,13,102,47,55,10,13,61,18,343.371787449323,5806.29816686933,-8.587966087411738,41.172682674951076
19,70,13121103206,13,1312,131211,131211032,32,6,3206,13121103206,1,11,11A,4,1,3,4,0,4,1,0,0,3,0,0,71,71,66,5,34,65,58,7,66,37,29,44,30,161,72,89,33,16,88,24,1504.96636298453,113499.213493228,-8.629626907293105,41.17116533180586
20,71,13121001305,13,1312,131210,131210013,13,5,1305,13121001305,1,11,11A,6,6,0,6,6,0,0,5,1,0,0,1,6,6,4,2,0,3,2,2,4,4,0,1,0,6,4,2,0,0,4,2,183.646952558778,1577.20674139084,-8.598688725941598,41.172652821212836
