WKT,fid,OBJECTID,BGRI2021,DT21,DTMN21,DTMNFR21,DTMNFRSEC21,SECNUM21,SSNUM21,SECSSNUM21,SUBSECCAO,NUTS1,NUTS2,NUTS3,N_EDIFICIOS_CLASSICOS,N_EDIFICIOS_CLASS_CONST_1_OU_2_ALOJ,N_EDIFICIOS_CLASS_CONST_3_OU_MAIS_ALOJAMENTOS,N_EDIFICIOS_EXCLUSIV_RESID,N_EDIFICIOS_1_OU_2_PISOS,N_EDIFICIOS_3_OU_MAIS_PISOS,N_EDIFICIOS_CONSTR_ANTES_1945,N_EDIFICIOS_CONSTR_1946_1980,N_EDIFICIOS_CONSTR_1981_2000,N_EDIFICIOS_CONSTR_2001_2010,N_EDIFICIOS_CONSTR_2011_2021,N_EDIFICIOS_COM_NECESSIDADES_REPARACAO,N_ALOJAMENTOS_TOTAL,N_ALOJAMENTOS_FAMILIARES,N_ALOJAMENTOS_FAM_CLASS_RHABITUAL,N_ALOJAMENTOS_FAM_CLASS_VAGOS_OU_RESID_SECUNDARIA,N_RHABITUAL_ACESSIVEL_CADEIRAS_RODAS,N_RHABITUAL_COM_ESTACIONAMENTO,N_RHABITUAL_PROP_OCUP,N_RHABITUAL_ARRENDADOS,N_AGREGADOS_DOMESTICOS_PRIVADOS,N_ADP_1_OU_2_PESSOAS,N_ADP_3_OU_MAIS_PESSOAS,N_NUCLEOS_FAMILIARES,N_NUCLEOS_FAMILIARES_COM_FILHOS_TENDO_O_MAIS_NOVO_MENOS_DE_25,N_INDIVIDUOS,N_INDIVIDUOS_H,N_INDIVIDUOS_M,N_INDIVIDUOS_0_14,N_INDIVIDUOS_15_24,N_INDIVIDUOS_25_64,N_INDIVIDUOS_65_OU_MAIS,SHAPE_Length,SHAPE_Area,lon,lat,sqm_price,number_of_ev_cars
"MULTIPOLYGON (((-8.68158100461125 41.1597308426858,-8.68250265300458 41.1593338319469,-8.68281116277021 41.1596929987537,-8.6818612896753 41.160084600644,-8.68158100461125 41.1597308426858)))",170,163652,13121601307,13,1312,131216,131216013,13,7,1307,13121601307,1,11,11A,7,4,3,7,2,5,3,2,2,0,0,2,21,21,14,7,5,10,8,3,14,11,3,7,4,28,13,15,4,3,13,8,273.208620741252,4191.46664499806,-8.682192297429777,41.15970994481884,4014,0.15525356477479463
"MULTIPOLYGON (((-8.67977033278133 41.1603802640466,-8.67972405473147 41.1602565363825,-8.67959978127844 41.1599344361133,-8.67953607117524 41.159753094024,-8.67949310867779 41.1596870475686,-8.67945607741906 41.1596551696078,-8.67942766497745 41.1596382060481,-8.67939081118518 41.1596276935989,-8.67935404033938 41.159625734858,-8.67930036434486 41.1596324013774,-8.67912557423211 41.1596952059763,-8.67895082505876 41.1597644211986,-8.678835198144 41.1598013015466,-8.6787561636526 41.1598187751927,-8.67867982284649 41.1598191377041,-8.67859495195372 41.1598152635048,-8.67854391633693 41.1597984077628,-8.67850689738546 41.1597665294385,-8.67849095895293 41.1597165885535,-8.67838123408427 41.1589459861562,-8.67831277649866 41.1585926371693,-8.67912595543173 41.1582788508099,-8.68006717312287 41.1579249676891,-8.68008948866762 41.1579165777364,-8.68075679653731 41.1586922195504,-8.68128747880446 41.1593233398592,-8.68158100461125 41.1597308426858,-8.68121631173819 41.1598810042136,-8.68057776502762 41.1601485296244,-8.68018143308382 41.1603083918391,-8.67986105946119 41.160406241322,-8.6798050145649 41.1604103611913,-8.67977033278133 41.1603802640466)))",187,163669,13121601308,13,1312,131216,131216013,13,8,1308,13121601308,1,11,11A,21,15,6,20,5,16,5,2,7,5,2,3,54,54,40,14,24,40,30,8,40,19,21,31,22,108,56,52,34,7,52,15,880.193377990134,43459.9669708153,-8.679850017111802,41.15917285414563,4014,0.47869849138895004
"MULTIPOLYGON (((-8.67605781267529 41.1609643436068,-8.67591427717509 41.1603969378846,-8.67588098253257 41.1602966199681,-8.67586455837881 41.1601256231982,-8.67588547319826 41.1600671612794,-8.67592169428464 41.1600314964237,-8.6759545688793 41.160010308282,-8.67608797561672 41.1599492163079,-8.67611040271913 41.1599267708419,-8.67612241602106 41.1599069956259,-8.67611864251031 41.1598886364776,-8.67611166484609 41.1598689327802,-8.67591531060706 41.1595774948509,-8.67831277649866 41.1585926371693,-8.67838123408427 41.1589459861562,-8.67849095895293 41.1597165885535,-8.67770772398023 41.1599055782714,-8.67764455258903 41.1599309080669,-8.67759966513388 41.1599601403174,-8.67756980759725 41.1600260742898,-8.6775808880209 41.1601554978712,-8.67762063388076 41.1603195138397,-8.67767235066384 41.1605579714109,-8.67772187466329 41.160832158587,-8.6777214886713 41.1610858996812,-8.67770648867429 41.1611793688954,-8.6775301786097 41.1611959608368,-8.67732105849976 41.1612271693819,-8.67672474696964 41.1613728938208,-8.67632286756918 41.1614776471373,-8.67616066558324 41.1615148614927,-8.67605781267529 41.1609643436068)))",201,163700,13121601204,13,1312,131216,131216012,12,4,1204,13121601204,1,11,11A,29,21,8,29,3,26,3,6,10,10,0,1,56,56,51,5,14,45,45,4,51,28,23,40,15,132,60,72,17,13,63,39,938.000110201607,40864.5959455328,-8.677079874426811,41.16007416182746,4014,0.7439233312125575
"MULTIPOLYGON (((-8.6653058462636 41.1615286654513,-8.66517018788027 41.1612769007935,-8.66516999797259 41.161276548701,-8.66481661020296 41.160791509059,-8.66480037896951 41.1607686562549,-8.66460268620737 41.160490319103,-8.66440039549504 41.1602129338519,-8.6654707109531 41.1597899299097,-8.6660809895269 41.1595487315187,-8.6662209680973 41.1597374421557,-8.66626155376971 41.1598008753172,-8.66733122171319 41.1613544230489,-8.66719192322278 41.1614339001324,-8.66613739307014 41.1615195096268,-8.66538767416521 41.1615803683892,-8.66534120841112 41.1615817455616,-8.6653058462636 41.1615286654513)))",202,163701,13121602502,13,1312,131216,131216025,25,2,2502,13121602502,1,11,11A,24,23,0,24,17,7,0,1,15,8,0,1,24,23,22,1,6,22,21,1,22,10,12,20,8,74,40,34,8,8,44,14,727.855257224827,32138.8043750704,-8.665853178438358,41.16067643406424,4014,0.4269473031306852
"MULTIPOLYGON (((-8.6796166718453 41.1609179888432,-8.67944455127542 41.1606430901317,-8.67940936076122 41.160571955364,-8.67941207182624 41.1605196471664,-8.67944310798995 41.1604695817656,-8.67954026020826 41.1604287193988,-8.67963135193459 41.160414023471,-8.67973198492215 41.1604135450491,-8.6798050145649 41.1604103611913,-8.67986105946119 41.160406241322,-8.68018143308382 41.1603083918391,-8.68057776502762 41.1601485296244,-8.68121631173819 41.1598810042136,-8.68158100461125 41.1597308426858,-8.6818612896753 41.160084600644,-8.68128645254636 41.1603240759969,-8.67983393710715 41.1609151722378,-8.67964426965005 41.1609944361055,-8.6796166718453 41.1609179888432)))",204,163979,13121601309,13,1312,131216,131216013,13,9,1309,13121601309,1,11,11A,19,18,1,19,7,12,9,1,2,6,1,3,58,58,42,16,19,37,32,7,42,25,17,28,17,100,45,55,17,18,39,26,519.816817530537,9968.73043790068,-8.680587347133082,41.16036205955574,4014,0.5369185781794981
"MULTIPOLYGON (((-8.67209402239861 41.1610476782444,-8.67208711059842 41.1610331190712,-8.67206632938244 41.1608238701523,-8.67219286424108 41.1606367092058,-8.67228125022873 41.1603390247565,-8.6725306180124 41.1599947913207,-8.67285987060579 41.1598155853809,-8.67296555192609 41.159894511917,-8.67312654320569 41.1600900678783,-8.67327281993238 41.1602956423968,-8.67343877785674 41.1604936598091,-8.67351247351486 41.1605670100179,-8.67349390279233 41.1605746067541,-8.67242561054456 41.1610056481004,-8.67214257072251 41.161123275617,-8.67209402239861 41.1610476782444)))",207,163982,13121601203,13,1312,131216,131216012,12,3,1203,13121601203,1,11,11A,4,0,4,2,0,4,0,0,4,0,0,0,92,92,77,15,22,77,54,20,77,50,27,54,27,176,88,88,30,18,73,55,399.980633136443,9069.85829733645,-8.672717706685907,41.16048024976355,4014,0.9444591857133339
"MULTIPOLYGON (((-8.66626155376971 41.1598008753172,-8.66716060439652 41.1594485443973,-8.66824723925524 41.1610135926982,-8.66826160761774 41.1610340179974,-8.66825039509555 41.1610381580566,-8.66733122171319 41.1613544230489,-8.66626155376971 41.1598008753172)))",215,163990,13121602501,13,1312,131216,131216025,25,1,2501,13121602501,1,11,11A,19,19,0,19,17,2,0,0,18,0,1,2,19,19,16,3,7,16,14,0,16,11,5,13,4,36,15,21,1,4,21,10,564.174068463808,16785.500336734,-8.667256157433597,41.16040994746419,4014,0.2264114486299088
"MULTIPOLYGON (((-8.6796238190432 41.1616925620961,-8.67955871195183 41.16166154764,-8.67944882982649 41.1615716168182,-8.67921465256383 41.1613519088076,-8.67907823177875 41.1612309952957,-8.67964426965005 41.1609944361055,-8.67983393710715 41.1609151722378,-8.68128645254636 41.1603240759969,-8.6818612896753 41.160084600644,-8.68222604701045 41.1607304374043,-8.68048610275214 41.1614387686021,-8.67981197131135 41.1616800518333,-8.67973146042282 41.1617007567024,-8.67967388180309 41.1617068386265,-8.6796238190432 41.1616925620961)))",224,164005,13121600801,13,1312,131216,131216008,8,1,801,13121600801,1,11,11A,39,36,3,38,21,18,11,5,3,15,5,10,54,54,36,18,14,28,27,7,36,16,20,26,14,99,45,54,19,11,50,19,658.050767548735,19444.2053068688,-8.680716146716767,41.16094127885376,4014,0.5175118825826487
"MULTIPOLYGON (((-8.67767056943926 41.1618436051629,-8.67767915577431 41.1616764244495,-8.67768787046101 41.1615204355028,-8.67770648867429 41.1611793688954,-8.6777214886713 41.1610858996812,-8.67772187466329 41.160832158587,-8.67767235066384 41.1605579714109,-8.67762063388076 41.1603195138397,-8.6775808880209 41.1601554978712,-8.67756980759725 41.1600260742898,-8.67759966513388 41.1599601403174,-8.67764455258903 41.1599309080669,-8.67770772398023 41.1599055782714,-8.67849095895293 41.1597165885535,-8.67850689738546 41.1597665294385,-8.67854391633693 41.1597984077628,-8.67859495195372 41.1598152635048,-8.67867982284649 41.1598191377041,-8.6787561636526 41.1598187751927,-8.678835198144 41.1598013015466,-8.67895082505876 41.1597644211986,-8.67912557423211 41.1596952059763,-8.67930036434486 41.1596324013774,-8.67935404033938 41.159625734858,-8.67939081118518 41.1596276935989,-8.67942766497745 41.1596382060481,-8.67945607741906 41.1596551696078,-8.67949310867779 41.1596870475686,-8.67953607117524 41.159753094024,-8.67959978127844 41.1599344361133,-8.67972405473147 41.1602565363825,-8.67977033278133 41.1603802640466,-8.6798050145649 41.1604103611913,-8.67973198492215 41.1604135450491,-8.67963135193459 41.160414023471,-8.67954026020826 41.1604287193988,-8.67944310798995 41.1604695817656,-8.67941207182624 41.1605196471664,-8.67940936076122 41.160571955364,-8.67944455127542 41.1606430901317,-8.6796166718453 41.1609179888432,-8.67964426965005 41.1609944361055,-8.67907823177875 41.1612309952957,-8.67893617790532 41.1613102195895,-8.67883738349712 41.1613653169613,-8.6786987362879 41.1614281207372,-8.67791507114961 41.1618649282627,-8.67767774692423 41.1619951698758,-8.67767056943926 41.1618436051629)))",262,164445,13121601205,13,1312,131216,131216012,12,5,1205,13121601205,1,11,11A,14,14,0,14,2,12,3,3,0,8,0,1,14,14,13,1,5,13,11,2,13,0,13,13,12,54,29,25,5,19,28,2,784.142030562017,30640.6970351438,-8.678558254204349,41.16063393098222,4014,0.31697602808187236
"MULTIPOLYGON (((-8.68431665607162 41.1627817815848,-8.68383624213536 41.1618122031814,-8.68354556800904 41.1611762988132,-8.68317799984006 41.1603772512784,-8.68281116277021 41.1596929987537,-8.68373178715713 41.1593425696758,-8.68421781922998 41.1601888582291,-8.68513116538226 41.1618082384847,-8.68574708449465 41.1628933099717,-8.68493669167425 41.1631304523026,-8.68453395946791 41.1632483116973,-8.68431665607162 41.1627817815848)))",284,164470,13121601107,13,1312,131216,131216011,11,7,1107,13121601107,1,11,11A,15,11,4,15,1,14,0,8,4,0,3,1,37,37,26,11,14,25,21,4,26,19,7,15,6,55,27,28,7,3,25,20,1045.37243552032,41150.5524944123,-8.68425291488062,41.16136653338684,4014,0.31050712954958926
"MULTIPOLYGON (((-8.66919318984243 41.1634614281909,-8.66866304337929 41.1633754376677,-8.66850632981815 41.1633006433253,-8.66841508404273 41.1632137488626,-8.66821604696826 41.1629220573871,-8.66783153380822 41.1623675674172,-8.66719192322278 41.1614339001324,-8.66733122171319 41.1613544230489,-8.66825039509555 41.1610381580566,-8.66826160761774 41.1610340179974,-8.66845943178305 41.160961245075,-8.66853906672458 41.16094970055,-8.66869814402625 41.1609600426067,-8.66992279524409 41.1610989016892,-8.67036611566949 41.1611845459302,-8.6706863605779 41.1613599201984,-8.67103033290293 41.1615910978418,-8.67107239538963 41.1616193622803,-8.67136180875073 41.1617858301953,-8.67113193034785 41.1624805786832,-8.67105670526803 41.1625114006777,-8.67098950164414 41.1627433679427,-8.67073850289139 41.1629080727544,-8.67058342025967 41.1630473325777,-8.67039573891474 41.1632389855548,-8.67025742482526 41.1632260098097,-8.66992920001226 41.1631321562609,-8.66983894564239 41.1634686678396,-8.66981390235279 41.163562101765,-8.66919318984243 41.1634614281909)))",293,164479,13121602505,13,1312,131216,131216025,25,5,2505,13121602505,1,11,11A,33,28,5,31,29,4,0,6,19,7,1,8,73,73,48,25,21,19,17,29,48,33,15,28,18,107,44,63,19,15,47,26,1015.51979300572,66880.0947188114,-8.669338825880978,41.16213658014629,4014,0.5692630708409135
"MULTIPOLYGON (((-8.68288295292172 41.1619479384999,-8.68222604701045 41.1607304374043,-8.68317799984006 41.1603772512784,-8.68354556800904 41.1611762988132,-8.68383624213536 41.1618122031814,-8.68431665607162 41.1627817815848,-8.68453395946791 41.1632483116973,-8.68372140655396 41.1635017437369,-8.68288295292172 41.1619479384999)))",294,164480,13121600802,13,1312,131216,131216008,8,2,802,13121600802,1,11,11A,42,17,25,40,8,34,5,22,5,8,2,2,211,211,164,47,53,148,119,33,164,98,66,113,62,398,179,219,54,50,204,90,833.755809721251,27041.2479767827,-8.683391799142244,41.16192339561658,4014,2.2253010951053893
"MULTIPOLYGON (((-8.67071366736397 41.1637080339498,-8.66981390235279 41.163562101765,-8.66983894564239 41.1634686678396,-8.66992920001226 41.1631321562609,-8.67025742482526 41.1632260098097,-8.67039573891474 41.1632389855548,-8.67058342025967 41.1630473325777,-8.67073850289139 41.1629080727544,-8.67098950164414 41.1627433679427,-8.67105670526803 41.1625114006777,-8.67113193034785 41.1624805786832,-8.67136180875073 41.1617858301953,-8.67214359990479 41.1621363207697,-8.6722130761018 41.162175256285,-8.67221307066114 41.1621753193408,-8.67210382237698 41.1633667086282,-8.67155388066614 41.1637630921168,-8.67150143446199 41.1638388538475,-8.67071366736397 41.1637080339498)))",316,165059,13121602507,13,1312,131216,131216025,25,7,2507,13121602507,1,11,11A,24,23,1,24,21,3,0,0,16,8,0,1,29,29,27,2,14,27,25,1,27,14,13,24,11,77,34,43,12,11,41,13,711.956368322718,23590.3206485694,-8.671295587206227,41.16298280282708,4014,0.4204784045984021
"MULTIPOLYGON (((-8.67646310571377 41.1658515367537,-8.67551468675236 41.1656958677231,-8.67406009294787 41.1654504910284,-8.67313663546866 41.165294585206,-8.67312738795124 41.1652929897756,-8.67192690071839 41.1650860450064,-8.67176482109751 41.1650581099169,-8.67179833923045 41.1647547902029,-8.67181315960086 41.1646368146742,-8.67182588715914 41.1646255726776,-8.67184258324049 41.1646187863666,-8.67186717238234 41.1646097210576,-8.67190555313346 41.1646013475936,-8.6719489200223 41.1645981633942,-8.67197698943321 41.1645950426429,-8.67264349233786 41.1646999969578,-8.67267406482378 41.1647013385601,-8.6726986786741 41.1646967481069,-8.67274000657085 41.1646861184822,-8.67277537086571 41.1646688085631,-8.67280279772597 41.1646470615762,-8.67282325986114 41.1646171532833,-8.67286272737769 41.1644872664631,-8.67291342149015 41.1642984594447,-8.67291528924129 41.1642850342486,-8.67291515343002 41.1642686299071,-8.67291001282055 41.1642433176313,-8.67289401865916 41.1642165515965,-8.67284142578576 41.1641772897786,-8.67264591867777 41.1641454155863,-8.67210876532251 41.1640590955882,-8.67146781492758 41.1639381630128,-8.67150143446199 41.1638388538475,-8.67155388066614 41.1637630921168,-8.67210382237698 41.1633667086282,-8.67278830433099 41.1634470691386,-8.67290337045224 41.1634929706593,-8.67297568079848 41.163568497704,-8.67309252885881 41.1638311418908,-8.67320608162329 41.1639420767303,-8.67334871909212 41.1640240711105,-8.67472712752973 41.1643339952855,-8.67493422175494 41.1644169803049,-8.67498160532883 41.1646739001624,-8.67513486749416 41.1646741488099,-8.67515173448161 41.1646809127215,-8.67557137725418 41.1647551947533,-8.67597140386352 41.1648090036356,-8.67637779260347 41.1648906440951,-8.67664026204505 41.1649316307044,-8.67701732417079 41.1649892297827,-8.67702875449029 41.1648918156721,-8.67704312063344 41.1648655740668,-8.67710617777681 41.164795575612,-8.67722030691474 41.1646960096962,-8.67726208753652 41.1646652975724,-8.67751862818544 41.1645465545991,-8.67760878906875 41.1646099645649,-8.6777014846071 41.1646975651936,-8.67777768275078 41.164752532857,-8.6778034222596 41.1647760015627,-8.67783738403714 41.1648196983061,-8.67787146635061 41.1648635565468,-8.67790407975958 41.1649068643572,-8.67798868930869 41.1650379200336,-8.67811449324219 41.1652370298891,-8.67806445038473 41.1654092420003,-8.67798145086867 41.1657165793601,-8.67792024109901 41.1659217090899,-8.6778577385695 41.1661161027405,-8.67646310571377 41.1658515367537)))",357,165104,13121601004,13,1312,131216,131216010,10,4,1004,13121601004,1,11,11A,42,42,0,42,34,8,4,14,12,9,3,2,43,43,34,9,19,32,31,1,34,12,22,31,14,98,51,47,12,8,49,29,1663.0343845554,68537.6487015306,-8.674796349370332,41.1649129434323,4014,0.5563252737763473
"MULTIPOLYGON (((-8.68641788465023 41.1691575833792,-8.68631037940719 41.1691389313856,-8.68580797765605 41.1690517431591,-8.68554104054379 41.1689107835122,-8.68519575242025 41.1686697890087,-8.68499490430537 41.1684866781363,-8.68479530986916 41.1684541697801,-8.68452767465186 41.1682295376045,-8.68423881513174 41.1681137829921,-8.68359527019439 41.1679578875,-8.68335147285211 41.1679339528965,-8.68298671023793 41.1680110087671,-8.6828759153469 41.168003174444,-8.6824313371247 41.1678044867282,-8.68227632549702 41.1678052286087,-8.68202229891037 41.167881742594,-8.68187898478977 41.1679577357949,-8.68164625623133 41.167933744844,-8.68120405518569 41.1680195288486,-8.68094910862963 41.1679872772026,-8.68078205054401 41.16787093361,-8.6804798871471 41.1674874750252,-8.68011087287752 41.1670541367415,-8.67998915095214 41.1670630806528,-8.67977786808083 41.1669553105613,-8.67945641887127 41.1669150079995,-8.67879202329425 41.1669097925413,-8.67849237710889 41.166827542722,-8.6778048609248 41.166705299255,-8.67661166746952 41.1664011808064,-8.67448761161517 41.1659406550168,-8.67296462667353 41.1656790693035,-8.67184023450906 41.1656163286676,-8.67183655345355 41.1655585264301,-8.67185318898547 41.1653409411086,-8.67192690071839 41.1650860450064,-8.67312738795124 41.1652929897756,-8.67313663546866 41.165294585206,-8.67406009294787 41.1654504910284,-8.67551468675236 41.1656958677231,-8.67646310571377 41.1658515367537,-8.6778577385695 41.1661161027405,-8.67956416202455 41.1663958787225,-8.67959593550096 41.1664011125586,-8.68177515740481 41.1667599016376,-8.68296424717534 41.1669402541862,-8.6836508718171 41.1670443823196,-8.68454053296774 41.1671951439206,-8.68484027778972 41.1672441623882,-8.6853479439785 41.167327196664,-8.68582235894604 41.1674047974845,-8.68607310288535 41.1674472505081,-8.68651782999502 41.1675225598167,-8.68706237089195 41.1676103347086,-8.68733530348265 41.167654325153,-8.6878661766018 41.1677432155098,-8.68786470086315 41.1677462570719,-8.68785283781831 41.1678285200078,-8.68784673646373 41.1678708498668,-8.68786680477133 41.1679952675853,-8.6879323169127 41.1681252102569,-8.68804910997184 41.1682464597806,-8.68819513145994 41.1683322011797,-8.68787722627387 41.1687128909858,-8.68755909631874 41.1690898270785,-8.68730115203677 41.1691001925434,-8.68698223364638 41.1691130215965,-8.68653983256474 41.169173724808,-8.68641788465023 41.1691575833792)))",365,166996,13121601008,13,1312,131216,131216010,10,8,1008,13121601008,1,11,11A,22,20,2,22,15,7,15,4,0,2,1,14,50,50,30,20,21,18,13,13,30,15,15,22,12,82,41,41,13,15,35,19,3061.1769383999,128448.907398991,-8.681874814538022,41.16728413364178,4014,0.4463539987275345
"MULTIPOLYGON (((-8.6584002834632 41.1690802974031,-8.65839989338102 41.1690800947841,-8.65904472775053 41.1683256345051,-8.65904967780451 41.1683193980206,-8.6590657174327 41.1683002743381,-8.6591847036272 41.1681584144343,-8.66019563134522 41.1669576604376,-8.66034461707779 41.1667704071986,-8.66053388165711 41.1665751472743,-8.66073719172153 41.1663653950678,-8.6607584349381 41.1663386746718,-8.66075882743748 41.1663388826745,-8.66135337644288 41.166654321653,-8.66116817963543 41.1673242099971,-8.6611480188556 41.1674500063551,-8.66105950965893 41.168002516532,-8.66104937579165 41.1681382697977,-8.66105591511236 41.1682060936811,-8.660827057026 41.1683455532637,-8.66066201413151 41.1684461204009,-8.66059819797463 41.1684850132944,-8.66024381245402 41.1686443805947,-8.66017247089907 41.1686765814651,-8.65934609590366 41.1690480639651,-8.65925595738116 41.1690975826112,-8.65925451116784 41.1690983770954,-8.65919577518444 41.1691306440363,-8.65889169969267 41.1693356147525,-8.6584002834632 41.1690802974031)))",367,166998,13121601907,13,1312,131216,131216019,19,7,1907,13121601907,1,11,11A,38,36,1,38,4,34,0,14,17,7,0,1,42,41,38,3,12,38,33,2,38,20,18,27,13,114,51,63,17,11,46,40,870.314559592297,33994.0094515373,-8.660104997374084,41.16790592586443,4014,0.6274831576314616
"MULTIPOLYGON (((-8.67183870606746 41.1513967566626,-8.6720370581585 41.1513617644859,-8.67288523809524 41.1512121712012,-8.67291890147266 41.151619558167,-8.67275675939623 41.1516323035769,-8.67253587779967 41.1516524021625,-8.67233049390299 41.1516680336585,-8.67205724723341 41.1516869186409,-8.67189185920257 41.1516931957936,-8.67183870606746 41.1513967566626)))",378,165334,13121601401,13,1312,131216,131216014,14,1,1401,13121601401,1,11,11A,10,10,0,10,10,0,8,1,1,0,0,6,12,12,9,3,4,3,7,1,9,5,4,5,2,21,13,8,3,1,9,8,255.38850818692,3491.93157338321,-8.672408946043685,41.15147828025933,4014,0.11644017358109596
"MULTIPOLYGON (((-8.66776152792637 41.1516106205489,-8.66772652701261 41.1515957106275,-8.66725934528825 41.151396168025,-8.66748158755068 41.151185864552,-8.66741977490671 41.150977882573,-8.66738526780898 41.1507158927997,-8.66749363395744 41.1504859413681,-8.66765916694822 41.1504978307271,-8.66779347194599 41.1505104419835,-8.6679149946764 41.1505054639105,-8.66817737429821 41.150480697267,-8.66834244469933 41.150447558857,-8.66844252625297 41.1504368009145,-8.66854546635515 41.1504186649428,-8.66865812684761 41.1504004917908,-8.66876323595574 41.1504088255224,-8.66888591610914 41.1504273784047,-8.66903604203651 41.1504708067357,-8.6692660009899 41.1505256211878,-8.66931466156015 41.1505298059143,-8.66936710840816 41.1505207375053,-8.66943005705319 41.1505111780635,-8.6694316632491 41.1505138538802,-8.66947233553301 41.1505888291835,-8.66973370892097 41.1508639309068,-8.66990432399132 41.1508823845418,-8.6700169751718 41.1509418689828,-8.6701112906316 41.1510635759786,-8.66990137956261 41.1511286734104,-8.66872608369193 41.1515124322124,-8.6682590632192 41.1517206456676,-8.66815097241749 41.1517764605751,-8.66776152792637 41.1516106205489)))",382,165338,13121602217,13,1312,131216,131216022,22,17,2217,13121602217,1,11,11A,26,26,0,26,25,1,25,1,0,0,0,20,26,26,16,10,4,7,12,2,16,8,8,16,9,44,19,25,5,7,25,7,633.715722904775,22491.2680411575,-8.668502444985574,41.15101682229236,4014,0.25228704275904124
"MULTIPOLYGON (((-8.67370210953591 41.151969082345,-8.67345173361062 41.1518488146302,-8.67313218385733 41.1516953051922,-8.67291890147266 41.151619558167,-8.67288523809524 41.1512121712012,-8.67343416240739 41.1510736311485,-8.6736605372994 41.1509701554477,-8.67372407498577 41.150937919757,-8.67385762326983 41.1508699323022,-8.67392621565078 41.1508454165074,-8.67424594191777 41.1507777141053,-8.67449503678057 41.1507369317305,-8.67455659933412 41.150703759407,-8.67455788214821 41.1511731561579,-8.6745100773939 41.1515548867978,-8.67441214586733 41.1518165441341,-8.67434216301411 41.1520035068972,-8.67370210953591 41.151969082345)))",389,165345,13121601402,13,1312,131216,131216014,14,2,1402,13121601402,1,11,11A,14,11,3,14,6,8,7,1,4,2,0,8,69,69,56,13,43,51,36,14,56,37,19,44,18,130,62,68,17,10,60,43,474.871475787637,13873.6889533397,-8.673841006026047,41.15139813776404,4014,0.7309855341479913
"MULTIPOLYGON (((-8.66340285452227 41.1524796777867,-8.66268125752196 41.1521860918645,-8.66249137084285 41.1521445677354,-8.66249086483763 41.1521444566061,-8.66251713887575 41.1520604828907,-8.6625685734125 41.1517914685798,-8.66258013319949 41.1515998047701,-8.66255870942831 41.1513959566066,-8.66251592091345 41.1512163427757,-8.66251322940485 41.1511780866731,-8.66250966897936 41.1511353287887,-8.6624779162192 41.1510326558829,-8.6624783150225 41.1510326216345,-8.66283788599105 41.1510013686338,-8.6631117438711 41.1510332485048,-8.66319096076932 41.151048082428,-8.66331408181984 41.1510711314829,-8.66372345891705 41.1511477472363,-8.66376813750058 41.1511561126561,-8.66421996455991 41.1512406872118,-8.66417563090086 41.1513341280156,-8.6643384101399 41.1514825443226,-8.664456210146 41.1516444844102,-8.66447637378753 41.1518148724673,-8.66445125741054 41.1519614917208,-8.6643435252312 41.152113832482,-8.66415379148178 41.1523491183484,-8.66397909134978 41.1524416850891,-8.66381609203592 41.1524785976314,-8.66367698216612 41.1524910260502,-8.66355634920246 41.1524975172928,-8.66340285452227 41.1524796777867)))",393,165349,13121601602,13,1312,131216,131216016,16,2,1602,13121601602,1,11,11A,11,0,11,11,0,11,0,11,0,0,0,11,144,144,128,16,24,2,94,26,128,83,45,91,27,299,141,158,24,28,134,113,565.029231264955,21385.5751402179,-8.663441826224856,41.15174222126137,4014,1.7789470963778549
"MULTIPOLYGON (((-8.67647414160679 41.1520115603952,-8.67706320188353 41.1517771551997,-8.67747764395573 41.1521722753401,-8.67760835641756 41.152296891724,-8.67734529258771 41.1524522676457,-8.67709042026288 41.1526057845027,-8.67647414160679 41.1520115603952)))",400,165356,13121600106,13,1312,131216,131216001,1,6,106,13121600106,1,11,11A,7,4,3,7,3,4,1,2,1,0,3,1,17,17,12,5,1,10,7,5,12,7,5,10,6,34,20,14,8,4,18,4,268.779990521266,4341.10498778778,-8.677053167225214,41.152175920012176,4014,0.16819136183936084
"MULTIPOLYGON (((-8.66461230293412 41.1525920586354,-8.66483592003499 41.1523645925692,-8.66495774066781 41.1523267431774,-8.66580867663712 41.1514085486663,-8.66611353470057 41.151008701538,-8.66666226764992 41.1511942646317,-8.66725934528825 41.151396168025,-8.66696235334079 41.1517429488069,-8.66679984114112 41.1518731447225,-8.66628392789503 41.1521361592209,-8.66626246623957 41.1521705191875,-8.66622539172616 41.1522333042889,-8.66616355246362 41.1523389016816,-8.66560084395121 41.1524965951399,-8.66462487008736 41.1527700894589,-8.66447083410164 41.152794356386,-8.66461230293412 41.1525920586354)))",406,165362,13121601603,13,1312,131216,131216016,16,3,1603,13121601603,1,11,11A,4,0,4,3,0,4,0,1,2,0,1,0,45,45,34,11,19,34,24,6,34,26,8,16,9,64,26,38,5,7,38,14,642.707360890263,17397.4156974553,-8.66597007963431,41.15187072600249,4014,0.38166501340470343
